lemma,sentence,sense,start,end
আগুন,আগুনে পুড়ে ছাই হয়ে গেল তিনটি দোকান ।,1,0,4
আগুন,আগুন লাগার পরপরই ব্যাংক ভবনের পেছনের দিক থেকে ধোঁয়া বের হতে থাকে ।,1,0,4
আগুন,রাত বারোটার পর যখন আমরা গভীর ঘুমে ঠিক সেই সময় আগুন লেগে যায় আমাদের বিল্ডিং-এর নিচের তলায় ।,1,47,51
আগুন,নড়াইলে গ্যাসের চুলার আগুনে নারী ও শিশুসহ দগ্ধ,1,22,26
আগুন,বগুড়ায় যৌতুক না পেয়ে স্ত্রীর গায়ে আগুন,1,38,42
আগুন,বাংলাদেশে যে বিদ্রোহের আগুন জ্বলছে শতশিখা বিস্তার করে ।,0,23,27
আগুন,"এমন নিরিবিলি একটা মানুষের বুকের ভেতরে যে কী আগুন জ্বলছে , তা তাঁকে দেখে বুঝার উপায় নেই ।",0,44,48
আগুন,"চোখের দেখা - দেখে কি হবে - মনের দেখা - দেখলে না ভব সংসারে ; শেষ বেলাতে বিবেক কেঁদে , কি হবে - শিক্ষার আগুন নিভে গেলো দ্বিগুণ - তবুও ভয় পেলে না শুধু মরণে , চোখের মায়া অন্ধ দূর - বহুদূর ধর্মগুরু অন্ধসুরু আসল চিনবে কি ভাবে ?",0,102,106
আগুন,তবে আগুন লাগার কারণ এখনও জানা যায়নি ।,1,4,8
আগুন,"খালেদা জিয়ার প্রতি উদ্দেশ্য করে তিনি বলেন , যে আগুন জ্বালাচ্ছেন সেই আগুনে আপনাকেও জ্বলতে হবে ।",0,48,52
আগুন,পকেটে লাগা আগুন এভাবেই হাস্যরসে বদলে দিতে চাইছেন অনেকেই .. .,0,11,15
আগুন,"... ... দুখু মিয়া দুঃখকে ভালবেসে না পাওয়ার কষ্ঠ ভুলতে চেয়েছিলেন নাকি প্রকৃতই আগুনে পুড়ে পুড়ে খাটি সোনা হতে চেয়েছিলেন সে প্রসঙ্গে না গেলে ও একটি কথা স্বীকার করতে দোষ নেই যে , এই দুটি লাইন বাঙালি জাতিকে একটি দারিদ্রের ছকে আবদ্ধ করেছে ।",0,80,84
আগুন,"রূপবতীর ডাক অগ্রাহ্য করলে রূপের অভিশাপ লাগে , কোথায় পড়েছিলাম , সেই অভিশাপের আগুন মারাত্মক ।",0,78,82
আগুন,আগামীকাল আবার আমরা বাদশাহর নিকট আসব এবং তাঁর নিকটে তাদের এমন সব কার্যকলাপ তুলে ধরব যাতে তাঁর হৃদয়ে হিংসার আগুনে দাউ দাউ করে জ্বলে উঠে এবং তাদের প্রতি ঘৃণায় তাঁর অন্তর পূর্ণ হয়ে যায় ।,0,107,111
আগুন,এমনকি কয়েক বছর আগে ঢাকুরিয়া আমরিতেও আগুন লেগেছিল ।,1,38,42
আগুন,"দরজার দুই পাশে ডালিতে গাঁদা ফুলের ঝুড়ি , মাঝখান দিয়ে নবীনরা হেঁটে যাচ্ছে হল রুমের মধ্যে , গাইছে কবিগুরু রবীন্দ্রনাথের গান "" আগুনের পরশ মনি ছোঁয়াও প্রাণে এ জীবন পুণ্য কর '' ।",0,126,130
আগুন,আগুনে স্টলের তেমন ক্ষয়ক্ষতি হয়নি ।,1,0,4
আগুন,গত বৃহস্পতিবার মধ্যরাতে উপজেলার শ্রীরামপুর আদর্শ আড়ং বাজারে মোঃ আঃ হাই-এর মা জেনারেল স্টোরের আগুন দিয়ে পোড়ানোর এ ঘটনা ঘটে ।,1,94,98
আগুন,আচমকাই আগুন লেগে যায় তাঁর গাড়িতে ।,1,7,11
আগুন,"নিলি কোনো জবাব দিচ্ছে না , কিন্তু তার চোখ থেকে আগুন ঝড়ে পরছে ।",0,47,51
আগুন,প্রথম কোয়ালিফায়ারে মাশরাফী বিন মোর্ত্তজার আগুন ঝরা বোলিংয়ে চট্টগ্রামকে হারিয়ে ফাইনালের টিকিট পায় খুলনা ।,0,44,48
আগুন,"শূন্য হাতে তোমাকে ছোঁবার ক্লান্ত নেশায় ঘুরেছি কেবল কত যে পথ , ভালোবাসাহীন এমনই আগুন বুকে ধরে জ্বলছি কেবল দগ্ধ হয়ে । ।",0,80,84
আগুন,""" আগুন লাগার আগে ফার্মেসিতে অন্তত নয়জন ছিল ।",1,2,6
আগুন,ঘণ্টা খানেকের মধ্যে এলাকার বাসিন্দারাই জল ঢেলে আগুন নিভিয়ে ফেলেন ।,1,47,51
আগুন,অত্যন্ত প্রাঞ্জল আর দৃঢ়চেতা ভঙ্গিতে বলে গেলো আগুন ঝরানো এক দিনের কথা ।,0,46,50
আগুন,মাইক্রোওয়েভ ওভেনে আগুন বা কয়েল ছাড়াই কী করে খাবার গরম হয় ?,1,19,23
আগুন,যে কলমে ভরা আছে কালি নয় - শব্দের আগুন ; এ আগুনে পুড়ে পুড়ে ভষ্ম হয় সত্য ও সুন্দর বিনাশী ঘাতক আর দালালের মিথ্যা ইতিহাস ।,0,34,38
আগুন,"প্রায় বাড়িতেই হয়েছে এই ডুব-শিরনি , শুধু অমুদা'র মা "" বড় ঠাইরেন "" , যিনি এক সময় সমাদ্দার বাড়ির "" বউ ঠাকুরুন "" ছিলেন , তিনিই তখন বড় ঠাইরেন , সারাদিন আক্ষেপ করে মরেন , "" আহারে আমার কেউ নেই বরুণদেবকে তুষ্টু করার , এই চৈতে আগুন ধরলে নিবানোর কেউ থাকপেনানে রে ।",1,225,229
আগুন,আগুনের মতো ছড়িয়ে পড়া গুজবে সমস্যা পড়েছে পুলিশ-প্রশাসন ।,0,0,4
আগুন,"যেভাবে তার বুকের ভেতরও জ্বলছিল প্রতিশোধের আগুন । ,",0,42,46
আগুন,"তার মা সেই ভয়াবহ মুহুর্তের কথা স্মরণ করে বলেন , গ্যাস বিস্ফোরণের ফলে তার সন্তানদের গায়ে আগুন ধরে যায় এবং ভাগ্যক্রমে তিনি বেঁচে যান ।",1,90,94
আগুন,"বক্তাগণ সাম্প্রদায়িকতা , জঙ্গীবাদ , দুর্নীতি , আগুন সন্ত্রাস নির্মুলে জনগণকে সাথে নিয়ে মুক্তিযুদ্ধের চেতনা প্রতিষ্ঠার মাধ্যমে সমাজতান্ত্রিক বাংলাদেশ গড়ার দৃঢ় প্রত্যয় ব্যক্ত করেন ।",0,48,52
আগুন,প্রসঙ্গত শুক্রবার ভোর রাতে বেবী আইসক্রীম ফ্র্যাকট্টির মিটার থেকে আগুন থেকে পুরে যাওয়া এই সব পরিবারের মাঝে এই সহয়তা প্রদান করে বাংলাদেশ সেনাবাহিনী বান্দরবান বীর জোন শাখা ।,1,65,69
আগুন,আগুন নেভাতে গিয়ে জখম হন দুই ব্যক্তিও ।,1,0,4
আগুন,সিগারেটের আগুন থেকেই জ্বালাচ্ছেন রকেট ।,1,10,14
আগুন,এদিকে চকবাজারের আগুনে দগ্ধ হয়ে একসঙ্গে পুড়ে মারা যান দুই বান্ধবী ।,1,16,20
আগুন,পুলিশ অফিসাররা সেই সময় আগুন নিভিয়ে হাসপাতালে নিয়ে যাওয়ার ব্যবস্থা করেন ।,1,24,28
আগুন,"ভুজপুর থানার এসআই বলেন , গৃহবধূকে আগুন দেওয়ার ঘটনায় স্বামী ও শ্বশুরকে আটক করা হয়েছে ।",1,34,38
আগুন,এক ঝলক ঘৃণার আগুন ঝরিয়ে উড়ে গিয়েছিল সন্ধ্যার আকাশে ।,0,13,17
আগুন,. আগুনের কাছে রাখবেন না,1,2,6
আগুন,কিন্তু আমার বড় মামা শায়েস্তাবাদের বাড়ি বসেই সে লেখা দেখে আগুন হয়ে আমাকে শহর থেকে আবার শায়েস্তাবাদ নিয়ে গেলেন ।,0,60,64
আগুন,কী কারণে এতো নামি দামী ফোনের ব্যাটারিতেও আগুন ধরে যায় ?,1,41,45
আগুন,তবে আগুন নিয়ন্ত্রণে এলেও বিকাল সাড়ে পাঁচটা পর্যন্ত আগুন পুরোপুরি নেভেনি ।,1,4,8
আগুন,বিদ্রোহের আগুন জ্বলে উঠল রফিকের চোখে ।,0,10,14
আগুন,"বর্ষা মৌসুমে কয়েকশ জেলে অবৈধভাবে রাতে সুন্দরবনের নিচু এলাকায় জাল পেতে মাছ ধরে জানিয়ে তিনি বলেন , অবৈধভাবে মাছ ধরা বন্ধ করা গেলে সুন্দরবনকে আগুনের হাত থেকেও হয়তো রক্ষা করা যাবে ।",1,142,146
আগুন,খোট্টাডিহি কোলিয়ারিতে মাস দুয়েক আগে আগুন লেগেছিল ।,1,38,42
আগুন,অপরদিকে আদিতমারী উপজেলার সারপুকুর ইউনিয়নের খারুভাঁজ গ্রামে আগুন তাপাতে গিয়ে শিশু আর্জিনা আক্তারের ( ) পরনের কাপড়ে আগুন লেগে শরীরের পঞ্চাশ শতাংশ পুড়ে যায় ।,1,60,64
আগুন,রাত টা মিনিটে আগুন নিয়ন্ত্রণের বাইরে চলে যায় ।,1,14,18
আগুন,এছাড়া আগুনে কি পরিমাণ ক্ষয়ক্ষতি হয়েছে তা তদন্ত ছাড়া বলা যাবে না বলেও জানান তিনি ।,1,7,11
আগুন,হাজার ফুট উপরে রহস্যময় আগুনের গোলা !,1,24,28
আগুন,"ফানুসের মোহে পিতার দান ভেঙ্গে দেয় নির্দিধায় , লোভের আগুনে আজ সবুজ ভেসে যায় ।",0,54,58
আগুন,ইসলামবাগে আগুনে পুড়ে তিনজনের মৃত্যু,1,10,14
আগুন,আগুন নিবে গেলে ঘরে ফিরে এলাম ।,1,0,4
আগুন,"এসময় তিনি ফায়ার সার্ভিস বিভাগের সাফল্যের কথা তুলে ধরে বলেন , এখন আর কেউ অভিযোগ করতে পারবে না যে আগুন নিভে গেলে ফায়ার সার্ভিস পৌঁছায় ।",1,98,102
আগুন,"প্রত্যক্ষদশী ও ফায়ার সার্ভিস সূত্রে জানা যায় , বিকেল সাড়ে টার দিকে এসএস সোয়ের্টার কারখানা থেকে আগুনের সূত্রপাত ঘটে ।",1,99,103
আগুন,"তীরন্দাজ নিরীহ মানুষ , কিন্তু এরকম বেয়াড়া অনুরোধ শুনে তিনি ক্ষেপে আগুন হয়ে গেলেন ।",0,68,72
আগুন,ঝুলনের আগুন বোলিং এর সামনে দাঁড়াতেই পারলেন না দক্ষিণ আফ্রিকার মহিলা ক্রিকেটাররা ।,0,7,11
আগুন,মুন্সীগঞ্জে আগুনে পুড়ে গেছে দোকান,1,12,16
আগুন,সম্প্রতি নয়া প্রেমের আগুনে ইনস্টা পোস্টে ঘি ঢেলে দিলেন নিখিল জৈন ।,0,22,26
আগুন,ভোররাতে চারমাথা এলাকায় মুক্তি বিড়ি ফ্যাক্টরির সামনে একটি ট্রাকে আগুন দেয়া হয় ।,1,66,70
আগুন,সুখের সংসারে হঠাতই মনে হচ্ছে আগুন লেগেছে ।,0,29,33
আগুন,জিনেদিন জিদানের ঠাণ্ডা মাথা আর করিম বেনজেমার আগুনে ফর্ম নিয়ে বেশ দুশ্চিন্তায় বার্সেলোনার সাবেক কোচ ।,0,45,49
আগুন,বিএনপি'র আগুন সন্ত্রাসীদের বিরুদ্ধে প্রতিরোধ গড়ে তুলতে হবে : এনামুল হক শামীম,0,9,13
আগুন,"রোহিঙ্গা ক্যাম্পে আগুনে মৃত , সহস্রাধিক ঘর পুড়ে ছাই",1,18,22
