lemma,sentence,sense,start,end
কাটা,আপনার প্রকৃত কোমর পরিমাপ হল সাঁতার কাটাতে আপনার আকারের সেরা নির্দেশক ।,0,35,39
কাটা,"আপনি যেকোনও নির্বাচন করুন , ডান ফিট এবং আকার পেতে আত্মবিশ্বাসীভাবে সৈকতে উপভোগের মধ্যে পার্থক্য বা বেপরোয়াভাবে আপনার ট্রাঙ্কগুলি সামঞ্জস্য করতে পারেন যখন আপনি সাঁতার কাটাতে চেষ্টা করেন ।",0,167,171
কাটা,যেখানে একটি মেয়ে মাছের মত সাঁতার কাটার আর পাখির মত আকাশে ওড়ার স্বপ্ন দেখছে ।,0,34,38
কাটা,আমিও মারা যাবো তবে মৃত্যুর আগে যেন হাসিখুশি জীবন কাটাতে পারি ।,0,49,53
কাটা,'প্রায় সাত সপ্তাহ আগে চুল কাটার ভিডিও সামাজিক যোগাযোগমাধ্যমে পোস্ট করেছিলেন রোনালদো।,0,26,30
কাটা,তার আগে তাঁরা সেখানে পাঁচ সপ্তাহ কাটাবে সীমিত ওভারের ক্রিকেট খেলে ।,0,33,37
কাটা,তার রেশ কাটার আগে এয়ারটেল গ্রাহকদের জন্য নতুন দুঃসংবাদ ।,0,8,12
কাটা,আগে তিনি ক্যান্ডি ক্র্যাশ নামের গেম নিয়ে বেশি সময় কাটাতেন।,0,50,54
কাটা,মিসৌরি - র সেন্ট লুইস হাসপাতালে মৃত্যুর ঠিক আগে হাসপাতাল কর্তৃপক্ষ কিছুক্ষণের জন্য একসঙ্গে সময় কাটাতে দিয়েছিল দম্পতিকে ।,0,96,100
কাটা,এর আগে ভারতীয় বোর্ডের নিয়ম অনুযায়ী স্ত্রী - বান্ধবীরা বিদেশ সফরে ২০ দিনের বেশি সময় কাটাতে পারতেন না ক্রিকেটারদের সঙ্গে ।,0,87,91
কাটা,এর আগে ৬০ সেকেন্ডে ৪৮ টি তরমুজ কাটার রেকর্ড আছে ।,0,31,35
কাটা,আগে কাটার ছিলো ।,0,4,8
কাটা,"কিন্তু, সত্যিই কি ইংল্যান্ড আজকের ম্যাচের আগে একেবারে নির্ভার সময় কাটাতে পারবে?",0,66,70
কাটা,এই ব্যস্ত সূচির আগে আগামী দুই মাস টাইগাররা মোটামুটি বিশ্রামেই কাটাবেন ।,0,62,66
কাটা,"আগে গ্রামের পুজোয় দাদা পীযূষ মুখোপাধ্যায় , বৌদি মঞ্জুদেবী দুর্গাপুজোর ক ' টা দিন কাটাতেন ভাইয়ের সঙ্গে ।",0,83,87
কাটা,"মনে করিয়ে দিলেন, চ্যাম্পিয়ন হওয়া টুর্নামেন্টের আগেও খুব ভালো অবস্থায় ছিল না দল, ‘২০১০ বিশ্বকাপের আগে আমরা খুব বেশি সময় একসঙ্গে কাটাতে পারিনি।",0,127,131
কাটা,"এরকম অনেক হোটেলেই রাত কাটাতে হয়েছে , কিন্তু আগে কখনও কোনও ঘর এত ফাঁকা লাগেনি ।",0,22,26
কাটা,আগে কি সুন্দর দিন কাটাতাম !,0,18,22
কাটা,তার আগে হারলে ফুটবলারদের টাকা কাটার এই ফতোয়ায় টিমের ফোকাস ফের নড়ে যাবে না তো ?,0,30,34
কাটা,দক্ষিণ আফ্রিকার বিরুদ্ধে বিশ্বকাপ অভিযান শুরুর আগে ভারতীয় ক্রিকেটারদের জিমে বাড়তি সময় কাটাতে দেখা যায় ।,0,89,93
কাটা,চলতি সিরিজ শুরু হওয়ার আগে চেন্নাইয়ে গিয়েছিলেন এমআরএফ পেস ফাউন্ডেশনের শিক্ষার্থীদের সঙ্গে সময় কাটাতে ।,0,97,101
কাটা,এর আগে নাকি খেলার মাঠে বেশি সময় কাটাতেন।,0,32,36
কাটা,মঈনের আগে টেস্ট ইতিহাসে মাত্র ১২ জন ব্যাটসম্যানকে এমন ‘ঘুমহীন’ রাত কাটাতে হয়েছে।,0,67,71
কাটা,নতুন মৌসুম শুরু হওয়ার আগে কয়েকদিন ছুটি কাটাতে টার্কস ও কেইকস দ্বীপপুঞ্জে গিয়েছিলেন তিনি ।,0,41,45
কাটা,তার আগে রবিবার বিশ্রামেই কাটালেন ভারতীয় ক্রিকেটারেরা ।,0,25,29
কাটা,চলতি বিশ্বকাপে ভারত - আফগানিস্তান ম্যাচের আগে লন্ডনের রাস্তায় সময় কাটাতে দেখা গিয়েছিল বিরাট - অনুষ্কাকে ।,0,68,72
কাটা,"আতঙ্ক কাটাতে অর্থমন্ত্রী জানান , ৩ কোটি টাকার বেশি সন্দেহজনক প্রতারণার ঘটনা আগে ব্যাঙ্কের নিজস্ব কমিটি খতিয়ে দেখবে ।",0,6,10
কাটা,"বছর চারেক আগে ইয়েল বিশ্ববিদ্যালয়ের এক বক্তৃতা দেওয়ার সময় শাহরুখ খান বলেছিলেন যে , "" যখন দেখি আমি খুব অহংকারী হয়ে উঠছি , তখন আমি সপরিবার চলে যাই যুক্তরাষ্ট্রে ছুটি কাটাতে ।",0,168,172
কাটা,পদ্মা সেতু প্রকল্পে ৬৬০ জন চীনা নাগরিক কাজ করেন ছুটি কাটাতে গিয়ে আটকা পড়েছেন . . . ৪ ঘন্টা ৫৯ মিনিট আগে,0,53,57
কাটা,"তবে ডাক্তারের সঙ্গে অ্যাপয়েন্টমেন্ট যেহেতু ২০ মে, তার আগে সপ্তাহ খানেক ঘোরাঘুরি করেই কাটাবেন বাংলাদেশ দলের এই ক্রিকেটার।",0,86,90
কাটা,ম্য়াচের আগে নিজের কন্য়ার সঙ্গে বিশেষ মুহূর্ত কাটালেন ডেভিড ওয়ার্নার ।,0,47,51
কাটা,দিওয়ালির আগে নিজের বাড়ি হিমাচল প্রদেশে ছুটি কাটাতে গিয়েছেন কঙ্গনা রানাউত,0,46,50
কাটা,তার আগে ঈদটা কীভাবে কাটাবেন?,0,20,24
কাটা,"এর আগে এক সাক্ষাৎকারে টাইগার জানিয়েছেন , "" আমি দিশার খুব ভালো বন্ধু একজন , ওঁর সঙ্গে সময় কাটাতে আমার ভালো লাগে ।",0,91,95
কাটা,"' সেমিফাইনালের আগে চাপ কাটাতে মেহতাব , অর্ণবদের পুলের জলে নামানো হল ।",0,23,27
কাটা,বাংলাদেশের বিরুদ্ধে নামার আগে বায়ুসেনার জওয়ানদের সঙ্গে সময় কাটালেন রোহিতরা,0,62,66
কাটা,40 বছর আগে তাঁর স্বামী মারা যাওয়ার পর থেকে রাস্তায় রাস্তায় ভিক্ষে করে দিন কাটাতেন তিনি ।,0,77,81
কাটা,বৃষ্টিবাধায় ওভার কাটার আগে আম্পায়ারদের হাতে স্বাভাবিক নিয়মে সর্বোচ্চ ৬০ মিনিট থাকছে।,0,17,21
কাটা,"ম্যাচের পর ভায়াদোলিদ থেকেই প্রাইভেট প্লেনে করে আর্জেন্টিনায় উড়ে গেছেন বড়দিনের ছুটি কাটাতে, তার আগে বার্সা–ভক্তদের উপহার দিয়ে যাওয়া পারফরম্যান্সই ছিল তাঁর।",0,83,87
কাটা,"তাই কোপা দেল রে ফাইনালের আগে অনুশীলনে না এসে , সন্তানসম্ভবা স্ত্রী আন্তোনেয়া এবং পুত্র থিয়াগোকে নিয়ে বার্সেলোনার সৈকতে অবসর কাটাতে দেখা গিয়েছে লিও মেসিকে ।",0,127,131
কাটা,"বললেন , ' সুপার কাপের আগে স্ত্রীর সঙ্গে অল্পদিনের ছুটি কাটাতে চাই ।",0,55,59
কাটা,"তিনি বলছেন , এই অনুষ্ঠানে অংশ নেয়ার আগে তিনি সারাদিন জিমে কাটাতেন ।",0,59,63
কাটা,সপ্তাহখানেক আগে স্পেনের ইবিজাতে ছুটি কাটাতে এসেছেন রোনাল্ডো ।,0,37,41
কাটা,কিন্তু হুইলচেয়ার ছেড়ে সোজা হয়ে দাঁড়াতে না পারলেও এক বছর আগে রুবেলের সেই সাঁতার কাটার ইচ্ছে পূরণ হয়।,0,79,83
কাটা,"মুম্বইয়ে সিরিজ নির্ণায়ক টি - টোয়েন্টির আগে সলমনের সঙ্গে সময় কাটালেন শামি , দাবাং থ্রি - র জন্য জানালেন শুভকামনা",0,64,68
কাটা,"গোল করার লোকের এতটাই অভাব, কিছুদিন আগে আফ্রিকান ফুটবলারদের নাগরিকত্ব দিয়ে গোলখরা কাটাতে চেয়েছিল বাংলাদেশ ফুটবল ফেডারেশন!",0,81,85
কাটা,"আগে কিন্তু আমার জীবন এমন ছিল না , গলফ ক্লাবেই বেশির ভাগ সময় কাটাতাম ।",0,61,65
কাটা,"এ ছাড়া পাবেন কিচেন হুক ১৭০ টাকা, ডিম ফেটানোর এগ টুলস ২৭০ টাকা (প্রতি পিস), ফিশ ক্লিনার বা মাছের আঁশ ছাড়ানোর যন্ত্র ১৬০ টাকা, সবজি কাটার যন্ত্র ২৬০ টাকা, হাতুড়ি ১৮০-২৯০ টাকা, পেস্ট্রি ব্রাশ ১২০ টাকা, বাদাম কাটার যন্ত্র ৩৫০ টাকা, বিভিন্ন আকারের ছুরি ১৯০-২৩০ টাকা, বিভিন্ন আকারের কিচেন সিজারস ২১০-৩৯০ টাকা, বারবিকিউ হুক ১২০ টাকা, প্লাস্টিকের চপিং বোর্ড ৫৭০-৯৪০ টাকা, কাঠের চপিং বোর্ড ৪৫০ টাকা, চাপাতি ১৭০-৬৫০ টাকা।",1,132,136
কাটা,"‘কাটার আগে বলে দিতে হয়, মাছের টুকরোর আকার কেমন হবে’, আমি এসব বকবক করছিলাম।",1,1,5
কাটা,"কোরবানির সরঞ্জামের মধ্যে রয়েছে মাংস কাটার জন্য বিভিন্ন আকারের ছুরি , চাপাতি , খাউট্টা , পাটি সহ কোরবানির নান সরঞ্জাম ।",1,37,41
কাটা,পাতা কাটার সময় এদের পিঠের ওপর বসিয়ে দেয় একটু ছোট আকারের পিঁপড়েকে।,1,5,9
কাটা,"আর ছোট কাপড়ের ব্যাগটির ভিতরে মিলেছে তিনটি পাপোষ , তিনটি চপার , একটি ছোট পেনসিল কাটার এবং একটি মাঝারি আকারের ছুরি ও দস্তানা ।",1,80,84
কাটা,"✔ আপনি চাইলে যে কোনও আকারের ফসল কাটাবেন , Make আপনার সেরা কভার নকশা করতে টেক্সট , স্টিকার , প্রভাব , এবং ফটো ফিল্টার যোগ করুন",1,32,36
কাটা,ফসল কাটার সময় এই সমস্যা আরো তীব্র আকার ধারণ করে ।,1,4,8
