lemma,sentence,sense,start,end
গুলি,পাকিস্তানি সৈন্যরা যখন তাদের গুলিতে নিহত মুক্তযোদ্ধাদের লাশ দাফনে নিষেধাজ্ঞা জারি করে তখন রাতের অন্ধকারে লাশগুলো দাফন করতে গিয়ে তারা পাকিস্তানি মিলিটারির হাতে ধরা পড়ে ।,0,29,33
গুলি,এই সময় ডিজিটাল ডেস্কঃ গুরুদ্বার থেকে বাড়ি ফেরার পথে অমৃতসরের উমারপুরা গ্রামে আততায়ীর গুলিতে নিহত হলেন শিরোমণি আকালি দলের এক নেতা ।,0,88,92
গুলি,ইয়েমেনে গত শুক্রবার সৈন্য ও সরকার সমর্থকদের গুলিতে ৪৫ জন বিক্ষোভকারী নিহত হওয়ার পর  দেশজুড়ে সরকারবিরোধী বিক্ষোভ আরও তীব্র আকার ধারণ করেছে।,0,44,48
গুলি,এর আগে গতকাল সোমবার রাত সাড়ে ৮টার দিকে নোয়াখালী পুরাতন কলেজসংলগ্ন অনন্তপুর গ্রামে অভ্যন্তরীণ কোন্দলের জের ধরে নিজ দলের কর্মীদের হাতে গুলিতে নিহত হন নোয়াখালী কলেজ ছাত্রলীগের কর্মী রাজিব ( ২২ ) ।,0,135,139
গুলি,বিস্ফোরণের আগে সোমবার ভোরে অজ্ঞাত বন্দুকধারীদের গুলিতে বেলুচিস্তান বার অ্যাসোসিয়েশনের সভাপতি বিলাল আনওয়ার কাসি নিহত হন ।,0,48,52
গুলি,এর আগে গত ২০ সেপ্টেম্বর কোয়েটার দক্ষিণে মাসটাং এলাকায় বাস লক্ষ্য করে চালানো বন্দুকধারীদের গুলিতে ২৬ জন শিয়া নিহত হয়।,0,90,94
গুলি,এর আগে সোমবার জম্মু - কাশ্মিরের পুঞ্চ জেলার সীমান্তে পাকিস্তান সেনাবাহিনীর গুলিতে এক ভারতীয় সেনা নিহত হয়েছে ।,0,75,79
গুলি,মুক্তিযুদ্ধ চলাকালে চূড়ান্ত বিজয় অর্জনের মাত্র ৩দিন আগে সাপাহারের আগ্রাদ্বিগুন নামক স্থানে সম্মূখ যুদ্ধে ১৯৭১ সালের ১৩ ডিসেম্বর ভোরে হানাদার বাহিনীর গুলিতে শহীদ হন ।,0,151,155
গুলি,এর এক সপ্তাহ আগে আন্তর্জাতিক সীমান্তে ভারতীয় সেনাদের গুলিতে সাত পাকিস্তানি সেনা নিহত হয়েছিল বলে দাবি করে বিএসএফ ।,0,54,58
গুলি,তার আগে পুলিশ - জঙ্গি গুলির লড়াইয়ে উত্তপ্ত হয়ে উঠেছে লখনউ ।,0,22,26
