lemma,sentence,sense,start,end
ঘোর,"আমি বিছানা থেকে নেমেছি আর দেখি আমার পরনের হাফ প্যান্ট এর বোতাম খোল প্যান্ট নিচে পরে গেল আর ওমনি তাড়াতাড়ি এদিক ওদিক দেখে উঠিয়ে নিলাম , একটু অবাক হলাম বোতাম কিভাবে খুলল তাই ভেবে , ভাবলাম হয়ত রাতে ঘুমের ঘোরে আমি নিজেই খুলেছি এখন মনে নেই ।",0,204,207
ঘোর,. সকাল থেকে রাত দশটা পর্যন্ত আমি যেন নেশার ঘোরে কাটাই ।,0,43,46
ঘোর,"কি যে এলোমেলো হও তুমি কি যে এলোমেলো আমি ঠিক বুঝতে পারি , এদিকে ঘড়ির কাঁটাও খুব স্বার্থপরের মত ঘোরে পাঁচটা ত্রিশ পার হয়ে , তখন এই মাত্র ছয়টার ঘরে পৌছাল আর আমি দূর থেকে দেখি , বিন্দুর মতো তুমি সিন্ধুসম মমতা নিয়ে আমার দিকেই আসছ , অপরাধ মাখা তোমার কন্ঠ এই বুঝি আমাকে ছুঁয়ে বলবে , খুব দেরি হয়ে গ্যালো তাই না ?",0,95,98
ঘোর,"তিনি বলেন, ‘আসলে, আমি নেশার ঘোরে আকাশে ভাসছিলাম।",0,28,31
ঘোর,"- আচ্ছা তোমায় বলি , আমি আসলে নেশার ঘোরে এখানে এসেছিলাম ।",0,36,39
ঘোর,"ওদের দিকে তাকালে আমি এক অদ্ভুত ঘোরে ঢুকে আমার শৈশবে ফিরে যাই , আমার গায়ে কাঁটা দিয়ে ওঠে ।",0,31,34
ঘোর,ইনজেকশনের ঘোরে কিছুক্ষণের মধ্যেই আমি ঘুমিয়ে পড়লাম ।,0,10,13
ঘোর,"কাল মধ্যরাতের সংবাদ সম্মেলনে তাই বলছিলেন, এখনো তিনি আছেন স্বপ্নের ঘোরে, ‘সত্যি কথা বলতে আমি এখনো স্বপ্নের ঘোরে আছি, যেভাবে ব্যাটিং করেছি।",0,66,69
ঘোর,"তখনো আমি ছিলাম ঘুমের ঘোরে , বাবা তুমি ধীরে ধীরে চলে গেলে এ ঘর ছেড়ে , আমায় একা ফেলে ।",0,21,24
ঘোর,ছিলাম আমি ঘুমের ঘোরে,0,16,19
ঘোর,"তাঁর যুক্তি , তখন তো আমি নেশার ঘোরে ছিলাম ।",0,31,34
ঘোর,আমি রইলাম ভবের ঘোরে ।,0,15,18
ঘোর,আমি জানি অনেক গীতিকার আপনার পেছন পেছন ঘোরে ।,0,38,41
ঘোর,কিংবা আমি ঘুমের ঘোরে স্বপ্ন দেখছি ।,0,16,19
ঘোর,"আমি হব দুপুর বেলার পাখি , সবার পরে ঘুমের ঘোরে উঠব আমি ডাকি ।",0,41,44
ঘোর,আমি তখন বিষের ঘোরে খুঁজি ভবিষ্যৎ ।,0,14,17
ঘোর,"কম সে কম যেদিন আমার মামাতো দাদাটা ঘুমের ঘোরে আমার চুচি দুটোকে চুষে ছিল , সেদিন ও আমার দাদাটাূ আমাকে চুদলে এতদিন পর্যন্ত জীবন টাকে অনেক উপভোগ্য করে তুলতাম ।",0,40,43
ঘোর,"ভাবলাম , হয়তো ঘুমের ঘোরে আদর করছে ।",0,21,24
ঘোর,"এলাকাবাসী জানায় , অজ্ঞাত পরিচয় মস্তিষ্ক বিকৃত অসুস্থ এই যুবকটি বেশ কিছুদিন যাবত ঐ এলাকায় ঘোরা ফেরা করছিলো ।",0,92,95
ঘোর,"এই হ্যাশট্যাগের ঘোরা ফেরা করছে অযোধ্যা রায় সংক্রান্ত যাবতীয় খবর , প্রতিক্রিয়া , মন্তব্য ।",0,16,19
ঘোর,নেশার ঘোরে আমার মাথা কাজ করছিলো না ঠিকমত ।,0,6,9
ঘোর,নেশার ঘোরে চোদাচুদির সময় অনেক নোংরা চিন্তা করে মজা করেছি দুজন ।,0,6,9
ঘোর,"ঘুমের ঘোরে স্বপ্ন দেখেন, সিনেমায় তিনি অভিনয় করছেন, নাটকীয় সব ডায়ালগ দিচ্ছেন।",0,6,9
ঘোর,নেশার ঘোরে তবু আমি স্বীকার করলাম না বিবির অভিযোগ ।,0,6,9
ঘোর,ঘুমের ঘোরে আমি দরজা খুললাম নাজমুল ভাই মনে করে ।,0,6,9
ঘোর,যেন নেশার ঘোরে বিয়ে করে ফেললুম ।,0,10,13
ঘোর,জ্বরের ঘোরে আমরা রাতভর হাঁটাহাঁটি করি ।,0,7,10
ঘোর,""" আমি তো ঘুমের ঘোরে অনেকটা বিশ্বাস করতে পারিনী ।",0,15,18
ঘোর,"ভরা বাদলে আব্বুর সঙ্গে নৌকোয় ঘোরা ছিল আমার জীবনে অদ্ভুত ভালো লাগার শিহরিত দিন, যা শুধু হূদয় দিয়ে অনুভব করতে হবে।",0,29,32
ঘোর,"একবার জ্বরের ঘোরে আমাকে খুব কাকুতি - মিনতি করে বলেছিল , ' কখনো যদি আমি খুব অভিমান করে থাকি , তবু তুমি যেন আমাকে ভুল বুঝ না , আমাকে আবার ফিরিয়ে নিও , আমার কাছে ফিরে এস ।",0,13,16
ঘোর,রাত বারোটার আগেই ঘুমের ঘোরে একদফা বিছানায় করে ফেলতাম ।,0,23,26
ঘোর,"' কিন্ত্ত আমি বিশ্বাস করতাম না , ঘুমের ঘোরে প্রায়ই দাদুকে দেখতে শুরু করলাম ।",0,39,42
ঘোর,সেদিন রাত নটার সময় দু ভদ্রলোক নেশার ঘোরে চিৎকার করছিলেন ।,0,37,40
ঘোর,"আমাদের বাসায় কাজ করতো যে ছোট্ট মেয়েটা , সে যখন ঘুমের ঘোরে মাকে ডেকে ফেলতো , জেগে উঠে কাঁদতো আর বলতো , বুকটা পোড়ে , হয়তো ওটাই সওদাদ ।",0,55,58
ঘোর,. দুশ মাইল দূরে হ্যারি পটার নামে ন দশ বছরের ছেলেটি ঘুমের ঘোরে আর্তনাদ করে বিছানায় উঠে বসল ।,0,57,60
ঘোর,একটু আগে ওর মা ওর কথা মনে করে কেঁদেছে জ্বরের ঘোরে ।,0,45,48
ঘোর,"আম্মুর যখন অনেক জ্বর থাকতো , তখন সে জ্বরের ঘোরে এ রকম করে কাতরাতো ।",0,43,46
ঘোর,ঘুমের ঘোরে উচ্চারণ করতেন ।,0,6,9
ঘোর,শুরুতে বারাণসীর অশি ঘাট থেকে শুরু করে রাজঘাট পর্যন্ত ঘোরা যাবে এই ক্রুজে চেপে ।,0,53,56
ঘোর,"সাধু হেসে বললেন - আরে পাগল , তুমিই তো জ্বরের ঘোরে বলেছিলে ঐ সব কথা নইলে জানব কি করে ?",0,45,48
ঘোর,একটু চিন্তা করছিলো কিন্তু নেশার ঘোরে হয়তো বলতে পারছিলো না ।,0,32,35
ঘোর,"তা সত্যি বলতে সে কথা আমারও মনে হয়েছিলো , আমায় নির্ঘাত ঘুমের ঘোরে ভুল করে হ্যাঁ হ্যাঁ যাও বলে দিয়েছে , কিংবা আরেকটা কূট প্রশ্ন মাথায় ঘুরঘুর করছিলো , আচ্ছা আমার হাত থেকে বাঁচতেই হ্যাঁ হ্যাঁ ভাই তুই যা তো বলে দেয়নি তো ?",0,62,65
ঘোর,যিনি নিজে আজ থেকে প্রায় ২০ - ২৫ বছর আগে কলকাতার দেওয়াল ভরিয়ে ফেরেছিলেন ' সূর্য পৃথিবীর চারদিকে ঘোরে ' এই লিখে ।,1,98,101
ঘোর,এর আগে ক্রিকেটের টিম ইন্ডিয়াকে নিয়ে ঘোরা ' নীলাম্বরী ' নামের এই বিখ্যাত বাস প্রায় ৭০০ কিলোমিটার পাড়ি দিয়ে হাজির ছিল হায়দরাবাদ এয়ারপোর্টে ।,1,38,41
ঘোর,"যেহেতু পুরী বা দীঘা আগে ঘোরা , তাই পাহাড় আর জঙ্গলটাই আমাদের বেশি পছন্দ ।",1,24,27
ঘোর,মহকুমাশাসকের দফতরে যাওয়ার আগে কয়েকশো সদস্য সমর্থকদের একটি মিছিল আসানসোলের রবীন্দ্রভবন এলাকা থেকে বেরিয়ে বিভিন্ন এলাকায় ঘোরে ।,1,123,126
ঘোর,যদিও এর আগে শহর কলকাতার তিন - তিনটে কলেজ তার ঘোরা হয়ে গিয়েছে ।,1,45,48
ঘোর,ভারত - চীন সীমান্তের কাছে কামোলি গ্রামের বারাহোতি গ্রামে রবিবার সকাল ৯টা ১৫ মিনিট নাগাদ একটি চীনা হেলিকপ্টার বেশ কিছুক্ষণ আকাশে ঘোরা ফেরা করে বলে জানিয়েছেন গ্রামবাসীরা ।,1,128,131
ঘোর,ভারত পাক সীমান্তের গ্রাম চাকান - ওয়ালিয়া দেরা - বাবা নানাক সেক্টরে দুই ব্যক্তিকে সন্দেহজনকভাবে ঘোরা করতে দেখতে পান গ্রামবাসীরা ।,1,97,100
ঘোর,যদিও হৃত্বিকের সঙ্গে সম্পর্কের টানাপোড়েন চলার আগে থেকে বিদেশের এক ব্যবসায়ীর সঙ্গে অভিনেত্রীকে ঘোরা ফেরা করতে দেখা গিয়েছে ।,1,96,99
ঘোর,"গান্ধীর স্মৃতিবিজড়িত আশ্রম ঘোরা শেষ করে ভিজিটর্স বুকে যে নোট মার্কিন প্রেসিডেন্ট লেখেন , তা থেকে বাদ পড়েন স্বয়ং মহাত্মা গান্ধী ।",1,28,31
ঘোর,"রামচন্দ্র দাশমহাপাত্র বলেন , ' রাজনৈতিক প্রচারের সময় গাড়ি করে ভগবান জগন্নাথ দেবকে নিয়ে ঘোরা ওড়িশার সংস্কৃতি ও ঐতিহ্য বিরুদ্ধ ।",1,90,93
ঘোর,আর এবার কলকাতা পুলিশের তরফ থেকেই নির্দেশিকা জারি করে অস্ত্র নিয়ে ঘোরা বা মিছিল করা নিষিদ্ধ করা হল ।,1,66,69
ঘোর,"' বাজিরাও মস্তানি ' - র শ্যুটিং চলাকা , তাঁর মনে হচ্ছিল কেউ যেন তাঁর কাছে কাছেই ঘোরা ফেরা করছেন ।",1,80,83
ঘোর,প্রাথমিক ভাবে তৃণমূলের অন্দরমহলে তিনটি রাজনৈতিক মুখ ঘোরা ফেরা করছে ।,1,52,55
ঘোর,"তবুও এই খবর উঠে আসাতে , তা মুখরোচক খবর হিসাবে ঘোরা ফেরা করছে বলিউডের আনাচে কানাচে ।",1,46,49
ঘোর,যদিও মোদীর এই জনসভায় আসা সমর্থকদের সংখ্যাটা দুই থেকে আড়াই লক্ষের মধ্যেই ঘোরা ফেরা করবে বলে মনে করছেন বিশেষজ্ঞরা ।,1,74,77
ঘোর,শিল্পা জানিয়েছেন যে ভিডিও টি এই মুহুর্তে সোশ্যাল মিডিয়ায় ঘোরা ফেরা করছে সেটা বিগ বস - এ তাঁর থাকবার সময় নেওয়া ।,1,60,63
ঘোর,সালে ' ফুকরে ' ছবি থেকে ফের তার জীবনের মোড় ঘোরে ।,1,44,47
ঘোর,ফটোগ্রাফারদের ফটোশ্যুটের জন্য মাটির প্রতিমার পাশে দুর্গার সাজে সেজে ঘোরা ফেরা করতে দেখা যাচ্ছে অনেককেই ।,1,68,71
ঘোর,এরপর সৌভাগ্যবান ক্রেতাকে নিয়ে ক্যাশ ভাউচারের টাকায় কেনা পণ্যসহ ব্যান্ড পার্টি সহযোগে পিকআপে করে আশুলিয়া ও ধামরাইয়ের বিভিন্ন এলাকা ঘোরা হয় ।,1,134,137
ঘোর,"বালুরঘাট থানার পুলিশ সূত্রে জানা গিয়েছে , শনিবার রাত প্রায় ১২টা নাগাদ বালুরঘাটের ডানলপ মোড় এলাকায় ওই নাবালককে ঘোরা ফেরা করতে দেখা যায় ।",1,114,117
ঘোর,ফেসবুক - সহ সোশ্যাল মিডিয়ার বিভিন্ন প্ল্যাটফর্মে ঘোরা ফেরা করা অজস্র . . .,1,50,53
ঘোর,ফেসবুক - সহ সোশ্যাল মিডিয়ার বিভিন্ন প্ল্যাটফর্মে ঘোরা ফেরা করা অজস্র মিম - এর সঙ্গে এই ছবি স্ট্যাম্পের মতো করে সেঁটে থাকতে অনেকেই . . .,1,50,53
ঘোর,লোকসভা ভোটের মুখে অনুব্রত মণ্ডল নিজের দায়িত্বপ্রাপ্ত এলাকাগুলি ঘোরা শুরু করে দিয়েছেন ।,1,64,67
ঘোর,সেই মতোই ছদ্মবেশে স্টেশনের কাছে ঘোরা ফেরা করছিলেন পুলিসকর্মীরা ।,1,32,35
ঘোর,"সোমবার নারদ মামলায় তৃণমূল কংগ্রেসের ১২ জন নেতা , মন্ত্রী ও সাংসদ সহ এক পুলিশ কর্তার বিরুদ্ধে এফআইআর দায়ের করার পরেই এই প্রশ্নটাই এখন ঘোরা ফেরা করছে বিভিন্ন মহলে ।",1,135,138
ঘোর,মোট ১২ বছর ধরে নাকি পর্ন বাজারে ঘোরা ফেরা করছেন প্রিয়া ।,1,32,35
ঘোর,অপর একটি বাইসন ঘোরা ফেরা করতে থাকায় এলাকায় আতঙ্কের সৃষ্টি হয় ।,1,15,18
ঘোর,আজকাল ওয়েবডেস্কঃ ব্রিটেনের ঘরে ঘরে এখন একটাই নাম ঘোরা ফেরা করছে ।,1,50,53
ঘোর,গতকাল থেকেই এই রিপোর্ট সোশ্যাল মিডিয়ায় ঘোরা ফেরা করছে ।,1,41,44
ঘোর,কিন্তু সদ্য দলে যোগ দেওয়া রাজারহাট নিউ টাউনের প্রাক্তন বিধায়ক সব্যসাচী দত্তের নিরাপত্তা নিয়ে যথেষ্ট পর্যালোচনা করেছে কেন্দ্রীয় স্বরাষ্ট্র মন্ত্রক দফতর এবং এর পরেই সিদ্ধান্ত নেওয়া হয় বিজেপি নেতা সব্যসাচী দত্ত এ বার সিআরপিএফ জওয়ান নিয়ে ঘোরা ফেরা করতে পারবেন ।,1,242,245
ঘোর,"যে চাঁদ পৃথিবীর কক্ষপথে কীভাবে ঘোরে , তা বুঝতে পেরে ৪০০ বছর আগে নিজেকে অভিযাত্রী করে ' ড্রিম ' নামে একটি গল্প লিখেছিলেন ।",1,31,34
ঘোর,"২৫ মার্চ আবার সকাল ৯টায় রওয়ানা দিব মাধবকুন্ড , দুপুর ১টা হতে দেড়টার ভেতর মাধবকুন্ড থেকে রওয়ানা হয়ে লাউয়াছড়া ( চেষ্টা করব লাউয়া ছড়ায় আপনাদের দুপুরের খাবার সারানোর ) হয়ে শ্রীমঙ্গল বিভিন্ন স্পট ঘোরে সিলেট ফেরা ।",1,202,205
ঘোর,গতকালও তা ৩৫ ডিগ্রীর কাছে পীঠে ঘোরা ফেরা করে ।,1,31,34
ঘোর,ইন্টারনেটে ইদানিং একটি আলিয়া ভট্টের ছবি খুবই ঘোরা ফেরা করছে ।,1,46,49
