lemma,sentence,sense,start,end
চড়,কিছুদিন আগে হঠাৎ আট মাসের জন্য এয়ারবাস লিজে নেয় চড়া দামে ।,0,50,52
চড়,বর্তমানে সবজির চড়া মূল্য দেখে আগে - ভাগেই অনেক কৃষক উঁচু জমিতে নানা জাতের সবজি চাষ করেছে ।,0,15,17
চড়,ট্রেন ছাড়ার কয়েক ঘণ্টা আগে চড়া দামে তা বিক্রি করে ।,0,29,31
চড়,"এই প্রযুক্তিবিদের কথার সূত্র ধরেই বলা যায় , রেস্তোরার রোবটগুলো বিদেশ থেকে চড়া মূল্যে আমদানি করা হলেও , এমন লাইনআপ রোবট বাংলাদেশের তরুণরা বানিয়েছে বহু আগে ।",0,75,77
চড়,অথচ গাড়ি ছাড়ার কিছু আগে থেকে ব্ল্যাকে চড়া মূল্যে টিকিট পাওয়া যায় ।,0,40,42
চড়,"’ এরপর রাসেল ফার্মেসির স্বত্বাধিকারী রাসেলের সঙ্গে মুঠোফোনে যোগাযোগকরে চড়া দামে অনুভূতিনাশক ইনজেকশন বিক্রির ব্যাপারে জানতে চাইলে তিনি প্রথম আলোকে বলেন, ‘এর আগে ওই ইনজেকশন বিক্রি হয়েছে এক হাজার থেকে দেড় হাজার টাকায়।",0,75,77
চড়,আমন ধান ওঠার আগে নভেম্বরের শুরুর দিকে নওগাঁর হাটবাজারে ধানের দাম ছিল চড়া ।,0,69,71
চড়,ঈদের আগে চড়া দামে বিক্রি হওয়া বেগুনের দাম সব থেকে বেশি কমেছে ।,0,9,11
চড়,আওয়ার ইসলামঃ প্রায় ছয় মাস আগে ফ্রিজে রাখা মাংস রমজানে চড়া দামে বিক্রি করছেন এক শ্রেণির অসাধু ব্যবসায়ী ।,0,57,59
চড়,"বিদেশ বিভূঁইয়ে টাকা পয়সা হারিয়ে যাওয়ার চেয়েও বেশী বিপজ্জনক কাগজ পত্র হারিয়ে যাওয়া - আগে তাও পকেটমাররা টাকা পয়সা নিয়ে পাসপোর্ট ভিসা ইত্যাদি কাগজপত্র যেখানে পকেটমারি হয়েছে , সেখানের ডাস্টবিনে ফেলে দিত - এখন নাকি পরিচয় পত্র গুলোও চড়া দামে চোর বাজারে বিক্রি হয় ।",0,238,240
চড়,"চাভেজের আমলে অর্থনীতি চাপের মুখে পড়ার কারণগুলো মোটা দাগে এ রকম: ভঙ্গুর অবকাঠামো, দেশীয় মুদ্রার চড়া মূল্য এবং শিল্পক্ষেত্রে আশানুরূপ উৎপাদন না হওয়া।",0,97,99
চড়,তখন থেকে আড়ৎ থেকে চড়া দামে কিনে আমরা কেজি প্রতি ৫ - ৭ টাকা বেশি নিচ্ছি ।,0,19,21
চড়,"আমরা আশা করি, অর্থমন্ত্রী বাজেট চূড়ান্ত করার সময় প্রবাসীকল্যাণ ব্যাংককে অন্তত ১০০ কোটি টাকার একটি থোক বরাদ্দ দেবেন, যাতে কেবল বিদেশ গমনে ইচ্ছুকদের নয়, পাশাপাশি যাঁরা এরই মধ্যে চড়া সুদে ঋণ নিয়ে বিদেশে পাড়ি দিয়েছেন, তাঁদেরও এই ঋণের আওতায় নিয়ে আসা যায়।",0,179,181
চড়,"এই অভিজ্ঞতার পরে আমি ব্যক্তিগত উদ্যোগে পাড়ায় পাড়ায় আরও এই ধরনের বেশ কয়েকটি সাইবার ক্যাফে খুঁজে পেয়েছি যেখানে সম্পূর্ণ বেআইনি ভাবে ন্যূনতম ৫০০ টাকার বিনিময়ে আধারের তথ্য আপডেশন করা হচ্ছে , নতুন আধারের ক্ষেত্রে তার দাম আরও চড়া - এবং কোথাওই কোনও রসিদ দেওয়া হচ্ছে না ।",0,227,229
চড়,"আমদানীকারকরা তাদের ইচ্ছেমত দরে বিক্রি করছে আমদানীকৃত ফল আঙ্গুর , আপেল , নাশপাতি , মালটা , কমলা , খেজুর , নাকফল ও আমসহ বিভিন্ন ফলফলাদী এতই চড়া দামে বিক্রি হচ্ছে যে সাধারণ মানুষ এসব ফলফলাদী কিনে খেতে পারছে না ।",0,138,140
চড়,"বাজারের অবস্থা চড়লে আমরা কিনে নিই , পড়লে বিক্রি করি "" ।",0,15,18
চড়,"২০০৮ সালে দোকানের জন্য যে টাকা দিয়েছি তা ব্যাংক থেকে চড়া সুদে ঋণ নিয়ে দিয়েছি , অথচ আমরা এখনো দোকান পায়নি ।",0,54,56
