lemma,sentence,sense,start,end
ডাক,বাড়ছে গ্রাহক সন্তুষ্টি আর এভাবে দ্রুত ডিজিটালাইজেশনের পথে এগিয়ে যাচ্ছে বাংলাদেশ ডাক বিভাগ ।,0,82,85
ডাক,নরওয়েজীয় ডাক ও টেলিযোগাযোগ কর্তৃপক্ষ ।,0,11,14
ডাক,বহিঃবিশ্বের ডাক বিভাগ,0,12,15
ডাক,ডাক বিভাগের বিদ্যমান জনবল দিয়েই তা সম্ভব ।,0,0,3
ডাক,আগ্রহী প্রার্থীকে মার্চের মধ্যে ডাকে আবেদনপত্র পাঠাতে হবে ।,0,32,35
ডাক,আপ্লাই করার সপ্তাহ খানেকের মধ্যে ইন্টারভিউ-এর ডাক এলো ই-মেইলের মাধ্যমে - এটাও উল্লেখ করা হলো যে এ বাবদ কোন প্রকার টি .,0,46,49
ডাক,"এর সঙ্গে পরিবহণ , জ্বালানি , বিমা , টেলিকম , প্রতিরক্ষা , ডাকের মতো ক্ষেত্রগুলির একটা বড় অংশই অচল থাকবে বলে আশঙ্কা ।",0,58,61
ডাক,"যথাযোগ্য মর্যাদায় দিবসটি পালন এবং প্রতিপাদ্যকে অর্থবহ করতে ডাক , টেলিযোগাযোগ ও তথ্যপ্রযুক্তি মন্ত্রণালয় এবং বিটিআরসি বিশেষ অনুষ্ঠানের আয়োজন করেছে ।",0,60,63
ডাক,ডাক অধিদপ্তর ও সোনালী ব্যাংকের মধ্যে স্বাক্ষরিত চুক্তি অনুযায়ী ডাক বিভাগ প্রত্যন্ত অঞ্চলে সুবিধা বঞ্চিত মানুষের মধ্যে ডিজিটাল ব্যাংকিং ব্যবস্থা প্রবর্তনের ব্যবস্থা করবে ।,0,0,3
ডাক,"তিনি বলেন , "" লাখ টাকার চেক ডিজঅনার হওয়ার পর গত সেপ্টেম্বর আমি সালুটিকর ও সাহেববাজার পোস্ট অফিস থেকে রেজিস্ট্রি ডাকে এক মাসের মধ্যে টাকা দিতে ফখরুলের কাছে উকিল নোটিশ পাঠাই ।",0,113,116
ডাক,ব্যাংকিং সেবার বাইরে থাকা কোটিরও বেশি মানুষকে আগামী এক বছরে ' ডাক টাকা ' সেবার আওতায় আনার লক্ষ্য নির্ধারণ করেছে ডাক বিভাগ ।,0,62,65
ডাক,"অলস পড়ে থাকা এই টাকায় ওয়াইফাই হটস্পট , দুর্গম এলাকায় ইন্টারনেট এবং প্রাকৃতিক দুর্যোগে টেলিযোগাযোগ সেবায় ব্যয়ের পরিকল্পনার কথা জানিয়েছিল ডাক ও টেলিযোগাযাগ বিভাগ ।",0,143,146
ডাক,"শরীয়তপুর প্রধান ডাকঘর পোষ্ট মাষ্টার শাহ মোহাম্মদ সোহেল বলেন , কার্যক্রম চালানোর বিকল্প জায়গা না থাকায় এ ঝুকিপূর্ণ ভবনেই দাপ্তরিক কার্যক্রম চালাতে হচ্ছে ডাক বিভাগকে ।",0,155,158
ডাক,দেড় দশকে ডাক বিভাগে চিঠি বিলির সংখ্যা কমেছে কোটি ।,0,10,13
ডাক,পাকিস্তানি মূদ্রার ওই টি ডাক টিকিটের সিরিজের দাম পড়ছে টাকা ।,0,25,28
ডাক,ডাক বিভাগ আশা করছে অন্যান্য মোবাইল ফিন্যান্সিয়াল সার্ভিসের মতো ' ডাক টাকা ' দেশের মানুষকে ব্যাংকিং সুবিধার আওতায় আনতে সহযোগিতা করবে ।,0,0,3
ডাক,ব্রিটেইনের রাজা অষ্টম হেনরি সালে রয়্যাল মেইলের আদি ডাক প্রতিষ্ঠানটি স্থাপন করেন ।,0,52,55
ডাক,এছাড়াও জাতির পিতা বঙ্গবন্ধু শেখ মুজিবুর রহমানের জন্মশতবার্ষিকী উপলক্ষে ডাক ও টেলিযোগাযোগ বিভাগের উদ্যোগে স্মারক ডাকটিকিট প্রকাশ করা হয়েছে ।,0,72,75
ডাক,এই আইনে ইস্ট ইন্ডিয়া কোম্পানির আওতাধীন সমস্ত জায়গায় ডাকবহনের কর্তৃত্ব এককভাবে সরকারের ওপর ন্যস্ত হয় এবং বেসরকারি প্রতিষ্ঠানের ডাক নিষিদ্ধ করে দেয়া হয় ।,0,130,133
ডাক,বাংলাদেশর ডাকব্যবস্থা বিশ্বে সর্বপ্রথম ডাক ব্যবস্থার প্রচলন হয় – মিশরে খ্রিষ্ট্রপূর্বাব্দে ভারতীয় উপমহাদেশে ঘোড়ার ডাকের প্রচলন করেন – শোরশাহ বিশ্বের প্রথম ডাক টিকিট চালু হয় – ইংল্যান্ড বিশ্বের প্রথম ডাক টিকিটের নাম – পেনিব্লাক ডাকটিকিটে দেশের নাম লেখা থাকে না – ইংল্যান্ড ভারতীয় উপমহাদেশে প্রথম ডাকটিকিট চালু হয় – সালে বাংলাদেশে প্রথম ডাকটিকিট চালু হয় – সালে বাংলাদেশের প্রথম ডাকটিকিটে ছিল – বাংলাদেশের মানচিত্রের ছবি বাংলাদেশের ডাক টিকিটের ডিজাইনার – বিমান মল্লিক স্বাধীনতার পর প্রথম ডাকটিকিট প্রকাশিত হয় – স্বাধীনতার পর প্রকাশিত প্রথম ডাকটিকিটে ছিল – শহিদ মিনারের ছবি স্বাধীনতার পর প্রথম প্রকাশিত ডাক টিকিটের ডিজাইনার – জিপিও বাংলাদেশের পোস্ট অফিস জাদুঘর অবস্থিত – ঢাকার জিপিও বাংলাদেশের একমাত্র পোস্টাল একাডেমি – রাজশাহীতে বাংলাদেশের প্রথম ডাকঘর স্থাপিত হয় – চুয়াডাঙ্গায় বাংলাদেশের সঙ্গে ডাক যোগাযোগ নেই – ইসরাইলের,0,39,42
ডাক,বুধবার পাকিস্তানের জাতীয় সুরক্ষা কমিটির ( এনএসসি ) বৈঠককালে গৃহীত সিদ্ধান্তের সঙ্গে সামঞ্জস্য রেখে এই পদক্ষেপ নেওয়া হয়েছে বলে জানিয়েছেন পাকিস্তানের যোগাযোগ ও ডাক পরিষেবা মন্ত্রী মুরাদ সঈদ ।,0,162,165
ডাক,চলমান লকডাউনে প্রান্তিক কৃষকদের উৎপাদিত পণ্য রাজধানী ঢাকার পাইকারি বাজারে বিনা মাশুলে পৌঁছে দিতে ' কৃষক বন্ধু ডাক সেবা ' নামে একটি সেবা চালু করেছে ডাক অধিদপ্তর ।,0,110,113
ডাক,বাংলাদেশ সরকার ঘোষিত '' মুজিব বর্ষ-২০২০ '' যথাযোগ্য মর্যাদায় উদযাপনের লক্ষে ডাক অধিদপ্তর প্রান্তে গৃহীত কর্মসূচীর অংশ হিসেবে '' মাননীয় প্রধানমন্ত্রী শেখ হাসিনার শুভেচ্ছা বার্তা ও স্বাক্ষর সম্বলিত পোস্টকার্ড '' চার কোটি দশ লক্ষ পরিবার এর নিকট বিনামূল্যে বিতরণ করা হচ্ছে ।,0,77,80
