lemma,sentence,sense,start,end
তাড়া,"মশা তাড়াতে ধোঁয়া , আগুনে মারা গেল চার গরু",0,4,9
তাড়া,বীজতলা রক্ষা করতে তিনি ও অন্যান্য কৃষকরা মশাল নিয়ে হাতির পালকে তাড়াতে যায় এবং আশপাশের লোকজনকে ডাকাডাকি করতে থাকে ।,0,64,69
তাড়া,স্থানীয় বাসিন্দারা হাতি তাড়াতে বনদফতরের উদাসীনতাকেই দায়ী করছেন ।,0,25,30
তাড়া,"মঙ্গলবার রাতেও বন্যহাতি গুরুচরণ দুধনই গ্রামের লোকালয়ে নেমে এলে স্থানীয় লোকজন মশাল জ্বালিয়ে , চিৎকার করে , পটকা ফুটিয়ে শব্দ করে সনাতন পদ্ধতিতে হাতি তাড়াতে থাকে ।",0,151,156
তাড়া,এ ঘটনায় রাতভর গ্রামের মানুষ হাতি তাড়াতে চেষ্টা করে এবং অনেক গ্রামবাসী আতঙ্কে রাত যাপন করে ।,0,34,39
তাড়া,হাতির আক্রমণ থেকে রক্ষা পেতে শনিবার সন্ধ্যায় নেমে আসা হাতির দলটিকে স্থানীয় অদিবাসীরা জেনারেটরে বৈদ্যুতিক শক দিয়ে তাড়াতে চেষ্টা করে ।,0,116,121
তাড়া,"মঙ্গলবার সকাল থেকেই স্থানীয় বাসিন্দাদের একাংশ হাতে লাঠি , ইট নিয়ে চিৎকার করে হাতি তাড়াতে শুরু করেন ।",0,84,89
তাড়া,বৃদ্ধ বাবা - মাকে মারধর করে তাড়ালো ছেলে,0,28,33
তাড়া,সেখানে সম্প্রতি ঘর করে বাস করা রোহিঙ্গারা হাতির পাল তাড়াতে চেষ্টা করে ।,0,52,57
তাড়া,"এ বিষয়ে বনদফতরের চন্দ্রকোনার রেঞ্জার মানস কান্তি ঘোষ বলেন "" হাতিগুলির পালে বাচ্চা থাকার কারণে তাদেরকে ধীরগতিতে তাড়াতে হচ্ছে ।",0,112,117
তাড়া,"মশা তাড়াতে ধোঁয়া , আগুনে মারা গেল চার গরু",0,4,9
তাড়া,’পাহাড়িদের অনেকেই হাতি তাড়াতে বিদ্যুৎ চায়।,0,24,29
তাড়া,তারা ফসল ও নিজেদের বাঁচাতে মাঝে মধ্যে হাতি তাড়াতে নেমে পড়ছে মাঠে ।,0,43,48
তাড়া,হাতি তাড়াতে গেলে অনেক সময় হাতির দলকে ওই চাষ জমির ওপর দিয়ে নিয়ে যেতে হচ্ছে ।,0,5,10
তাড়া,ফলে ঠিক সময়ে বনকর্মীরা ওই গ্রামে গিয়ে হাতির দলকে তাড়াতে পারবে ।,0,51,56
তাড়া,বাবা কালু লাকড়া ও ছেলে সমীর লাকড়া রাতে হাতির আওয়াজ শুনে নিজেদের ভুট্টার ক্ষেত বাঁচাতে হাতি তাড়াতে যান ।,0,94,99
তাড়া,কিন্তু হাতি তাড়াতে বন বিভাগ বা স্থানীয় প্রশাসনের কোনো উদ্যোগ নেই বলে অভিযোগ করেন এলাকাবাসী।,0,12,17
তাড়া,৫০ জন ছোকরা শুধু এই বাগান থেকে পাখি তাড়াত ।,0,36,41
তাড়া,এ ঘটনার খবর পেয়ে বনকর্মীরা শূন্যে গুলি ছুড়ে নাছোড় মদ্দাদের তাড়াতে সক্ষম হলেও ততক্ষণে ক্ষতি যা হওয়ার হয়ে গিয়েছিল ।,0,62,67
তাড়া,চট্টগ্রামের বাঁশখালী উপজেলায় হাতি তাড়াতে জমিতে লাগানো বৈদ্যুতিক তারে জড়িয়ে এক নারীর মৃত্যু হয়েছে ।,0,35,40
তাড়া,একপর্যায়ে যাত্রীদের তাড়ায় সে মানিব্যাগটি পরিচিত এক দোকানির কাছে রেখে গন্তব্যের দিকে চলে যায়।,0,20,25
তাড়া,বন্যহাতির দলকে তাড়াতে গিয়ে হতাহতের এসব ঘটনা ঘটছে ।,0,15,20
তাড়া,শনিবার রাতে আমন ধান খেত নষ্ট করার খবর শুনে হাতি তাড়াতে গিয়ে স্থানীয় এক কৃষক হাতির পায়ে পিষ্ট হয়ে ঘটনাস্থলেই প্রাণ হারান ।,0,48,53
তাড়া,এদিকে রনেন কুবি ' র ছেলে পলোদফ সাংমা হাতি তাড়াতে গেলে দলের একটি হাতি দৌড়ে এসে তাকে পা দিয়ে পিষ্ট করলে ঘটনাস্থলেই তার মৃত্যু হয় ।,0,42,47
তাড়া,"এই বিষয়ে মাদারিহাট বনদপ্তরের রেঞ্জার খগেশ্বর কার্জি বলেন , খবর পেলেই আমরা হাতি তাড়াতে এলাকায় পৌঁছে যাই ।",0,80,85
তাড়া,এরপর কয়েকদিন আগে থেকে তাকে ভাড়া বাসা থেকে তাড়াতে শুরু করেন আকলিমা ।,0,44,49
তাড়া,পাখি তাড়াতে কয়েকবারই তারা কেটেছে গাছের ডাল ।,0,5,10
তাড়া,আজ বৃহস্পতিবার সকালে দালালের খপ্পরে পরে জিন তাড়াতে শহীদ উল্ল্যাহর কাছে নিয়ে আসা হয় ।,0,44,49
তাড়া,"স্থানীয়রা জানান , সকালে ওই এলাকায় বাংলাদেশের অভ্যন্তরে ৪ - ৫টি ছেলে তাদের ভুট্টাক্ষেতে পাখি তাড়াতে যায় ।",0,94,99
তাড়া,"এসময় এলাকার লোকজন হাতি প্রতিরোধে ঢাকঢোল , টিন , আগুন জ্বালিয়ে আবার কেহ পটকা ফুটিয়ে তাড়াতে চেষ্টা করলে উত্তেজিত হাতির দল বাড়িঘর ভাঙ্গচুরসহ প্রাণ হানি করে থাকে ।",0,86,91
তাড়া,পরে আশ্রয় নেয়া রোহিঙ্গারা হাতির পাল তাড়াতে চেষ্টা করলে তাদের উপর আক্রমণ করে বসে হাতি ।,0,38,43
তাড়া,পাথরঘাটায় শুকর তাড়াতে গিয়ে যুবকের মৃত্যু,0,16,21
তাড়া,রান বাড়ানোর তাড়াতেই আনোয়ার আলিকে আকাশে তুলে ধরা পড়েছেন আফ্রিদির হাতে ।,1,13,18
তাড়া,"আগে ব্যাট করলে বড় রান গড়তে হবে , পরে ব্যাট করলে বড় রান তাড়ার প্রস্তুতি রাখতে হবে ।",1,58,63
তাড়া,এর আগে ২০০৯ সালে ভদোদরায় অস্ট্রেলিয়ার বিরুদ্ধে রান তাড়ার সময় সপ্তম উইকেট বা তার নীচের উইকেটের জুটিতে হরভজন সিংহ ও প্রভীন কুমার ৮৪ রান যোগ করেছিলেন ।,1,53,58
তাড়া,"কারণ , ধোনি আগে ব্যাট করতে গিয়ে দ্রুত আউট হয়ে গেলে আমাদের রান তাড়ার স্বপ্ন ভেস্তে যেত ।",1,64,69
তাড়া,"কিন্তু রান তাড়ার চেয়ে টস জিতলে আগে ব্যাটিং করার চিন্তাই যে বাংলাদেশ শিবিরে বেশি , সেটি তো আগের দিনই তামিম ইকবাল বলেছেন ।",1,11,16
তাড়া,"ম্যাচ শুরুর আগে পিচ রিপোর্টে রাসেল আর্নল্ড বলছিলেন , উইকেট বেশ শক্তপোক্ত , পরের দিকে বড় রান তাড়াও এখানে কঠিন কিছু হবে না ।",1,93,98
