lemma,sentence,sense,start,end
দম,এক রাতে বিয়ারের প্রবল ঘোরে সে প্রত্যয়ের সাথে আমার কানে ফিসফিস করল যাতে আমার দম ফেলার ফুরসুত রইল না ।,2,78,80
দম,"তবে ফুটবল , লম্বা দূরত্বের দৌড় , ম্যরাথন , বাস্কেটবল এ খেলাগুলোতে দম সবচেয়ে বেশি প্রয়োজন ।",0,67,69
দম,"খোসা-সহ সিদ্ধ আলু অল্প তেলে সাঁতলে দম , টিক্কা বা তরকারি খাওয়া যায় ।",1,35,37
দম,". রেইডারকে ধরা ( To hold a raider ) : দম থাকা পর্যন্ত কোন এন্টি বা একাধিক এন্টি রেইডারকে ধোরে কোন নিয়মভঙ্গ না কোরে নিজ কোর্টে ধোরে রাখে তাহোলে , রেইডারকে ধরা হোয়েছে বলে ধরা হবে ।",0,38,40
দম,কথাটায় দম আছে কিন্তু ।,0,8,10
দম,প্রত্যাশার বেলুন আগেই না ফুলিয়ে তাই ধাপে ধাপে দম দেওয়াই শ্রেয় ।,0,47,49
দম,"লুক্রেতিউস জানতেন , তার সফলতা নির্ভর করে এইসব কাকতালীয় শুভক্ষণের উপর , তাই তিনি কবিতাটি শুরুই করেছেন প্রকৃতির মহাশক্তিদের আবাহন করার মাধ্যমে , যাতে তারা তাকে প্রয়োজনীয় দম ও মেধা দেয় ।",0,171,173
দম,"বিন্দু উল্টা-কেরিমচি ভালোবাসে , কোমরে বসে লাফাইতে লাফাইতে দম বের করে দেয় মতিনের ।",2,58,60
দম,কিন্তু বিরতির পরই জাপানি মিডিওর দম শেষ হয়ে গিয়েছিল ।,2,32,34
দম,বলে পঞ্চাশ স্পর্শ করার পর রানের গতিতে দম দেন রুট ।,0,38,40
দম,নিজেদের তো স্পেক্টাকল নামানোর দম নেই তাই অপেক্ষা যদি একটা বার খাওয়া ক্ষুদিরাম পাওয়া যায় ।,0,30,32
দম,হয়ত বুকের মধ্যে জমে আমার দম বন্ধ হয়ে যাচ্ছিল ।,2,26,28
দম,তারপরও যদি কেউ দুঃসাহস দেখায় তা হলে তাদের কঠোরভাবে দম করা হবে ।,2,52,54
দম,"সক্কাল সক্কাল টিফিনবক্সে লুচি আলুর দম আর কমলালেবু পুড়ে সপরিবারে , সবান্ধবে রওনা দিন",1,35,37
দম,একটা দম নিল ।,2,5,7
দম,জনপ্রিয় শিল্পীদের পাশাপাশি এবার তরুণ প্রচ্ছদশিল্পীরাও দম ফেলার সময় পাচ্ছেন না ।,2,55,57
দম,আজ বানিয়ে ফেলুন মুরগির দম ।,1,24,26
দম,"রোগীর মনে হয় , তার দম বন্ধ হয়ে যাচ্ছে ।",2,20,22
দম,তোমাকে না দেখলে আমার দম বন্ধ হয়ে আসবে ।,2,21,23
দম,ম্যাচের বল বাকি থাকতে রানে দম ফুরিয়ে যায় গাজী গ্রুপের ।,0,27,29
দম,ভোরের মৌনতা ভেদ করে আমাদের গেইটে এসে দম ফেলে সে ।,2,37,39
দম,ইদানিং নিশি দম ফেলার ফুরসত পাচ্ছেনা ।,2,12,14
দম,সব খেলার জন্য দম প্রয়োজন ।,0,14,16
দম,"আমার জায়গা ছাড়া অন্যা সবখানে দম বন্ধ লাগে , এটা বলায় যুক্তি দেখাতে বলা হয় যে "" কেন ?",2,31,33
দম,ঘরের ভেতর কেমন যেন দম বন্ধ হয়ে আসছিল তার ।,2,19,21
দম,"বলছেন , "" দম থাকে তো প্রকাশ্যে তর্ক করুন দিল্লির মুখ্যমন্ত্রী !",0,10,12
দম,আচমকা দম বন্ধ হয়ে যায় শিশুটির ।,2,6,8
দম,"সকাল , বিকেল কিংবা সন্ধ্যার নাস্তায় , স্কুলের টিফিনে অথবা ভাত বা পোলাওয়ের সাথে বেশিরভাগ বাড়িতেই হরদম রান্না হয় আলুর দম ।",1,120,122
দম,যাদের ঘারে ভর করে এই স্বৈরাচার আর রাজাকর দম নিচ্ছে তারা কি ?,0,41,43
দম,লুচি আর আলুর দম ছিলো সকালের টিফিনে বরাদ্দ ।,1,13,15
দম,কাজের চাপে দম ফেলার ফুরসত ছিল না ।,2,11,13
দম,"এশিয়া কাপের ইনিংসটি তার ক্যারিয়ারে নতুন দম দিয়েছে বটে , তবে দীর্ঘমেয়াদের পথচলায় মিডল অর্ডার তো ইমরুলের জায়গা নয় কখনোই ।",0,42,44
দম,. যদি রেইডার বিপক্ষের কোর্টে দম ছাড়ে বা হারায় তাহোলে ঐ রেইডার মরা হবে ।,0,29,31
দম,"আমি তোমার জন্য লুচি আর আলুর দম বানিয়ে রেখেছি , রসগোল্লাও ।",1,28,30
দম,প্লেটের ওপর মটন দম বিরিয়ানি ঢেলে দিচ্ছেন ওয়েটার ।,1,16,18
দম,আমরা বানালাম আলুর দম ।,1,18,20
দম,দম ছাড়ার সময় থেকে পর্যন্ত গণনা করুন ।,2,0,2
দম,"' দম ' দেখাতে তাঁরাও যে প্রস্তুত , তা বুঝিয়ে দিয়ে প্রদীপবাবু বলেছেন , "" আমরা এমন পরিস্থিতি তৈরি করতে চাই , যেখানে মমতা বন্দ্যোপাধ্যায় বুঝতে পারবেন তাঁরা কোথায় ছিলেন , কোথায় আছেন আর কোথায় যাবেন । """,0,2,4
দম,"↑ ক খ "" আলুর দম তৈরির রেসিপি "" ।",1,13,15
দম,"কবি তো বদ্ধ ঘরে ' ইয়ে ' করবে না , সেখানে দম বন্ধ হয়ে যায় ।",2,42,44
দম,ডিস্কে নাচতে উঠলেই মিনিটের মধ্যে দম শেষ হয়ে যাচ্ছে বলে মনে হয় ?,0,33,35
দম,আর এই সময়েই সত্যি সত্যি দম বন্ধ হয়ে যাওয়ার অবস্থা হলো .. .,2,25,27
