lemma,sentence,sense,start,end
পটল,"কিছু কিছু প্রশ্নের উত্তর দেয়া সম্ভব হয়নি – মানুষ মারা গেলে কেন সেটাকে "" পটল তোলা "" বলা হয় সেরকম একটা প্রশ্ন !",1,74,77
পটল,"পিতার মৃত্যুর জন্য অপেক্ষা করে করে তিনি নিজেও পটল তুললেন সালে , আওরঙ্গজেব মারা যাবার তিন বছর আগে ।",1,46,49
পটল,"তবে আফসোস , হোঁদল রাজা এবং বুদ্ধু রাজা শেষ পর্যন্ত পটল তুললেও আমাদের দুই রানীর যুদ্ধে প্রাণ শুধু উলু-খাগড়ারই যাচ্ছে ।",1,51,54
পটল,ততক্ষণে আরও দুটো ব্ল্যাকবেরী আইস্ক্রিম পটল তুলল ।,1,39,42
পটল,পটল তুলেও বেঁচে এল সৌরভ ।,1,0,3
পটল,তার পটল তোলা নিশ্চিত করবে ।,1,4,7
পটল,- না মানে কালকে রাতে আপনার অবস্থা খুব খারাপ হয়ে গিয়েছিলো তাই ভাবলাম আবিদ হেসে বলল - তাই ভাবলে বুড়োটা বুঝি এবার সত্যি সত্যিই পটল তুললো ।,1,127,130
পটল,"কিছু কিছু প্রশ্নের উত্তর দেয়া সম্ভব হয়নি - মানুষ মারা গেলে কেন সেটাকে ' পটল তোলা ' বলা হয় , সেরকম একটা প্রশ্ন ।",1,74,77
পটল,তাদের অনেকেই আবার ওখানেই পটল তুলেছে ।,1,25,28
পটল,"বিপজ্জনক একটা ঝুঁকি নিতে যাচ্ছে ও , এক চুল এদিক ওদিক হয়ে গেলে সবাইকে নিয়ে পটল তুলতে হবে ।",1,76,79
পটল,"কখন কে পটল তোলে , তার কোনো সঠিক নিয়ম কানুন বা ঠিক ঠিকানা নেই ।",1,7,10
পটল,"মানুষ লক্ষ হাজার বছর আগে আগুন ব্যাবহার শিখেছে কিন্তু কোন নিয়ন্ত্রণ ছিল না তাতে , মাত্র হাজার বছর আগে মানুষ নিয়ন্ত্রিত উপায়ে আগুনের ব্যাবহার শিখেছে । আগের মানুষের গড় আয়ু ছিল মাত্র বছর , চিন্তা করুন একটা মানুষের যদি যুবক হতে হতেই পটল তোলার সময় হয়ে যায় তাহলে সে গবেষণা বা জ্ঞান কিভাবে করবে আর কিভাবেই বা পরবর্তী প্রজন্মে তা বিতরণ করবে ।",1,233,236
পটল,"আজকের সরকার কিংবা বিরোধী পটল তুলবেন , কিন্তু এই পঠলের রেখে যাওয়া গোপন মাইনগুলো আগামীর অসংখ্য সম্ভাবনাকে রক্তাক্ত করবে ।",1,25,28
পটল,পৃথিবীতে বহু ভাষা পটল তুলেছে - দুটো কারনে ।,1,18,21
পটল,"হর্ষ বিষাদ শোক বিস্ময় সবই গেছে ভুলে , মনে হচ্ছে বসে আছে তারাই পটল তুলে ।",1,63,66
পটল,"এই আৎকা অভিযানে নায়ক চারদিনে দুইবার গুলিও খায় , পুরা ভিলেন বাহিনী সাফ হয়ে যায় , নায়িকা মুক্তি পায় আর বোনাস হিসেবে দুই নাম্বার নায়িকা পটল খায় মানে পটল তোলে আরকি !",1,140,143
পটল,"কেউ আসছে সোনার চামচ মুখে নিয়ে , লাট বাবার সম্পদ বসে বসে খায় আর একসময় চক্ষু উল্টিয়ে পটল তুলে ।",1,87,90
পটল,তুমি পটল প্রায় তুলে ফেলেছিলে ।,1,5,8
পটল,"কাজী আবু ইউসুফ ( রিফাত ) বলেছেন : সায়ানাইড গ্রহণ করলে কেউ ইংরেজিতে এর বানান লেখার আগেই পটল তুলে - আর আপনি বলেছেন : । ইভা ব্রাউন সায়ানাইড বিষ পান করেন , আর হিটলার নিজের মাথায় গুলি করেন এবং সম্ভবত সায়ানাইডও গ্রহণ করেছিলেন ।",1,88,91
পটল,ভাইটা বুঝি তুলবে পটল নিঃশ্বাসও বয়,1,17,20
পটল,"তারা ঠিক করেছেন সারাজীবন একই বাসায় থাকতে চান , এখানেই নাতি-নাতনির মুখ দেখতে চান , এখানেই পটল তুলতে চান ।",1,90,93
পটল,"আপনি যখন উপরে গিয়ে পটল তুলতে যাবেন , তখন কি আর আপনার মেয়ে দোয়া করবে কিনা সন্দেহ ।",1,20,23
পটল,মারের চোটে ভজা পটল তুলেছে-এ কী যে সে ব্যাপার ?,1,15,18
পটল,"তুমি না থাকিলে তো কবেই পটল তুলিতাম "" ।",1,23,26
পটল,মামু যে তোর কথা ভাবতেভাবতেই পটল তুলল রে ।,1,28,31
পটল,এরা ফেসবুক স্ট্যাটাসে দোয়া করে যাতে দেশের সব ডাক্তারের করোনা হয় এবং ওরা পটল তুলে ।,1,74,77
