lemma,sentence,sense,start,end
পড়া,"পারসিউকিশানের ( persecution ) পুরো অর্থটা সে সময় বুঝে উঠিনি , পড়ার সময় এতটুকু বুঝতে পেরেছি আদিবাসী চাকমা - দের উপর নির্যাতনকে বোঝানো হচ্ছে ।",0,63,67
পড়া,বরং সাতপাকে বাধা পড়ার আগে নিজের স্বাধীনতা ভোগ করুন ।,0,17,21
পড়া,আজাদের এই ভালো ইংরেজি লেখাটা শেষ পর্যন্ত কাজে লেগেছিল তার ধরা পড়ার মাত্র দিন সাতেক আগে ।,0,62,66
পড়া,"একটা কারণ হতে পারে এর কয়েকদিন আগে পড়া শীলা ধারের রাগন জোশ - এর মতো জোরদার মিউজিক্যাল মেমোয়ার পড়ার পর সে ঘরানার অন্য যা - ই পড়ি না কেন , জোলো লাগতে বাধ্য , কিন্তু পুরো কারণটা সেটা নয় ।",0,96,100
পড়া,"ফুপা তার স্ত্রীর এই পিছিয়ে - পড়াটা খুব উপভোগ করেন এবং বলেন , তোমার আরো পনেরো বছর আগে জন্মগ্রহণ করা উচিত ছিল ।",0,30,34
পড়া,""" বাবার মৃত্যুটা স্বাভাবিক বলে মেনে নিয়েছিলাম , বাবা খুব পরিশ্রমী এবং একরোখা ছিলেন , মৃত্যুর দুইদিন আগে একটা ঘটনা এ একটু বিচলিত ও ছিলেন , আমাদের মোবাইল এর দোকানের একটি কর্মচারি কিছু টাকা সরিয়েছিল , এই হাজার তিনেক মত , সুবল দাস বাড়ি কৈখালীতে , ধরা পড়াতে কবুল ও করেছিল , বলেছিল "" পুলিশ এ দেবেন না দয়া করে , আমার মাস - মাইনে থেকে দিয়ে দেব , ওকে ৬ , ০০০ / - দিতাম মাসে , তাই রেহাই দিয়েছিলাম ।",0,250,254
পড়া,লেটেস্ট খবর হচ্ছে জিওনিস্ট ইন্টেলিজেন্সের এজেন্ট মারা পড়ার আগে একটা রিপোর্ট ফাইল করে গেছিল ।,0,54,58
পড়া,"তিনি বলেন চট্টগ্রাম মুসলিম হাইস্কুলে পড়াকালীন আমাদের কেমেস্ট্রি পড়াতেন সাত্তার সাহেব ; তিনি আমাকে বলতেন তুমি অনর্গল কথা বলো , দেখো মরার আগে তোমার বাকশক্তি রহিত হয়ে যাবে ।",0,37,41
পড়া,"তাকে দেখা তো দূরের কথা , ঢুকে পড়ার খরটাও আমরা এর আগে পাইনি !",0,30,34
পড়া,"আপনি বিস্মিত নয় এবং ইতিমধ্যে বিভ্রান্ত তাহলে , অন্য চোয়ালের বাতিল আবিষ্কারের যে প্রত্নতত্ত্ববিদরা ভারতে ভ্যালেন্টাইন্স দিন সম্বন্ধে চীন তৈরি সম্পর্কে পড়ার আগে আপনার seatbelt পরেন .",0,152,156
