lemma,sentence,sense,start,end
পর,"কালো মেয়েটা সাদা ফ্রক পরে , দুই ঝুঁটি করে আর কোনো অন্ধকারে লুকাতে যায়নি ।",0,0,1
পর,ভিডিওতে রাতের অন্ধকারে সাদা শাড়ি পরা এক নারীকে হাঁটতে দেখা গেছে ।,0,14,16
পর,কালো শরীরে ওরকম পরলে অন্ধকারে চেনা যায় ?,0,0,1
পর,অন্ধকারে কালো পোশাক পরা রাজমোহনকে অস্পষ্ট দেখা যাচ্ছে ।,0,0,2
পর,আর যারা দিনের আলোয় ভদ্রতার মুখোশ পরে থাকে তারাই রাত্রের অন্ধকারে সঠিক চেহারা দেখায় ।,0,10,11
পর,অন্ধকারে অনক সময় ধরে মোবাইল ঘাটলে তার নীল আলো সরাসরি চোখের উপর পরতে থাকে ।,0,0,2
পর,গামছা লুঙ্গির মত করে পরে বঁটি দিয়ে অন্ধকারে মাছ কুটতে বসেছে ।,0,17,19
পর,অন্ধকারে জেরিন গায়ের ওড়নাটা চাদরের মতো পরে নেয় ।,0,0,2
পর,ভয়ে ভয়ে অন্ধকারে হাতড়ে বিছানার পাশে রাখা বুট দুটো তুলে পরে নিল সে ।,0,10,12
পর,আমি তখন লুঙ্গি পরে আছি এবং যথার্থ অর্থে অন্ধকারে হারিয়ে গেছি ।,0,4,7
পর,"কাদম্বরী শুধু একটা জাম রঙের শাড়ি পরে আছেন , মাথার চুলে একটি বেশ বড় আকারের চিরুনি ।",0,0,1
পর,"সম্রাট্ ধর্মাশোক ধুতি পরে , চাদর গলায় ফেলে , আদুড় গায়ে একটা ডমরু - আকার আসনে বসে নাচ দেখছেন !",0,15,16
পর,"আর ছেলেটি ভেবে রেখেছে, কখনো তার প্রিয় মানুষকে বলবে লাল পেড়ে সাদা শাড়ি, আর কপালের আকাশে ছোট্ট একটি লাল টিপ পরতে।",0,23,26
পর,"আকাশে যদিও কিছুটা আলোর আভা ছড়িয়ে ছিল , সে আলোও আড়াল হয়ে গিয়েছিল রং বেরঙের পোশাক পরে আসা মডেলদের আলোতে ।",0,11,12
পর,"আকাশটা যেন হামিদার সখের শাড়ি , যে শাড়ি সে কোনদিনই পরতে পারেনি , যে শাড়ি সে একদিন পরবে , আকাশটা যেন সেই শাড়ি ।",0,9,10
পর,শাদা শিফনের শাড়ি পরে যখন বের হল - তখন আকাশে চাঁদ উঠে গেছে ।,0,7,9
