lemma,sentence,sense,start,end
পালা,ছড়িয়েছিটিয়ে দু ' একটি দল আগে - পরে তাদের নতুন পালার মহলা শুরু করলেও মূলত রথযাত্রার শুভ সন্ধ্যায় আনুষ্ঠানিক ভাবে শুরু হত সব দলের মহলা ।,0,49,53
পালা,"উল্লেখ্য, এর আগে পালাটি লন্ডনের রিচমিক্স থিয়েটার ও সোয়াস ইউনিভার্সিটি অব লন্ডনে এবং লিডস ও কার্ডিফ শহরে মঞ্চায়নের মাধ্যমে সুধী মহলের বিপুল প্রশংসা অর্জন করে।",0,17,21
পালা,২০ বছর আগে ময়মনসিংহের একটি সৌখিন গ্রুপ এই পালাটা মঞ্চস্থ করত ফি বছর বিভিন্ন অনুষ্ঠানে ।,0,43,47
পালা,বিয়ের দুই দিন আগে সালমা আনিসের হাত ধরে পালায়।,0,39,43
পালা,পালাটি রচিত হয়েছে আনুমানিক ১০০ বছর আগে।,0,0,4
পালা,মাস কয়েক আগে রাতের পালায় কাজ করতে যাওয়ার সময় বাবার মুখোমুখি হয় সে।,0,19,23
পালা,"ঘনরামের জীবনের নতুন পালার যা থেকে সূত্রপাত , ক্রীতদাস হওয়ার অভিশাপ থেকে মুক্তি পেয়েও ঘনরাম তাঁর স্বাধীনতা আবার কী করে খোয়ালেন , সেই করুণ বৃত্তান্তেই আগে ফিরে যাওয়া যাক ।",0,20,24
পালা,ফেনী সরকারি বালিকা উচ্চবিদ্যালয়ে সাড়ে তিন বছর আগে প্রভাতি ও দিবা শাখা—দুই পালায় ক্লাস চালু হয়েছে।,0,74,78
পালা,পালাটি রচিত হয়েছে আনুমানিক ১০০ বছর আগে।,0,0,4
পালা,"বাঁকুড়া শহরের যাত্রা পালার লাইট ও অন্যান্য সরঞ্জাম সরবরাহকারী সংস্থার এক প্রতিনিধি বলেন , আগে সারা বছরে জেলার বিভিন্ন অংশে তিনশোরও বেশী গ্রামীণ যাত্রা পালা হতো ।",0,22,26
পালা,আমরা যাওয়ার পর অন্য পালার লোকজন দায়িত্ব পালন করতে আসবে।,0,20,24
পালা,"ঘটনাচক্রে , গতবছরের বাজারসফল পালাটি হল ' আমি রাম রহিমের মা !",0,29,33
পালা,"১৯৭১ সালে যুদ্ধকালীন পশ্চিমবঙ্গে রচিত ও অভিনীত পালাগুলো হচ্ছে : মন্মথ রায়ের ' আমি মুজিব নই ' , নরেশ চক্রবর্তীর ' সংগ্রামী মুজিব ' , সত্যপ্রকাশ দত্তের ' বঙ্গবন্ধু মুজিবুর ' , ছবি বন্দোপাধ্যায়ের ' বঙ্গবন্ধুর ডাক ' ।",0,47,51
পালা,"মহুয়ার পালার শিল্প নির্দেশক চন্দ্রা চক্রবর্তী জানান, শাস্ত্রীয় সংগীতই আমার ধ্যানজ্ঞান থাকলেও জগতের সমস্ত রকম সংগীতের রূপ রস গন্ধ আমি আস্বাদন এবং এর মাধ্যমে বিশ্বের তাবৎ সংগীতপিপাসুদের কাছে নতুন নতুন সংগীত উপস্থাপন করতে চাই।",0,7,11
পালা,"ভানু সুন্দরীর পালার অভিনয় দেখতে দেখতে আরো মনে হয়েছে , বাস্তববাদী অভিনয় শিখতে ও শেখাতে স্নানিস্তাভøস্কির কাছে হুমড়ি খেয়ে না পড়ে আমরা আমাদের গায়েনদের দিকেও তাকাতে পারি ।",0,14,18
পালা,"বিশেষ গণনা ছাড়াই আমরা বলে দিতে পারি, সামনের পালায় নির্বাচন, সংসদ, হরতাল ইত্যাদি বিষয়ে যেসব দৃশ্য থাকবে, তাতে কী কী ঘটবে।",0,44,48
পালা,আমি তার কাছ থেকে একটি বাড়ি একটি খামার প্রকল্পের মাধ্যমে সদস্যদের দিন বদলের পালার কথা শুনে ২০১১ সালে ময়মনসিংহ সদর উপজেলার কুষ্টিয়া ইউনিয়নের মাটিয়ামতলা গ্রাম উন্নয়ন সমিতির সদস্য হই ।,0,76,80
পালা,তত্ত্বাবধায়ক সরকারের আমলে বিদ্যালয়টিতে দুই পালার শ্রেণীর কাজ শুরু হয়।,0,43,47
পালা,বাবা রাতের পালায় কাজ করে সবে বাসায় ফিরেছেন।,0,11,15
পালা,"তিনি ঠাকুরদাস দত্ত - বিরচিত ' নল - দময়ন্তী ' , ' কলঙ্কভঞ্জন ' ও ' শ্ৰীমন্তের মশান ' - এই তিনটি পালাই শুধু তার দলে গান করতেন ।",0,96,100
পালা,""" পালাদুটির মধ্যে নারী চরিত্রের স্বাধীন - চিত্ততা , সতীত্ববোধ ও একনিষ্ঠতার পরিচয় রয়েছে এবং পালার নায়িকারা যে রকম জীবনের যন্ত্রণা সহ্য করেছে ও ব্যর্থ প্রণয়ের জ্বালায় দগ্ধ হয়েছে , তাকে অনুধাবন করলে এগুলোর মধ্যে যে কবির জীবনের ব্যক্তি অনুভূতি ধরা পড়ে , তাতে এগুলিকে চন্দ্রাবতীর রচনা বলে ধরলে বোধ হয় অন্যায় হয় না ।",0,2,6
পালা,পরে রাতের আঁধারে সুযোগ বুঝে ট্রাকে করে মালামাল নিয়ে পালায়।,0,52,56
