lemma,sentence,sense,start,end
বল,"মাত্র বলে পাঁচ ছয় ও চার চারে ঝড়ো রান করে ম্যাচের সবচেয়ে চিত্তাকর্ষক চরিত্র যদি হন ওয়েস্ট ইন্ডিজ অলরাউন্ডার আন্দ্রে রাসেল , তাহলে ম্যাচের কারিগর ও ভিত্তি বলতে হবে ডয়েসকেটকে ।",0,6,8
বল,দায়িত্বশীল ব্যাটিংয়ে বলে রান করা এই মিডল অর্ডার ব্যাটসম্যানকে ফেরান আবু হায়দার ।,0,23,25
বল,তবে আউটের ধরন ' বিরল ' বলে পঞ্চাশ বছরের ওয়ানডে ইতিহাসে এমন আউটের ঘটনা মাত্র আটটি ।,0,23,25
বল,ব্যাট হাতে বলে রান করার পর ওভারে মাত্র রান খরচায় উইকেট নিয়ে দলকে রানের জয় পেতে বড় ভূমিকা রেখেছেন সাকিব ।,0,11,13
বল,নিজের জাত চেনাতে না পারলেও অভিষেকে রান তোলেন বলে চার ও ছক্কার সাহায্যে ।,0,45,47
বল,তৃতীয় ওভারের শুরু থেকে খেলে বলে রান করে অপরাজিত থাকেন তিনি ।,0,29,31
বল,মুশফিক ত্বরিত গ্লাভস খুলে সরাসরি থ্রোয়ে বল লাগান স্টাম্পে ।,0,41,43
বল,সব মিলিয়ে নতুন বল হয়ে উঠেছে বাংলাদেশ দলের বড় মাথাব্যথার কারণ ।,0,16,18
বল,সেঞ্চুরির পর হাওয়ায় ভাসিয়ে বল সীমানা ছাড়া করলেন বার !,0,30,32
বল,তবে হাত থেকে বল ছাড়েননি ফিল্ডার ।,0,13,15
বল,বলে ওয়ার্নার করেন । রানের এ জুটি ভাঙার পরই দ্রুত আরো তিন উইকেট হারায় অস্ট্রেলিয়া ।,0,0,2
বল,অনেক বাইরের বল তাড়া করেছিলেন চান্দিমাল ।,0,12,14
বল,ব্যক্তিগত রানে ফার্গুসনের বলে টেইলরের হাতে ক্যাচ তুলে দেন তিনি ।,0,26,28
বল,জেসন হোল্ডারের অনেক বাইরের বল অযথা ডিফেন্স করতে গিয়ে ক্যাচ দেন স্লিপে ।,0,27,29
বল,রানের লক্ষ্য বল বাকি থাকতে ছুঁয়ে তিন ম্যাচের সিরিজে এগিয়ে গেছে ডি ককের দল ।,0,13,15
বল,শেষ বলে ছক্কা হাঁকিয়ে অভিজ্ঞ এই অফ স্পিনিং অলরাউন্ডার মোহামেডান স্পোর্টিং ক্লাবের বিপক্ষে শেখ জামাল ধানমণ্ডি ক্লাবকে এনে দিলেন নাটকীয় জয় ।,0,4,6
বল,কিমো পলে বল ডিফেন্স করেই রান নিতে ছুটছিলেন মুশফিক ।,0,9,11
বল,প্রথমার্ধে বেশ কয়েকবার বল পেয়েও সেটি থেকে গোল বা জোরালো আক্রমণ সাজাতে পারেননি তিনি ।,0,24,26
বল,দলীয় রানে পানিয়াঙ্গারার বলে টেইলরের শিকার হন তিনি ।,0,26,28
বল,তিন প্রতিপক্ষের সঙ্গে বাংলাদেশের খুব একটা পার্থক্য নেই বলে ভালো ফলের প্রশ্নে আশাবাদী কোচ ।,0,55,57
বল,শফিউলে বলে মিডঅনে ঠেলে সিংলে নিতে চেয়েছিলেন টেইলর ।,0,7,9
বল,বাবর আজমের রানের অপরাজিত ইনিংসে করাচি কিংস বল বাকি থাকতে জিতে যায় উইকেটে ।,0,43,45
বল,ধোনি বলে শেষ পর্যন্ত রানে অপরাজিত থেকে দলকে জিতেয়ে মাঠ ছাড়েন ।,0,5,7
বল,বলে রান করে কর্নওয়ালের বলে উইকেটের পেছনে সিলভার হাতে ক্যাচ দেন মুমিনুল ।,0,0,2
বল,ভুবনেশ্বর কুমারের বলে আউট হয়েছেন এইডেন মার্করাম ।,0,18,20
বল,কোহলির বলে চারে খেলা রানের ইনিংসে ভর করেই রানের বড় সংগ্রহ গড়েছে ভারত ।,0,7,9
বল,"প্রথম চার বল দুর্দান্ত করলেও শেষ দুই বলে ছক্কা হজম করেন তিনি , যা নিশ্চিত করে দেয় চেন্নাইয়ের জয় ।",0,10,12
বল,দুই ওভার মিলিয়ে লিন্ডের বলেই ছক্কা মেরেছে উমেশ যাদব ।,0,25,27
বল,ওভারের বাকি তিন বলে উইকেট নিয়ে একই ওভারে ডাবল হ্যাটট্রিক করেন তিনি ।,0,16,18
বল,তবে তম মিনিটে স্পেনের তারকা স্ট্রাইকার ফের্নান্দো তরেস কাছ থেকে হেডে বল জালে পাঠালে সব অনিশ্চয়তার শেষ হয় ।,0,69,71
বল,মিনিটে রাফায়েল গুরেইরোর বাম পায়ের ক্রস থেকে বল পেয়ে গোল করেন পেপে ।,0,46,48
বল,প্রতিপক্ষের ডি-বক্সে উঁচু করে বল বাড়ান মেসি ।,0,30,32
