lemma,sentence,sense,start,end
বিন্দু,"কারণ, অনেক তারাই এত বেশি দূরে অবস্থিত যে বিবর্ধিত করার পরও এগুলোকে একটি বিন্দুর মতো মনে হয়।",0,72,78
বিন্দু,"এসব বস্তু কণার এক বিন্দুতে মিলিত হওয়ার ব্যাপারটাই কিন্তু কসমোলজির বিগ ব্যাং, বা আমাদের মহাবিশ্বের শুরু।",0,18,24
বিন্দু,এমনকি আঙ্গিক পর্যন্ত এপিক বা মহাকাব্যের শীর্ষ বিন্দুতে মিশে গেছে।,0,46,52
বিন্দু,তবে সব ভাবনার কেন্দ্র কিন্তু একটি মাত্র বিন্দুতে এসেই মিলিত হবে ।,0,40,46
বিন্দু,আর ওই বিন্দুই আমাদের পৃথিবী ।,0,6,12
বিন্দু,"খুব সিম্পল লজিকে আমরা দেখি , যদি পয়েন্টটি বাইরে হয় তাহলে আমরা তার থেকে যে কোন দিকে যদি কোন রেখাংশ টানি , সেই রেখাংশটি হয় পলিগনটিকে ছেদ করবেই না ( পলিগন এর বিন্দুগুলো যে দিকে আমরা সম্পূর্ণ বিপরীত দিকে রেখাংশ টানছি ) অথবা অনেক দূরের কোন পয়েন্ট হলে তাকে অবশ্যই পলিগনটিকে ছেদ করে তারপরে আবার বের হতে হবে মানে সর্বদা জোড় সংখ্যক পলিগন এর বাহুকে ছেদ করবে , এর জন্যই দূরের পয়েন্টটিকে অবশ্যই অনেক বেশি দূরে নিতে হবে , পলিগনটি যেই পয়েন্টগুলো দ্বারা ফর্ম করে তাদের থেকে অনেক বেশি দূরে । কেন সর্বদা জোড় সংখ্যক বার ছেদ করবে ? একটু চিন্তা করলেই দেখবে যে , আমরা যখন বাইরে থেকে ভেতরে ঢুকছি আমাদের "" দূরের বিন্দুটি "" পলিগন এর মধ্যে না , তাই আমাদের কি করতে হবে একবার ঢুকে সেই বিন্দুটি পর্যন্ত পৌছাতে হলে রেখাংশটি / রে টিকে অবশ্যই পলিগন এর বাইরে বের হতে হবে । এভাবে প্রতিবার ঢুকতে হলে আবার বের হতে হবে মানে জোড় সং খ্যক বার পলিগনটিকে ছেদ করতে হবে ।",0,158,164
বিন্দু,"একটি শহর গড়ে ওঠার জন্য পশ্চাদ্‌ভূমি হিসেবে যে যোগাযোগের বিন্দুগুলো থাকে, সেগুলো যদি অকার্যকর বা শুকিয়ে মরে, তখন মূল শহরটিও গুরুত্বহীন হয়ে পড়ে।",0,56,62
বিন্দু,"যেমন সহজভাবে চাপ এড়াতে চেয়ারে আরাম করে বসে দেয়ালের একটি বিন্দুতে স্থির দৃষ্টিতে জোরে জোরে শ্বাস-প্রশ্বাস নেওয়া যেতে পারে৷ নিয়মিত ব্যায়াম করা, কাজের ফাঁকে সহকর্মীদের সঙ্গে একটু কথা বলা বা ধ্যানের চর্চা করতে পারেন।",0,56,62
বিন্দু,বিন্দু বিন্দুতে সিন্ধু হয়ে যায়।,0,7,13
বিন্দু,কিন্তু স্বাধীনতা পরবর্তী সময়ে তা এক বিন্দুতে স্থির থাকেনি এবং না থাকাটাই স্বাভাবিক ।,0,37,43
