lemma,sentence,sense,start,end
মধু,দাগ লেগে থাকলে বুঝতে হবে ভেজাল মধু ।,0,31,34
মধু,"তারপর এর মধ্যে ক্যাপসিকাম , মধু , লবন , সয়া সস , চিলি সস দিয়ে মিনিট তিনেক নাড়াচাড়া করতে হবে আঁচ একটু কমিয়ে ।",0,28,31
মধু,"এজন্য আধা কাপ গরম পানির সঙ্গে কয়েক ফোঁটা লেবুর রস , মধু বা তুলসী পাতার রস ও মধু মিশিয়ে খাওয়ানো যেতে পারে ।",0,53,56
মধু,তারা মধু ঢালছে বৈজ্ঞানিক পদ্ধতির বাক্সবন্দী মৌচাকে ।,0,5,8
মধু,"চাক থেকে মেশিনে মধু নিষ্কাশন , বাক্স থেকে ফ্রেম বের করে মধু ছেঁকে আবার বসাতে হয় ।",0,16,19
মধু,* ব্লেন্ডারে একটি আপেল এর সাথে এক চামচ মধু দিয়ে ভালো করে ব্লেন্ড করুন ।,0,39,42
মধু,বাঙ্গি থেঁতো করে নিয়ে মধুর সাথে মিশিয়ে ত্বকে লাগিয়ে রাখুন মিনিট ।,0,23,26
মধু,"স্বাভাবিক ত্বকের জন্য : কাঁচা হলুদের পেস্টের সঙ্গে চালের গুঁড়া , দুধ , মধু ও জলপাই তেল মিশিয়ে নিতে হবে ।",0,72,75
মধু,আধুনিক পদ্ধতিতে সংগৃহীত মধু ও ভেনম মিল্ক সম্পর্ণ নিরাপদ ।,0,24,27
মধু,". দারুচিনি দারুচিনি গুঁড়া , মধু ও লেবুর রস মিশিয়ে ঘন পেস্ট তৈরি করুন ।",0,29,32
মধু,মধু সেই গাছের গোড়ায় বাঁধা পড়ে রইলো ।,0,0,3
মধু,"রোদে পোড়াভাব দূর করতে : তিলের বীজ , শুকনা পুদিনা পাতা , এক টেবিল-চামচ লেবুর রস ও মধু নিন ।",0,82,85
মধু,মধুর শৈশবের বদলে দেখতে হয়েছে ভয়াবহ যুদ্ধ আর করুণ বাস্তবতা ।,0,0,3
মধু,শুকনো ওটসের দানার সঙ্গে দই ও মধু মিশিয়ে পেস্ট তৈরি করে নিন ।,0,29,32
মধু,"ওটমিল , ডিমের কুসুম এবং মধু দূষণের কারণে হওয়া ত্বকের ক্ষয় দূর করে ।",0,24,27
মধু,"আমের পাল্পের মধ্যে চামচ মধু , চামচ দুধ মিশিয়ে একটি স্ক্র্যাবার বানিয়ে নিন ।",0,24,27
মধু,তাই প্রায় প্রতিটি ঘরেই প্রতিদিন মধু পান করা হয়ে থাকে ।,0,33,36
মধু,মধু রাখার স্থানের যাতে অভাব না হয় এজন্য মধু ঘরে আরও নতুন চাক দিতে হবে ।,0,0,3
মধু,গরম স্যুপের উপর গোলমরিচ ছিটিয়ে নিন অথবা চামচ মধুর সাথে চিমটি গোলমরিচের গুঁড়া মিশিয়ে খালি পেটে খান ।,0,46,49
মধু,") একটি পাত্রে অল্প হলুদ , মধু অথবা টক দই আর এক কোয়া লেবুর রস মিশিয়ে পেস্ট তৈরি করে নিন ।",0,26,29
মধু,"ডিম , তেল মধু : ডিমের কুসুম , মধু , আর দুই টেবিল চামচ আপনার পছন্দের তেল নিন ।",0,10,13
মধু,চুলে থেকে কাপ মধু আর সাথে কয়েক ফোঁটা অলিভ অয়েল বা একটি ডিমের কুসুম মেশাতে পারেন ।,0,14,17
মধু,"- স্মরণশক্তি বাড়াতে - চা-চামচ থানকুনি পাতার রস , আধাকাপ দুধ ও সামান্য মধু খান ।",0,71,74
মধু,মুখের দুর্গন্ধ দূর করে উষ্ণ পানিতে মধু ও দারচিনি মেশান ।,0,35,38
মধু,বীটের রসের সাথে কিছুটা দুধ এবং কয়েক ফোঁটা মধু মিশিয়ে মুখে মেখে রাখুন এবং মিনিট পর ধুয়ে ফেলুন ।,0,43,46
মধু,গলা জ্বালা প্রশমিত করতে কেবল এক চামচ মধু নিয়মিত খেলেই হবে ।,0,37,40
মধু,একটি ছোট পাত্রে একসাথে / চা চামচ তাজা চুনের রস মধু চা চামচ গ্লিসারিন চা চামচ শুকনো হওয়ার আগে আলতো করে আপনার ঠোঁটে মিশ্রণটি ধীরে ধীরে প্রয়োগ করুন ।,0,47,50
মধু,ঘি মধু দই দুধ শর্করা মিশিয়ে পুণ্যকর্মে ব্যবহার্য বস্তু ।,0,3,6
মধু,"বিয়ের দিন বর-কনেকে গিলা , চন্দন , কাঁচা হলুদ , কাঁচা দুধ , ঘি , মধু এবং পুকুরের জল দিয়ে স্নান করানো হয় ।",0,65,68
মধু,কিছু শুকনা পুদিনা পাতা ও মধু ।,0,25,28
মধু,গ্রাম মধুতে থাকে ক্যালরি ।,0,6,9
মধু,এরপর মধু চাষিরা চাকের বক্স খুলে চাকের ফ্রেম থেকে মেশিনের মাধ্যমে মধু উৎপাদন করেন ।,0,5,8
মধু,"উপকরণ : - ময়দা কাপ , আটা কাপ , বেকিং পাউডার চা-চামচ , বেকিং সোডা চা-চামচ , লবণ স্বাদমতো , মধু এক কাপের চার ভাগের তিন ভাগ , কলা চটকানো কাপ , কমলার রস আধা কাপ , ডিম টি , ইনস্ট্যান্ট ইস্ট চা-চামচ ও মাখন টেবিল চামচ ।",0,91,94
মধু,কিছুদিন পরপর সরিষা ক্ষেত থেকে সংগ্রহ করা হচ্ছে মধু ।,0,47,50
মধু,"দু'টো ডিমের সাদা অংশ আর এক চামচ করে দুধ , মধু আর লেবুর রস দিয়ে ফেটিয়ে নিয়ে একটা প্যাক তৈরি করে কয়েক ফোঁটা পেপারমিন্ট অয়েল দিয়ে মাস্কটা তৈরি করে গলার এবং থুতনির অংশে লাগিয়ে ফ্যালো ।",0,42,45
মধু,"একটি পাত্রে চামচ চিনি , চামচ হলুদ আর চামচ মধু মেশান ।",0,42,45
মধু,ওটমিল এক কাপ রান্না করা ওটমিলের সঙ্গে অর্ধেক লেবুর রস ও এক চা চামচ মধু মিশিয়ে পিঠের ব্রণের ওপর লাগান ।,0,67,70
মধু,"মধু , নারিকেল তেল ও অ্যালোভেরা",0,0,3
মধু,"তবে , দুধু ও মধুই এর মধ্যে সহজলভ্য ।",0,13,16
মধু,"মধু , দারুচিনি ও লেবু লেবুর রস ওজন কমাতে সাহায্য করে ।",0,0,3
মধু,স্নানের আগে পায়ের পাতায় মধু আর সামান্য লেবুর রস মেশানো প্যাক লাগিয়ে নিন ।,0,26,29
মধু,"ফুলে ফুলে উড়ে উড়ে যে প্রজাপতি মধু খেয়ে বেঁচে থাকে সে-ই যদি ধোঁকাবাজি বুঝতে না পারে , আসল নকল ফুলের প্রভেদ করতে না পারে তবে আমি আজে বাজে জিনিস কিনে ঠকলে খুব একটা দোষ হওয়ার কথা নয় ।",0,32,35
মধু,"এই সময়ে বা অন্য যেকোন সময়ে ঠাণ্ডা থেকে রক্ষা করবে আদা , মধু ও লেবু দিয়ে চা ।",0,58,61
মধু,চা চামচ লেবুর রস ও চা চামচ মধু মিশিয়ে তৈরি করুন ফেসপ্যাক ।,0,27,30
মধু,"মিশ্র ত্বকের যত্নে মুলতানি মাটির প্যাক তৈরি করুন সামান্য হলুদ , দুধ আর মধু মিশিয়ে ।",0,71,74
মধু,মধু ও লেবু টেবিল চামচ মধু ও টেবিল চামচ লেবুর রসের সঙ্গে সামান্য পানি মিশিয়ে নিন ।,0,0,3
মধু,স্ক্রাব তৈরিতে যা লাগবে আমাদের - টেবিল চামচ ওটমিল চা চামচ মধু চা চামচ বেকিং সোডা,0,58,61
মধু,এর সঙ্গে সামান্য ফ্রেশ ক্রিম ( শুষ্ক ত্বকের জন্য ) অথবা টক দই ( তৈলাক্ত ত্বকের জন্য ) এবং টেবিল চামচ মধু মিশিয়ে মাস্ক তৈরি করে নিন ।,0,101,104
মধু,"কলা , পেঁপে ও মধুর তৈরি প্যাক কলা , পেঁপে আর মধু যেমন শরীরে পুষ্টি জোগায় তেমনি রোদে পোড়া ত্বকের যত্নেও এগুলো দারুণ উপকারি ।",0,14,17
মধু,তাতে এক টেবিল চামচ মধু মিশিয়ে খেতে হবে ।,0,19,22
মধু,"কারো গাছের এটা ছেঁড়া , কারো পুকুরের মাছ ধরা , গাছের মগডাল থেকে মধুর চাক কেঁটে আনা ।",0,64,67
মধু,সেটা হল মধু দিয়ে হালকা গরম পানি সাথে লেবু ।,0,8,11
মধু,পানি ফুটে উঠলে এতে সামান্য মধু মেশান এবং দিনে বার এই পানীয়টি পান করুণ ।,0,27,30
মধু,তবে এই খেজুর দুধ বা মধু দিয়ে মিশিয়ে খেলে অনেক উপকার পাবেন ।,0,20,23
মধু,সেখানে ফুলের মধু খেতে কত যে পাখির আগমন ।,0,13,16
মধু,মনে বড় সাধ ছিলো এই কৃষ্ণকলি কৃষ্ণ প্রেমের জোয়ারে ভেসে যাবো কৃষ্ণের ঝালর বাঁশি সুরে সরে এনে দেবে স্বর্গ সুধা দেহময় অবাধ আলোর ঢেউ সিংহের মতো লুটেপুটে খাবো একা মধু ভান্ডার ।,0,160,163
মধু,"] বঙ্গবন্ধুকে দেখেছি , মধুর লোভে তাঁর চার পাশে যারা সারাক্ষণ ঝেঁকে থাকতো তাদের দেখেছি । তারপর ' ও দেখেছি । অগাষ্টের পরে আপনাদের পুর্বসূরীদের ও দেখেছি , আর এখন আপনাদেরকে দেখছি ? শেখ হাছিনা তাঁর পিতার মতো অত উদার আর সরল হবার কথা না । ঠিকই ধরা খাবেন ।",1,23,26
মধু,নিজের উপার্জনের টাকা জমিয়ে প্রিয় ব্র্যান্ডের নামী দামী গাড়ি কিনে লং ড্রাইভে বন্ধুদের সাথে ঈদ আড্ডায় মেতে থাকা সে এক অসাধারণ কিছু মুহূর্ত হয়ত আমার মত অনেকের কাছে ঈদ আনন্দ উপভগের আর এক অনন্য মধুর স্মৃতি ।,1,194,197
