lemma,sentence,sense,start,end
মাথা,অর্থ বিভাগও এক দিনের মাথায় অর্থাৎ গত বুধবার পুরো অর্থই বরাদ্দ দিয়ে দেয়।,0,21,25
মাথা,কোনো কাটছাঁট না    করেই মাত্র তিন দিনের মাথায় অর্থ মন্ত্রণালয় পুরো অর্থই বরাদ্দ দেওয়ার উদাহরণ তৈরি করেছে।,0,40,44
মাথা,"দেখা গেল, এ ধারণা প্রকাশের চার বছরের মাথায় বেইজিং সম্মেলনের মধ্য দিয়ে চীন এই এই উদ্যোগের অন্তত একটি বাস্তব আকার দিতে পেরেছে।",0,37,41
মাথা,"কুমিল্লা বিশ্ববিদ্যালয়ের এক ছাত্রীকে লাঞ্ছনার অভিযোগে তিন বছর আগেই ছাত্রলীগের কর্মী নূরুল আমিন ওরফে সবুজকে বিশ্ববিদ্যালয় থেকে আজীবন বহিষ্কার করা হয়৷ গত মাসে আবারও একই ঘটনা ঘটালে তাঁর বিরুদ্ধে দুটি মামলাও করা হয়৷কিন্তু পুলিশের চোখে পলাতক নূরুল আবারও বিশ্ববিদ্যালয়ের শহীদ ধীরেন্দ্রনাথ দত্ত হলে থাকা শুরু করেছেন৷ এ জন্য তিনি ছাত্রলীগের নেতাদের প্রশ্রয় পাচ্ছেন বলে অভিযোগ করেছেন একাধিক শিক্ষার্থী৷বিশ্ববিদ্যালয় সূত্র জানায়, ২০০৯-১০ শিক্ষাবর্ষের বাংলা বিভাগের শিক্ষার্থী নূরুল আমিন বিশ্ববিদ্যালয়ের এক ছাত্রীকে উত্ত্যক্ত করতেন৷ ওই ছাত্রীকে লাঞ্ছনার অভিযোগে ২০১১ সালের ২৩ এপ্রিল বিশ্ববিদ্যালয় সিন্ডিকেট তাঁকে আজীবন বহিষ্কার করে ও বিশ্ববিদ্যালয় এলাকায় প্রবেশের ক্ষেত্রে নিষেধাজ্ঞা আরোপ করে৷ওই ঘটনার তিন বছরের মাথায় গত ১৯ এপ্রিল দুপুরে নূরুল আমিন রিভলবার নিয়ে বিশ্ববিদ্যালয়ের কলা ভবনের ১০৯ নম্বর কক্ষে বাংলা বিভাগের পরীক্ষার কক্ষে ঢুকেন৷ তিনি সবার সামনে রিভলবার উঁচিয়ে একই ছাত্রীকে শারীরিকভাবে লাঞ্ছিত করেন৷ পরে মোটরসাইকেল নিয়ে ক্যাম্পাস থেকে বেরিয়ে যান৷ এ ঘটনায় পরদিন বিশ্ববিদ্যালয়ের রেজিস্ট্রার মো. মজিবুর রহমান মজুমদার এবং ওই ছাত্রীর বাবা সদর দক্ষিণ থানায় নূরুল আমিনের বিরুদ্ধে পৃথক মামলা করেন৷ কিন্তু গতকাল পর্যন্ত নূরুল আমিনকে গ্রেপ্তার করতে পারেনি পুলিশ৷ধীরেন্দ্রনাথ দত্ত হলের একাধিক শিক্ষার্থী জানান, নূরুল আমিন আগে হলের ২০৩ নম্বর কক্ষে থাকতেন৷ মামলার পর থেকে তিনি পলাতক ছিলেন৷ কিন্তু গত বুধবার থেকে হলের ৩০৪ নয়তো ৩০০৪ নম্বর কক্ষে থাকছেন৷ এর মধ্যে ৩০০৪ কক্ষে নূরুল আমিনের বর্ষের কয়েকজন বন্ধু ও ৩০৪ নম্বর কক্ষে বিশ্ববিদ্যালয় শাখা ছাত্রলীগের যুগ্ম আহ্বায়ক আল আমিনের অনুসারীরা থাকেন৷শিক্ষার্থীরা জানান, নূরুল আমিন সাধারণত দিনে কক্ষে থাকেন না৷ রাতে থাকেন৷ এ জন্য হল শাখার ছাত্রলীগের নেতারা তাঁকে আশ্রয়-প্রশ্রয় দিচ্ছেন বলে তাঁরা অভিযোগ করেন৷হলে থাকার ব্যাপারে নূরুল আমিনের দুটি মুঠোফোনে গতকাল শুক্রবার একাধিকবার কথা বলার চেষ্টা করেও সেটি বন্ধ পাওয়া যায়৷বিশ্ববিদ্যালয় শাখা ছাত্রলীগের আহ্বায়ক মাহমুদুর রহমান বলেন, ‘নূরুল আমিন একসময় আমাদের সঙ্গে ছাত্রলীগ করতেন৷ এখন আর তিনি বিশ্ববিদ্যালয়ের ছাত্র নন৷ বিশ্ববিদ্যালয়ে তাঁর প্রবেশ করার ক্ষেত্রে নিষেধাজ্ঞা রয়েছে৷ তবে বুধবার তাঁকে হলে দেখা গেছে।",0,706,710
মাথা,ট্রাম্প দায়িত্ব নেওয়ার আগে রাশিয়ার সঙ্গে ফ্লিন যোগাযোগ করেছিলেন—এমন অভিযোগে জাতীয় নিরাপত্তা পরামর্শকের দায়িত্ব নেওয়ার মাত্র ২৩ দিনের মাথায় সরে যান ফ্লিন।,0,133,137
মাথা,"নতুন ব্যাংকগুলোর জন্মের চার বছরের মাথায় কয়েকটিতে নজিরবিহীনভাবে কেন্দ্রীয় ব্যাংকের পর্যবেক্ষক নিয়োগের বিষয়টি এটাই দৃঢ়ভাবে প্রমাণ করে যে ব্যাংকগুলোকে অনুমোদন দেওয়ার আগে যে আশঙ্কা করা হয়েছিল, সেসব সত্য বলে প্রমাণিত হতে যাচ্ছে।",0,34,38
মাথা,এর আগে গত সোমবার লেনদেনের ৫০ মিনিটের মাথায় দুই স্টক এক্সচেঞ্জে বড় ধরনের দরপতন হলে নিয়ন্ত্রক সংস্থা দুই স্টক এক্সচেঞ্জেরই লেনদেন বন্ধ করে দেয়।,0,37,41
মাথা,"ইরাক পরিস্থিতি ভয়াবহ দিকে মোড় নিচ্ছে৷ একিটর পর একিট এলাকার নিয়ন্ত্রণ চলে যাচ্ছে জঙ্গিদের হাতে৷ তাদের প্রতিরোধের জোর প্রচেষ্টা সত্ত্বেও তেমন কিছু করে উঠতে পারছে না সরকারি বাহিনী৷ এ অবস্থায় ইরাক সরকারকে প্রয়োজনে সামরিক সহযোগিতার আশ্বাস দিয়েছে যুক্তরাষ্ট্র৷ ইতিমধ্যে তারা যুদ্ধবিমানবাহী একটি রণতিরও পাঠিয়েছে আরব উপসাগরে৷ কিন্তু প্রতিবেশী দেশে বাইরের সামরিক হস্তক্ষেপের বিষয়ে সতর্ক করে দিয়েছে ইরান৷ খবর এএফপি ও বিবিসির৷আল-কায়েদা-সমর্থিত সুিন্নপন্থী জঙ্গিরা ঠিক এক সপ্তাহ আগে অভিযান শুরু করেছিল৷ এই এক সপ্তাহে তারা পুরো একটি প্রদেশ এবং অন্য তিনটি প্রদেশের অংশবিশেষ নিজেদের দখলে নিয়ে নিয়েছে৷ কিন্তু তাদের মোকািবলায় নিরাপত্তা বাহিনী দৃশ্যত বড় কোনো সফলতা দেখাতে পারেনি৷ অনেক ক্ষেত্রে তারা অস্ত্র, গোলাবারুদ ও সাঁজোয়া যান ফেলে পিছু হটে৷ইরাকি বাহিনীর শীর্ষস্থানীয় কর্মকর্তারা জানান, তাঁরা পুনরায় শক্তি সঞ্চার করে জঙ্গিদের হটাতে জোর উদ্যমে এগিয়ে চলছেন৷ সেনারা বাগদাদের উত্তরের দুটি শহর থেকে জঙ্গিদের হটাতে সক্ষম হয়েছে৷ তাদের সঙ্গে শিগগির যোগ দেবে অসংখ্য স্বেচ্ছাসেবী৷তবে দেশের মধ্যাঞ্চলে কিন্তু স্বেচ্ছাসেবী সংগ্রহের একটি কেন্দ্রে গতকাল রোববার মর্টার হামলা চালায় জঙ্গিরা৷ এতে তিন সেনাসহ অন্তত ছয়জন নিহত হয় বলে জানায় পুলিশ৷লড়াইয়ের মাঠে যখন এ অবস্থা, তখন মার্কিন প্রেসিডেন্ট বারাক ওবামা বলেছেন, বাগদাদের দিকে জঙ্গিদের অগ্রসরের গতি রোধ করতে সম্ভাব্য সব ধরনের পদক্ষেপের কথা বিবেচনা করছে তাঁর সরকার৷ তবে ইরাকে আবার মার্কিন যুদ্ধসেনা পাঠানোর সম্ভাবনা নাকচ করে দিয়েছেন তিনি৷সাদ্দাম হোসেনকে উৎখাতে ২০০৩ সালে ইরাকে অভিযান শুরু করে মার্কিন নেতৃত্বাধীন বাহিনী৷ আট বছরের মাথায় ইরাক থেকে সব মার্কিন সেনা প্রত্যাহার করা হয়৷ এর আগে ও পরে ইরাকে একটি দক্ষ ও সক্ষম নিরাপত্তা বাহিনী গড়ে তুলতে কোটি কোটি মার্কিন ডলার ব্যয় করেছে যুক্তরাষ্ট্র৷ এর পরও এত দ্রুত সেই বাহিনী কীভাবে এতটা ভেঙে পড়ল, তা নিয়ে বিরোধী রিপাবলিকানদের দিক থেকে জোর সমালোচনার মুখে আছে ওবামা প্রশাসন৷মার্কিন প্রতিরক্ষা দপ্তর পেন্টাগনের মুখপাত্র জন কিরবি জানান, ইরাক সংকট সামাল দিতে জঙ্গিবিমানবাহী রণতরি ইউএসএস জর্জ এইচ ডব্লিউ বুশকে আরব উপসাগরে পাঠানোর নির্দেশ দিয়েছেন প্রতিরক্ষামন্ত্রী চাক হেগেল৷যুক্তরাষ্ট্রের এ ঘোষণায় তীব্র প্রতিক্রিয়া জানিয়েছে ইরান৷ দেশটি বলেছে, বাইরের কোনো ধরনের সামরিক হস্তক্ষেপ ইরাকের পরিস্থিতিকে আরও জটিল করে তুলবে৷ইরানের পররাষ্ট্র মন্ত্রণালয়ের মুখপাত্র মার্জিহ আফখাম বলেন, ‘সন্ত্রাসবাদ ও চরমপন্থার বিরুদ্ধে লড়াইয়ের সক্ষমতা ও প্রয়োজনীয় প্রস্তুতি ইরাকের আছে৷ সেখানে বাইরে থেকে কোনো হস্তক্ষেপে যদি পরিস্থিতি আরও জটিল হয়, তাহলে তা ইরাক বা এই অঞ্চলের জন্য ভালো হবে না৷’তবে এর এক দিন আগে ইরানের প্রেসিডেন্ট হাসান রুহানি কিছুটা ভিন্ন কথা বলেন৷ তিনি বলেন, ইরাকের সুন্নি জঙ্গিদের ঠেকাতে যুক্তরাষ্ট্র যদি কোনো কার্যকর ব্যবস্থা নেয়, তাহলে ইরানও তাদের সহযোগিতা করবে৷এদিকে ইরাকের বর্তমান পরিস্থিতির জন্য পরোক্ষভাবে আন্তর্জাতিক সম্প্রদায়কে দায়ী করেছে সিরিয়ায় জাতিসংঘ ও আরব িলগের সাবেক বিশেষ দূত লাখদার ব্রাহিমি৷ তাঁর মতে, প্রতিবেশী দেশ সিরিয়ার সংকটকে আন্তর্জাতিক সম্প্রদায় অবহেলা করায় তা ছড়িয়ে পড়েছে ইরাকেও৷ গতকাল তিনি বার্তা সংস্থাকে বলেন, ‘এটা খুব সাধারণ নিয়ম, এ ধরনের সংঘাত (সিরিয়া) কোনো একটি দেশের সীমানায় সীমাবদ্ধ থাকে না৷’",0,1465,1469
মাথা,এর আগে ২০০৫ সালে বাজেট পাসের দেড় মাসের মাথায় আমদানি শুল্কের ক্ষেত্রে বড় ধরনের পরিবর্তন আনা হয়েছিল।,0,39,43
মাথা,"প্রস্তাবগুলোর মধ্যে রয়েছে গ্রন্থ প্রকাশের আগে অবশ্যই রাষ্ট্রীয় স্ট্যাম্পে লেখকের সঙ্গে চুক্তি হতে হবে, লেখকের কাছে টাকা নিয়ে প্রকাশক বই প্রকাশ করতে পারবেন না, লেখক বা অনুবাদকদের সম্মানী ও বই প্রকাশের এক মাসের মাথায় লেখকের কাছে বই পৌঁছে দেওয়া।",0,209,213
