lemma,sentence,sense,start,end
সারা,কোষ্ঠকাঠিন্য সারাতে একগ্লাস গরম দুধে এক চিমটি জাফরান নিয়ে দু তিন মিনিট গরম করে পান করুন ।,0,13,17
সারা,কোমর বা পিঠে ব্যথা সারাতে এই আসনটি করা অভ্যাস করুন ।,0,19,23
সারা,"তা ছাড়া এটি এমন একটি মাইক্রো নিউট্রিয়েন্ট, যা দেহের বিভিন্ন উৎসেচককে কার্যকর করে তোলে এবং শিশুর রোগ সারাই বা প্রতিরোধ এবং পুষ্টি পূরণে সাহায্য করে।",0,100,104
সারা,এমনকি অ্যানিমিয়া সারাতেও সাহায্য করে কলা ।,0,18,22
সারা,. লবণ পানি : পেশি শিথিল করতে এবং ক্ষত সারাতে সাহায্য করে লবণ পানি ।,0,38,42
সারা,"রান্নায় সূর্যমূখী তেল ব্যবহার করলে হার্টের সুরক্ষা যেমন হয় , তেমনি হার্টের অসুখ থাকলে তা সারাতে সাহায্য করে ।",0,91,95
সারা,এছাড়াও সম্প্রতি গবেষণায় প্রমাণিত আলসার সারাতে বাঁধাকপি সাহায্য করে ।,0,41,45
সারা,শুকনো কাঁচা আমের গুড়া স্কার্ভি নামক চর্মরোগ সারাতে ব্যবহার করা হয় ।,0,45,49
সারা,"এছাড়াও এটি স্ট্রোক , আলঝাইমারের মতো নানা স্নায়ুক্ষয় জনিত রোগ সারাতে সাহায্য করে ।",0,64,68
সারা,বর্ষাতি বেগুনের এই কৃমি সারাতে এক লিটার জলে দেড় মিলিমিটার কার্বোসালফান গুলিয়ে বেগুন গাছে স্প্রে করলে দ্রুত ভালো ফল পাওয়া যায় ।,0,24,28
সারা,"আসলে অ্যাকনে বা ব্রণ হল এমন এক ধরনের ত্বকের রোগ , যাকে স্কিনের অন্দর থেকে না সারালে বাড়ে বাড়ে আক্রমণ করতে থাকে ।",0,77,81
সারা,মুখে ঘাঁ ও ত্বকের প্রদাহ সারাতে সাহায্য করে ১৩ ।,0,25,29
সারা,"ক্লান্তি দূর করতেও যেমন এর জুড়ি মেলা ভার , তেমনই ব্রণ সারাতেও পারে এটি ।",0,55,59
সারা,এছাড়া পেঁপের পাতা প্রতিদিন দুইবার রস করে খেলে তা ডেঙ্গু জ্বর সারাতে ভূমিকা রাখে ।,0,62,66
সারা,"যদিও ইহা শারীরিক দুর্বলতা , রক্তশূন্যতা , অ্যাজমা রোগ , ডায়াবেটিস , বাতজ্বর , পাইলসসহ অনেক রোগ সারাতে মহৌষধের মতো কাজ করে ।",0,96,100
