lemma,sentence,sense,start,end
হাত,রপ্তানি চাহিদার প্রতি লক্ষ্য রেখে তাই সংশ্লিষ্টরা এ ক্ষেত্রে আরও বহু পরিকল্পনা হাতে নিয়েছেন ।,0,79,82
হাত,"তিনি বলেন , ' পাঠ্যপুস্তক প্রস্তুত , বিতরণ ও সময়মত সকল শিক্ষার্থীর হাতে তা পৌঁছে দেয়া শিক্ষাক্ষেত্রে সর্ববৃহৎ কার্যক্রম ।",0,68,71
হাত,অর্থ পকেটস্থ করার লক্ষ্যেই তিনি একের পর এক প্রকল্প হাতে নিচ্ছেন ।,0,51,54
হাত,এবং অবশ্যই কয়েক হাজার ভিজিটিং কার্ড বিতরণ করেছেন দর্শনার্থীদের হাতে ।,0,64,67
হাত,ফিলিস্তিনিরা ইসরায়েলের হাতে নিহত সবাইকে ' শহীদ ' বলে ডাকে ।,0,24,27
হাত,দিনটি উপলক্ষে বর্ডার গার্ড বাংলাদেশ ( বিজিবি ) ও সেনা সদর নানা কর্মসূচি হাতে নিয়েছে ।,0,72,75
হাত,গ্লোবাল হাইস্কুল ক্যাটাগরিতে শেখ হাসিনা পুরস্কার তুলে দেন মধ্য প্রশান্ত মহাসাগরের দেশ কিরিবাতির ইউতান তারাওয়া লেতা জুনিয়র হাইস্কুল প্রতিনিধির হাতে ।,0,144,147
হাত,' বেজার হাত ধরে বাংলাদেশ বিনিয়োগ বান্ধব সুস্থ্য পরিবেশ গড়ে তুলতে সমর্থ হয়েছে ।,0,8,11
হাত,সরকারিভাবে সঠিক পরিকল্পনা হাতে নিলে প্রাকৃতিক পরিবেশে গড়ে উঠবে আকর্ষণীয় পর্যটনকেন্দ্র ।,0,26,29
হাত,হাতের নাগালে পাওয়া ওষুধ খেয়ে সর্দি-কাশি নিরাময়ের চেষ্টা করি ।,0,0,3
হাত,মালয়েশিয়ার সামরিক বাহিনীর জয়েন্ট ফোর্স হেডকোয়ার্টার্সের চিফ অব স্টাফ ও ভাইস অ্যাডমিরাল দাতো পালোয়ান হাজি মোহাম্মদ আদিব বিকেলে চট্টগ্রামের জেলা প্রশাসক জিল্লুর রহমানের হাতে ত্রাণসামগী তুলে দেন ।,0,172,175
হাত,মারধরের হাত থেকে রেহাই পায়নি রবি রায়ের ছোট ছেলেটিও ।,0,8,11
হাত,"এবার চাবিগুলো আমার হাতে দিয়ে তিনি বললেন , ' স্টেডিয়ামের দায়িত্ব আপনাকে দেয়া হলো ।",0,19,22
হাত,তাই ব্যবসায়ীদের হাত থেকে রাজনৈতিক ক্ষমতা পুনরুদ্ধার করা সম্ভব না হলে গনতন্ত্র তথা মানবতার মুক্তি সম্ভব নয় ।,0,17,20
হাত,কক্সবাজারের ওপর চাপ কমাতে গত বছরের ফেব্রুয়ারিতে ভাসানচরে একর জমির ওপর আশ্রয় শিবির নির্মাণের প্রকল্প হাতে নেয় সরকার ।,0,102,105
হাত,সেখানকার আলে-খলিফা রাজপরিবার সরকার বিরোধী যেকোনো তৎপরতাকে কঠোর হাতে দমন করে আসছে ।,0,63,66
হাত,তিনি একা হাতেই ধ্বসিয়ে দিয়েছেন নাইটদের টপ অর্ডার ।,0,9,12
হাত,অভিবাসী শ্রমিকদের হাত থেকে রেহাই পায়নি পুলিশও ।,0,18,21
হাত,আসছে ডিসেম্বর ও জানুয়ারির মধ্যে দেশের সব নাগরিকদের হাতে উন্নত মানের জাতীয় পরিচয়পত্র ( স্মার্ট কার্ড ) পৌঁছে দেয়া হবে বলে জানিয়েছেন প্রধান নির্বাচন কমিশনার ( সিইসি ) কেএম নূরুল হুদা ।,0,52,55
হাত,""" মার্চের আগে যারা বাঙালিদের হাতে মারা পড়েছিল তারা মূলত বিহারী , তবে সরকারের সঙ্গে সহযোগিতাকারী ডানপন্থী জামাত-ই-ইসলাম ও মুলসিমলীগের কিছু সদস্যও ছিল তাদের মধ্যে ।",0,29,32
হাত,সম্প্রতি ফ্রান্সের সুপ্রিম কোর্ট জালালকে ওয়াশিংটনের হাতে তুলে দেয়ার নির্দেশ বহাল রাখে ।,0,53,56
হাত,"ছাত্রলীগের নেতৃত্ব থেকে ধাপে ধাপে যুবলীগের নেতৃত্ব পাওয়া , আওয়ামী লীগের পদ পাওয়া সাংগঠনিক দক্ষতায় জনপ্রিয় নেতাদের হটিয়ে দুর্জয় রাতারাতি রাজা-বাশারদের নেতা বানান , তাদের হাতেই তুলে দেন দলীয় কর্তৃত্ব ।",0,176,179
হাত,বিষয়টি এখন নির্বাহী কমিটির হাতে ।,0,28,31
হাত,প্রেসিডেন্ট রিসেপ তাইয়েপ এরদোয়ান ' ভিশন ' হাতে নেন দেশকে প্রতিরক্ষা খাতে স্বনির্ভর করতে ।,0,44,47
হাত,ডিভিডেন্ড প্রদানের ওই অনুষ্ঠানেশেয়ার হোল্ডারদের হাতে ডিভিডেন্ড হস্তান্তর করেন গ্রামীণ ব্যাংকের ব্যবস্থাপনা পরিচালক বাবুল সাহা ।,0,49,52
হাত,প্রতারক চক্রের হাতে পড়ে হজে যেতে না পাড়ায় দিশেহারা হয়ে পড়েছেন ভুক্তভোগীরা ।,0,15,18
হাত,নুরুলইসলা০৬০৪ বলেছেন : বৃটিশদের হাত থেকে দেশের স্বাধীনতার জন্য তার আত্মাহুতি স্বরনীয় হয়ে থাকবে ।,0,32,35
হাত,বক্তাগণ বিএনপি জামাতের জঙ্গী ও সন্ত্রাসী কর্মকান্ডের হাত থেকে দেশকে রক্ষা করার জন্য সবাইকে ঐক্যবদ্ধ হয়ে কাজ করার আহবান জানান ।,0,53,56
হাত,"তদন্ত প্রতিবেদনের বিষয়ে তিনি বলেন , সেটি আমাদের হাতে জমা হয়েছে , এখন তা পর্যালোচনা করে দেখা হবে ।",0,49,52
হাত,"এই অর্থ সংগ্রহে সরকারকে কোনো জামানত দিতে হবে না উল্লেখ করে সচিব বলেন , আমাদের হাতে প্রচুর রিজার্ভ রয়েছে ।",0,78,81
হাত,এর পেছনে সশস্ত্র বিহারীদের হাত রয়েছে বলে সন্দেহ করা হয় ।,0,27,30
হাত,"শরীফা শাকিরাহ জানান , অল্প বয়স্ক কন্যাদের নিয়ে উদ্বিগ্ন বাবা-মা নিরাপত্তার জন্য এবং বাড়ির বোঝা কমাতে অথবা পাচারকারীদের কাছে শোনা মালয়েশিয়ায় উন্নত জীবনের লোভনীয় গল্পে প্রভাবিত হয়ে তরুণীদের পাচারকারীদের হাতে তুলে দেয়া হয় ।",0,209,212
হাত,শিক্ষা ব্যবস্থার নীতিনির্ধারণ ক্ষমতা কাদের হাতে ?,0,43,46
হাত,আর % শেয়ার হাতে নেবে পণ্য বাজারে লেনদেনকারী সংস্থা ট্রাফিগুরা এবং রাশিয়ার লগ্নি তহবিল ইউসিপি-র কনসোর্টিয়াম কেসানি এন্টারপ্রাইজেস কোম্পানি ।,0,12,15
হাত,"তিনি হাসিনাকে স্পষ্ট করে জানিয়ে দিলেন , ঢাকার মেট্রো রেল থেকে হাত গুটোবে না জাপান ।",0,63,66
হাত,সম্প্রতি প্রশিক্ষণ কেন্দ্রগুলো শক্তিশালী ও আধুনিকায়নে প্রকল্প হাতে নেয়া হয়েছে । ',0,63,66
হাত,"মুশতাক হোসেন বলেন , ' চার সপ্তাহ সময় হাতে রাখা হলেও সপ্তাহ পর্যন্তই তো সময় আছে ।",0,38,41
হাত,"যোগী আরও বলেন , '' উত্তরপ্রদেশ-সহ অন্য যে সব জায়গায় করোনা ছড়িয়ে পড়েছে , তার পিছনে তবলিগ জামাতেরই হাত রয়েছে ।",0,102,105
হাত,এ ছাড়া আন্তর্জাতিক বেসামরিক বিমান পরিবহন সংস্থার বেঁধে দেওয়া সময় অর্থাৎ নভেম্বরের মধ্যে দেশের বাইরে থাকা প্রায় লাখ প্রবাসীর সবার হাতে যন্ত্রে পাঠযোগ্য পাসপোর্ট না থাকলে তাদের সমস্যা হতে পারে বলেও মনে করেন তিনি ।,0,133,136
হাত,তাদেরকে অস্ত্র হাতে বিরোধী দলকে দমন করার কথাও বলে দিয়েছে বলে মন্তব্য করেছেন বিএনপি'র ভাইস চেয়ারম্যান আব্দুল্লাহ আল নোমান ।,0,15,18
হাত,লালুও সেদিন অন্যদের সাথে তৎকালীন রাষ্ট্রপতির হাতে জমা দেন অস্ত্র ।,0,45,48
হাত,যাদু মিয়া শুধু শহীদ জিয়ার পাশেই দাঁড়াননি গণতন্ত্রের জন্য তিনি ন্যাপের নির্বাচনী প্রতীক ধানের শীষ বিএনপির হাতে তুলে দিয়েছিলেন ।,0,108,111
হাত,বক্তব্যের সপক্ষে একটি সিডি পুলিশের হাতে তুলে দেন তিনি ।,0,35,38
হাত,এ রকম অস্বাভাবিক স্বাভাবিকতার হাত থেকে মুক্ত হয়েই আমরা আসল সংখ্যালঘুদের চিনে নেব এবং তাদের অসঙ্গত কর্তৃত্বের অবসান ঘটিয়ে সংখ্যাগুরু জনগণের সুসঙ্গত কর্তৃত্বের প্রতিষ্ঠা ঘটাব ।,1,30,33
হাত,"তাঁর পাশে থেকে হাত বাড়িয়ে দিচ্ছি আমরা । """,1,15,18
হাত,তারপরই তার দুটি হাত শিথিল হয়ে গেল এবং হাতের ষ্টেনগান ঝুলে পড়ল ।,1,16,19
হাত,আর ডুবোজ্বরে উষ্ণ আমি ক্রমান্বয়ে শ্রান্ত হচ্ছি রিফাতের হাতের মিহিন পরশে !,1,56,59
হাত,গুমটির চালার একধারে মনিরুল উবু হয়ে বসে এতক্ষণ নাগাড়ে দুই হাঁড়ির জলে হাতের ছপটি মারছিল আর ভরা আকাশের দিকে মাঝে মাঝে তাকাচ্ছিল ।,1,71,74
হাত,রমজানের ওই রোজার শেষে এসে গেছে ফের ঈদ কাঁধে কাঁধ রেখে হাতে হাত ধরি ছুঁড়ে ফেলে সব জিদ !,1,54,57
হাত,"তার হাত স্পর্শ করেই আমার সমস্ত শরীরে শীতল স্রোত বয়ে গেলো , তার হাত ছিলো বরফের মত ঠাণ্ডা ।",1,4,7
হাত,দূরে দিগন্তের কালশিরা - যেন হাত বাড়ালেই ছোঁয়া যাবে ।,1,28,31
হাত,তাতেই যেন চাঁদের উত্তাপ ছুঁয়ে গেল কিশলুর হাল ধরা হাতে ।,1,50,53
হাত,হাতের রিভলবার ছিটকে পড়ে গেল ।,1,0,3
হাত,"এক হাতে সিগারেট পুড়ছে , আরেক হাতে বইটি মেলে-ধরা , ফলে , তাঁর মুখ দেখা যাচ্ছে না ।",1,3,6
হাত,বেলা এগারটার দিকে হাতে কফি নিয়ে একটু সময় পাওয়া গেলো ।,1,18,21
হাত,বাকলটা আমার হাতে দিয়ে উপরে একসারি গুহার দিকে আঙ্গুল দিয়ে দেখাল তারপরে নিজের ঠোঁটের উপর আঙুল রেখে ইশারায় ঘটনাটা গোপন রাখতে বলে আবার চুপি চুপি ফিরে গেল সে নিজের গুহায় ।,1,12,15
হাত,হাত দিয়ে কিছু করতে পারে না ।,1,0,3
হাত,"তবে ব্যাট হাতে সেই একই রকম – আগ্রাসী , ঝোড়ো ।",1,10,13
হাত,মারিয়া কথায় কথায় চরম সিনক্রিয়েট শুরু করে এবং গায়ে হাত তুলে ।,1,55,58
হাত,"ছোট বোন কাঁপা হাতে একটা খবরের কাগজ এগিয়ে দিল আমার দিকে প্রথম পাতাতেই চোখ আটকে গেল একটা ছবিতে হ্যা , ছবিটা মেঘার নরপিশাচ গুলো ওর শরীরটাকে ভোগ করেই শ্রান্ত হয়নি , খুন করে ফেলে রেখে গেছে একটা নর্দমার মধ্যে৷ বেশিক্ষন তাকিয়ে থাকতে পারলাম না ছবিটার দিকে",1,14,17
হাত,""" এহ , বহুদিন তুষারঝড় হয় না "" হাত নাড়িয়ে বলে উঠলো কিল্গাস , ঠোঁটকাটা লাল-মুখো লাটভিয় ।",1,32,35
হাত,"চুটকি গাছের মোলায়েম পাতায় হাত বুলাচ্ছে , চোখ দিয়ে পানি ঝরছে ।",1,28,31
হাত,অর্জুন রাও ভাবতে থাকে গরম থাকলে লাশ দিয়েও কাজ চালিয়ে দেয়া যেতো কিন্তু গাধাটা এত্তগুলো গুলি মেরেছে যে লাশে হাত লাগানরও জো নেই আর .. .,1,109,112
হাত,কথাটা শুনা মাত্রই আম্মা ঝড়ের বেগে আলমারী খুলে একশো বিশ টাকা হাতে ধরিয়ে দিলো ।,1,61,64
হাত,"আসন্ন ফাগুন পূর্ণিমায় আবারও হাঁটবো একা নয় , কেউ একজন হাত ধরবে !",1,55,58
