lemma,sentence,sense,start,end
এঁটে,প্রথম সারির অভিনেতা-অভিনেত্রীরা এসব বিষয়ে মুখে কুলুপ এঁটে থাকলেও শেষ .. .,0,54,58
এঁটে,"আমাদের পররাষ্ট্রমন্ত্রী এই সাইবার আক্রমনকে বেআইনী লেবেল এঁটে দিয়েছেন , "" কোন ভারতবিরোধিতা নয় "" এই নীতি থেকে ।",0,56,60
এঁটে,প্রতিবেশীর মোরগের মুখে সেলোটেপ এঁটে দেব ।,1,31,35
এঁটে,"তার ডানা জোড়া এঁটে দেয়া , পা দুটোও বাঁধা থাকায় , গান ধরে সে গলা ছেড়ে ।",1,15,19
এঁটে,তাদের মুখে কৌশলে কুলুপ এঁটে দেওয়ার জন্যই কি তবে বৈঠকটির আয়োজন করা হয়েছিল ?,0,23,27
এঁটে,কিন্তু পুজোর সময় কি দুয়ারে খিল এঁটে ঘরে বসে থাকা যায় !,1,33,37
এঁটে,জিনজিয়াংয়ে মুসলিমদের ওপর চীনের এই দমন-নীতির ব্যাপারে রিয়াদ সবসময়ই মুখে কুলুপ এঁটে থেকেছে ।,0,81,85
এঁটে,"খামের মুখ এঁটে ওপরে লিখল : ক্যাপ্টেন জেমস কালহাউন , লোন-স্টার জাহাজ , স্যাভানা , জর্জিয়া ।",1,10,14
এঁটে,কিন্তু নিন্দুকের মুখে কুলুপ এঁটে প্রথম ছবিতেই নিজের জাত চেনান এই তারকা ।,0,28,32
এঁটে,আর তাই তারা একদম টার্গেট সেট করে লক্ষ্য-পরিকল্পনা আর কৌশল এঁটে বাংলাদেশের বোলিং শক্তিসামর্থ্য এবং বোলারদের একেকজনের বোলিং সামর্থ্য বুঝে অনেক হিসেবনিকেশ করে ব্যাট করেছে ।,1,58,62
এঁটে,প্রেম জমে ক্ষীর হলেও মুখে কুলুপ এঁটে রয়েছেন ভিকি কুশল এবং ক্যাটরিনা কাইফ ।,0,32,36
এঁটে,উনি এবার মোটামুটি পায়ের নিচ থেকে হাঁটু পর্যন্ত প্লাস্টার এঁটে দিলেন ।,1,58,62
এঁটে,কিন্তু বন বিভাগ যেন মুখে কুলুপ এঁটে নিরব দর্শকের ভূমিকা পালন করছে ।,0,31,35
এঁটে,"এদিকে , মুখে কুলুপ এঁটে রয়েছে এলিয়ট ম্যানেজমেন্ট , কিছু জানাতে নারাজ তারাও ।",0,19,23
এঁটে,"তিনি উপস্থিত সবাইকে উদ্দেশ করে বলেন , ' কেউ কিছুই দেখেননি , মুখে কুলুপ এঁটে থাকবেন । '",0,71,75
এঁটে,তারই প্রমাণ পাওয়া গেল রোহিঙ্গা প্রশ্নে ওপরে বর্ণিত সব পক্ষই যখন মুখে কুলুপ এঁটে বসে থাকে তখন ।,0,76,80
এঁটে,তিনিও দুর্নীতিবিরোধী নীতিমালার দোহাই দিয়ে মুখে কুলুপ এঁটে রইলেন !,0,54,58
এঁটে,"বিরোধীরা এই নিয়ে প্রশ্ন তুললে , সেনার পারদর্শিতা নিয়ে প্রশ্ন তোলা হচ্ছে বলে ঘুরিয়ে তাদের দেশ বিরোধী তকমা এঁটে দেওয়ার চেষ্টা হয়েছিল ।",1,108,112
এঁটে,এতে মাংসের প্যাকেট একটার গায়ের সাথে আরেকটা এঁটে যাবার চিন্তা থাকবে না ।,1,44,48
এঁটে,"এই দেশপ্রেম এর তকমা এঁটে আমাদের দেশে সাবান-টেলিফোন-গুড়ামশলা বিক্রী হচ্ছে - এটি নতুন কোন ( ধরে নেই বেঠিক ) দেশপ্রেমের ধারনা দেয় , নাকি মানুষের মনে যে দেশপ্রেম আগে থেকেই আছে সেটাকে ব্যাবহার করে , সেটা যদি কেউ খোলাসা করে দিতে পারতো , ভাল হত ।",1,20,24
এঁটে,"শুধু তাই নয় , আজকে এমন নৃশংস মানবতাবিরোধী কর্মকাণ্ড প্রত্যক্ষ করেও যেসব মানবতাবাদীরা মুখে কুলুপ এঁটে বসে আছেন তাদেরকেও একদিন কাঠগড়ায় দাঁড়াতে হবে ।",0,97,101
এঁটে,"কোন চাপে মুখে কুলুপ এঁটে বসে রয়েছেন তিনি , সে প্রশ্ন উঠছে বারবার ।",0,20,24
এঁটে,একদিকে প্রধানমন্ত্রী নরেন্দ্র মোদীর বিরুদ্ধে বারংবার বিভিন্ন সমস্যায় মুখে কুলুপ এঁটে থাকার অভিযোগ রয়েছে ।,0,81,85
এঁটে,মুখ্যমন্ত্রী বিভিন্ন দুর্নীতির প্রসঙ্গে মুখে কুলুপ এঁটে আছেন বলেও বিরোধী দলনেতা সমালোচনা করেছেন ।,0,51,55
এঁটে,তারপরও নিন্দুকের মুখে কুলুপ এঁটে দাম্পত্য জীবনের দুই বছর পার করলেন প্রিয়াঙ্কা ।,0,28,32
এঁটে,সাম্বাদের গোল মেশিন ফ্যাবিয়ানো প্রতিপক্ষকে ঘায়েল করতে বুদ্ধি এঁটে ফেলেছেন ।,1,63,67
এঁটে,কিন্তু ছেলের হাতের চড়-থাপ্পড় খেয়ে বেমালুম মুখে কুলুপ এঁটে ছিলেন বৃদ্ধ বাবা ।,0,56,60
এঁটে,কিন্তু কংগ্রেস শাসিত রাজ্য রাজস্থানের এই ধর্ষণকাণ্ড নিয়ে রীতিমত মুখে কুলুপ এঁটে রয়েছে কংগ্রেস ।,0,76,80
এঁটে,"সংবিধানের ষোড়শ সংশোধনী নিয়ে অনেক বুদ্ধিজীবী অনেক কথা বলেছেন , বিশ্বজিৎ হত্যার রায় নিয়ে তারা মুখে কুলুপ এঁটে বসেছেন কেন ?",0,107,111
এঁটে,* নেকলেস পরার ক্ষেত্রে গলার সঙ্গে এঁটে থাকা নেকলেস পরবেন না ।,1,34,38
এঁটে,"যাকে তিনি আলোচনার জোয়ারে উত্তাল ঢেউ বইছে , সেই আগুয়েরো এতদিন মুখে কুলুপ এঁটে ছিলেন ।",0,74,78
এঁটে,দেশের ভেতরে-বাইরে সাম্প্রদায়িক রাষ্ট্রের তকমা এঁটে দিতে আমাদের কত না ফিকির ।,1,47,51
এঁটে,"অথবা যে সব লোক নিজের সুনাম ভালোবেসে দুয়ার ও পরচুলা না এঁটে জানে না কোনো লীলা , অথবা যে সব নাম ভালো লেগে গিয়েছিলো : আপিলা চাপিলা ; – রুটি খেতে গিয়ে তারা ব্রেড্বাস্কেট খেলো শেষে ।",1,55,59
এঁটে,"আমরা দেখতে পাই , এ ধরনের ঘটনাতে কেন্দ্রও কখনও মুখে কুলুপ এঁটে বসে থাকে ।",0,57,61
এঁটে,কিন্তু তাদের সঙ্গে প্রেম বা শারিরীক সম্পর্কের বিষয়ে মুখে সব সময় কুলুপ এঁটে থেকেছেন এ অভিনেত্রী ।,0,72,76
এঁটে,"আমি তাড়ানোর চেষ্টা করি , কিন্তু সরে না এঁটে থাকা সে ব্যথা ।",1,40,44
এঁটে,"তবে বিয়ে কবে হবে , দিনক্ষণ কী তা নিয়ে দুই পরিবার মুখে কুলুপ এঁটে বসে আছে ।",0,62,66
এঁটে,যদিও তার বর্তমান সম্পর্ক নিয়ে মুখে কুলুপ এঁটে বসে আছেন বছর বয়সী ওই অভিনেত্রী ।,0,42,46
এঁটে,চশমা এঁটে ভালবাসা খুঁজেছি সন্ধি মুহিদ - -,1,5,9
এঁটে,বানর তখন মনে-মনে ফন্দি এঁটে পাল্কির দরজা খুলে রেখে আড়ালে গেল ।,1,23,27
এঁটে,তাহলে কি তাদের নিরপরাধ ধরে নিয়ে আমাদের সবার এতদিন মুখে কুলুপ এঁটে বসে থাকা উচিত ছিল ?,0,62,66
এঁটে,তাড়াতাড়ি ওর খিল এঁটে দিলাম ।,1,18,22
এঁটে,"এই মাস্ক এমনভাবে মুখে এঁটে থাকে , যাতে বাইরের বাতাস পরিশুদ্ধ না হয়ে কোনোভাবেই শরীরে প্রবেশ করতে না পারে ।",1,22,26
এঁটে,ক্রিকেটের এই সংক্ষিপ্ত সংস্করণে কোনো দলের গায়ে ফেভারিটের তকমা এঁটে দেয়াও কঠিন ।,1,63,67
এঁটে,এত দিন এ বিষয়ে মুখে কুলুপ এঁটে রইলেও সম্প্রতি মুখ খুলেছেন ।,0,27,31
এঁটে,বাংলাদেশের প্রতি ক্ষেত্রে দুর্নীতি ভালভাবেই এঁটে গেছে ।,1,44,48
এঁটে,অবশ্য আর্জেন্টিনার কোচ হওয়া নিয়ে এখনো মুখে কুলুপ এঁটে আছেন সাম্পাওলি ।,0,51,55
এঁটে,তাদের মোকাবিলা করার আদেশ যারা দেবেন তারা রহস্যজনক কারণে আছেন মুখে কুলুপ এঁটে ।,0,72,76
এঁটে,"তারপর পল্টু দাদার গোঁপ খুলে খুলে যাচ্চিল দেখে রিশকাতে চেপে বসল আর গোঁপ এঁটে এঁটে দিতে লাগল , অনেকবার দিয়েচে ।",1,71,75
এঁটে,"যাদেরকে পেটানো যায়নি , তাদের মুখে কুলুপ এঁটে দেওয়া হলো ।",0,41,45
