lemma,sentence,sense,start,end
কপাল,কপাল থেকে ঘাড়ের নিচ পর্যন্ত পাটকিলে বর্ণ ।,0,0,4
কপাল,"সেদিন দেখলাম মাথা বাঁকিয়ে কপাল না ঠেকিয়ে গাল ঠেকিয়ে নামায পড়ছেন কিছু ব্যাক্তি ( নেটে দেখেছি ) মোঃপুরে থাকতে শিয়া মসজিদে গিয়ে দেখয়েছিলাম সবাই গোল করে বসে নামায পড়েন , পশ্চিম দিকে নয় আমার মনে হয় ধর্মীয় ব্যাপারে একটা স্টান্ডার্ড থাকলে ভাল হয় ।",0,27,31
কপাল,' মা-গো ' – বলে শকুন্তলা রাজসভায় সানের উপর ঘুরে পড়ল ; তা'র কপাল ফুটে রক্ত ছুটল ।,0,61,65
কপাল,"শুধু খুন না , কোন বান্দার প্রতি করা যেকোন অন্যায় , সেটি খুন থেকে শুরু করে ধর্ষণ , ডাকাতি , ছিনতাই হয়ে কটূক্তি পর্যন্ত , যেকোন ধরনের জুলুমের ব্যাপারে ইসলাম ঘোষণা করে , যতক্ষন পর্যন্ত না জুলুমের শিকার হওয়া ব্যক্তি ক্ষমা করছেন , ততক্ষন পর্যন্ত জুলুমকারী পায়ে হেঁটে হজ্ব করা থেকে শুরু করে দিন রাত নামাজ পড়তে পড়তে কপাল ফাটিয়ে ফেললেও কিচ্ছু লাভ হবেনা ।",0,315,319
কপাল,ওয়াহী শেষ হলেই তাঁর কপাল থেকে ঘাম ঝরে পড়তো ।,0,21,25
কপাল,"শুধু আকাশ নয় , আকাশের কপাল তিনি ছুঁয়ে দিলেন ।",0,23,27
কপাল,খানিক পর উমর কপাল থেকে হাত সরিয়ে ফেলে ।,0,13,17
কপাল,তাই তার প্রশস্ত আর রোদে পোড়া তামাটে কপাল প্রকাশ হয়ে আছে যা তার জলদস্যুসুলভ লালচে শরীর থেকে বেশি মাত্রায় রোদভাজা মনে হচ্ছে ।,0,37,41
কপাল,কপাল কুঁচকে ভেবে নিলে যাতে একটা কথাও না বাদ যায় ।,0,0,4
কপাল,চোখ – কপাল জুড়ে যন্ত্রণা হচ্ছে ।,0,6,10
কপাল,কপাল থেকে ঘাম ঝরতে লাগল ।,0,0,4
কপাল,"আমি বেশ শাড়ি পড়ে , ভরিক্কি একখানা কপাল জোড়া টিপ লাগিয়ে মনেপ্রাণে নিজেকে ইস্ত্রী-ই ভাবতে ভাবতে ঐ গাড়ি চেপেই গেছি স্টেশনে আমার "" স্বামী "" কে আনতে ।",0,36,40
কপাল,"এতে তার কপাল , গাল ও গলা পুড়ে গেছে ।",0,8,12
কপাল,"লতিফায়ে খফীর স্থান মস্তিষ্কের কপাল বরাবর , যা সিজদাহ্র সময় ব্যবহৃত হয় ।",0,31,35
কপাল,"কপাল কুঁচকালেই চোখে চাপ পড়ে , চোখের পাপড়ির নীচে লুকিয়ে থাকা জলধারা ছুটাছুটি শুরু করে ।",0,0,4
কপাল,"সামনের লোকটি আহমদ মুসার কপাল থেকে রিভলবার সরিয়ে আহমদ মুসার হাঁটুতে একটা লাথি মারল এবং দু'ধাপ পেছনে সরে গিয়ে চিৎকার করে বলল , ' এবার তুই মর্ । '",0,24,28
কপাল,সারমর্মঃ রাসুলুল্লাহ সাঃ একজনকে পাগড়ির প্যাচের উপর সেজদাহ করতে দেখে তাকে হাত দিয়ে ইশারা করে কপাল থেকে পাগড়ি উপরে উঠাতে বললেন ।,0,94,98
কপাল,"কপাল কুঁচকে তাকালো সবুজ শাড়ি পরা মেয়েটা , জিজ্ঞেস করলো "" আপনি সেই লবণওয়ালা না ? ?",0,0,4
কপাল,". . আকাশে এমন আঙ্গুল স্থানও খালি নেই যেখানে একজন ফিরিশতা তাঁর কপাল রেখে আল্লাহর জন্য সাজদাবনত নেই । """,0,62,66
কপাল,এক সময় আলতো করে কপাল ঠেকান মিনারের শরীরে ।,0,17,21
কপাল,তার কপাল কুঞ্চিত ।,0,4,8
কপাল,"সে চোখ কপাল তুলে জিজ্ঞাসা করলো , "" সে কী !",0,7,11
কপাল,"মাথার তালু , কপাল , মুখের দু'পাশ লালচে-বাদামি ।",0,13,17
কপাল,ভুল হবার জো নেই – ওই তো সেই কোটরাপ্রবিষ্ট পাশবিক চোখ আর ঝুঁকে-পড়া অদ্ভুত কপাল ।,0,74,78
কপাল,"খপাৎ করে কপাল খামচে ধরে বলে উঠল , উফ !",0,9,13
কপাল,"ক্রিস্টাসিয়ানস কাঁকড়া কাঁকড়া নাইট দৈর্ঘ্য 38 মিমি , প্রস্থ চওড়া 5 সেমি বা তাই এপ্পটি ব্যাপকভাবে র্যামোমোজিড আকৃতি , কপাল সংকীর্ণ , এবং বহির্মুখী উপরের দিকে অনেক উত্তোলন এবং গ্রানুলস ( ঘোড়া ) রয়েছে ।",0,120,124
কপাল,তো বলটা কপাল ছুঁয়ে যাওয়ার যন্ত্রণার চেয়ে বড়াব্বার ভয়টাই ছিল বেশি ।,0,8,12
কপাল,"ফোঁটা রয়েছে তৈরি , কপাল মেরেছে দৌড় ।",0,20,24
কপাল,"সাইনুসাইটিস থাকলে প্রথম দিকে কপাল , নাকের দুপাশ এবং মাথা ব্যথা করতে পারে ।",0,29,33
কপাল,"দেখছি নাতো বর্ষা , দেখছি নাতো মাছ , কিসের আকার ছোটো , ভেবেই কপাল ভাঁজ !",0,60,64
কপাল,তবে আরেক দিক থেকে দেখলে ফিশারের কপাল বেচার সিদ্ধান্তটি অস্তিত্বের সংকটে দাঁড়িয়ে থাকা একবিংশ শতকের মানুষের প্রতীকী ছবি হয়ে ওঠে ।,0,32,36
কপাল,"আতাহার কাঁদল , কপাল চাপড়াল , কিন্তু পারুর অবস্থানের উনিশ-বিশ হলো না ।",0,15,19
কপাল,"তবে বাছুরের বুক চওড়া ও ভরাট , পেট চ্যাপ্টা ও বুকের সঙ্গে সমান্তরাল , মাথা ছোট ও কপাল প্রশস্ত , চোখ উজ্জ্বল ও ভিজা ভিজা , পা খাটো প্রকৃতির ও হাড়ের জোড়াগুলো স্ফীত , পাঁজর প্রশস্ত ও বিস্তৃত , শিরদাঁড়া সোজা হতে হবে ।",0,81,85
কপাল,"এঁনার ললাট বা কপাল থেকে বিধাতার জন্ম , চক্ষু থেকে সূর্যের ।",0,14,18
