lemma,sentence,sense,start,end
গভীর,এই গভীর রাতেও পাশের বাসার গ্যারেজ থেকে সদ্য মুক্তি পাওয়া একটা হিন্দী গানের উচ্চস্বর ভেসে আসছে ।,0,3,7
গভীর,"অভিযোগ আছে , দেশি-বিদেশি একটি মহলের যোগসাজশে গভীর ষড়যন্ত্রে তলিয়ে যাওয়া সিনহা পাকিস্তান স্টাইলে সরকারকে উচ্চ আদালত দিয়ে বিদায় করে সাংবিধানিক শূন্যতা সৃষ্টি করতে চেয়েছিলেন ।",0,45,49
গভীর,"বাংলা একাডেমী এই বিশিষ্ট আইনজ্ঞ , প্রখ্যাত ইতিহাসবিদ , বাংলাদেশের বুদ্ধিবৃত্তিক জগতের অন্যতম শীর্ষপুরুষ , জাতির অভিভাবকপ্রতিম বিচারপতি মুহাম্মদ হাবিবুর রহমানের প্রয়াণে গভীর শোক প্রকাশ করছে এবং তাঁর শোকসন্তপ্ত পরিবারের প্রতি গভীর সমবেদনা জ্ঞাপন করছে ।",0,169,173
গভীর,তার উপরে কৃষি-ঋণ মাফের এই হিড়িকে সেই সমস্যা আরও আরও গভীর হবে বলে আশঙ্কা অনেকের ।,0,53,57
গভীর,সোমবার গভীর রাতে উপজেলার ভাঙ্গাবাড়ী ইউনিয়নের ক্ষিদ্র জোকনালা গ্রামের বারোয়ারী কালী মন্দির ও কালীপদ সরকারের পারিবারিক মন্দিরে এ ঘটনা ঘটে ।,0,7,11
গভীর,মঙ্গলবার গভীর রাতে চট্টগ্রাম-কক্সবাজার মহাসড়কের পটিয়া ক্রসিং এলাকায় এ ঘটনা ঘটে ।,0,9,13
গভীর,"আসাদুজ্জামানের স্মৃতির প্রতি গভীর শ্রদ্ধা নিবেদন করে বলেন , তিনি একজন কাজপাগল মানুষ ছিলেন ।",0,29,33
গভীর,গভীর রাতে বাউল গানের সুন্দরী শিল্পীরা নানান অঙ্গভঙ্গির মাধ্যমে যুবকদের কাছ থেকে টাকা পয়সা হাতিয়ে নিচ্ছে ।,0,0,4
গভীর,' সালের ফেব্রুয়ারি শহীদ জাফর-জয়নাল-দিপালী-কাঞ্চন'এর অমর স্মৃতির প্রতি গভীর শ্রদ্ধা জানিয়ে বাংলাদেশ ন্যাশনাল আওয়ামী পার্টি-বাংলাদেশ চেয়ারম্যান জেবেল রহমান গানি ও মহাসচিব এম .,0,72,76
গভীর,"দুর্নীতি , পুলিশ বাহিনীর দুর্নীতিগ্রস্থতা এবং সমাজে দুর্নীতির বিস্তার নিয়ে আরেকটু গভীর পর্যালোচনা ও বিশ্লেষন করে লিখুন ।",0,83,87
গভীর,"শহীদ সাংবাদিক সিরাজুদ্দীন হোসেনের সন্তান , প্রজন্ম ' এর সাবেক সভাপতি , গৌরব'৭১ এর উপদেষ্টা , বিশিষ্ট সাংবাদিক শাহীন রেজা নূরের মৃত্যুতে গভীর শোক প্রকাশ করেছেন বাংলাদেশ আওয়ামী .. .",0,136,140
গভীর,"শাহপরাণ থানার ওসি আখতার হোসেন জানান , গভীর রাতে ছাত্রলীগের কর্মীরা তিন শিবিরকর্মীকে পুলিশের কাছে হস্তান্তর করেছে ।",0,38,42
গভীর,"তবে লিস্টে বাদ পড়ে যাওয়া আরো অনেক - অ নে ক নাম না জানা তুচ্ছ লতা , গুল্ম , গাছগাছালি , সহজ-সরল মানুষজনদের গভীর ক্লোজ আপ কিংবা গ্রুপ ফটো এবং আরো অজানা সব্বাই দল বেধে যেন পেছন থেকে জামা টেনে ধরে বলছে , ওমা আমরা দুধ ভাত , তাই না ?",0,108,112
গভীর,"নামকরণের পেছনের অনুপ্রেরণা সম্পর্কে রেস্তোরাঁর ছয় মালিকের মধ্যে অন্যতম , আবিদ এ আজাদ বলেন , "" গভীর রাত পর্যন্ত অতিথিদের সেবা করাই আমাদের লক্ষ্য । """,0,95,99
গভীর,"হঠাত্ গভীর রাতে নলিনীকান্তকে জাগিয়ে দাদাঠাকুর বল্লেন , "" ওরে নলিনী , একটা বড় জিনিষ আবিষ্কার করেছি ।",0,6,10
গভীর,আর অল্প পরিসরে কিছু পানি উঠছে বা নাজুক অবস্থায় রয়েছে টির কাছাকাছি গভীর নলকূপ ।,0,68,72
গভীর,সোনাদিয়ায় গভীর সমুদ্র বন্দর স্থাপনের পরিকল্পনার কথাও তিনি বলেন ।,0,12,16
গভীর,"গভীর ও লম্বা শ্বাস নেওয়া , প্রতিটি বলের আগে ফোকাস ঠিক করে নেওয়া ।",0,0,4
গভীর,গভীর রাতে ঢাবি টিএসসির কক্ষ থেকে তরুণ-তরুণী উদ্ধার,0,0,4
গভীর,"রোববার মতিঝিলে হেফাজতের সমাবেশ চলাকালে পল্টন , গুলিস্তান , বিজযনগর ও কাকরাইলজুড়ে ব্যাপক তাণ্ডব চলার পর গভীর রাতে অভিযান চালিয়ে চট্টগ্রামভিত্তিক এ সংগঠনের কর্মীদের উৎখাত করে আইন-শৃঙ্খলা বাহিনী ।",0,104,108
গভীর,"সিরিয়ায় ব্যাপক গণহত্যায় গভীর উদ্বেগ প্রকাশ করে বাংলাদেশ জামায়াতে ইসলামীর ভারপ্রাপ্ত আমীর ও সাবেক এমপি অধ্যাপক মুজিবুর রহমান আজ ফেব্রুয়ারী প্রদত্ত এক বিবৃতিতে বলেন , "" সিরিয়ায় ব্যাপক গণহত্যায় আমি গভীরভাবে উদ্বিগ্ন ও মর্মাহত ।",0,27,31
গভীর,পরে সরকার বিকল্প হিসেবে জাপানের কাছে গভীর সমুদ্রবন্দর নির্মাণের প্রস্তাব দিলে জাপান এগিয়ে আসে ।,0,37,41
গভীর,গভীর রাতে নির্বাচনী অফিসে আগুন দেখতে পেয়ে চিৎকার দিলে স্থানীয় লোকজন এসে আগুন নিভিয়ে ফেলে ।,0,0,4
গভীর,এখানে ফুট গভীর খনন কাজ করা হয়েছে ।,0,10,14
