lemma,sentence,sense,start,end
গোলা,এরপর আগে থেকে বানিয়ে রাখা নারকেল - এর পুর অথবা ক্ষীরের পুর থেকে সামান্য অংশ নিয়ে ফ্রাই প্যানে দেওয়া গোলার মাঝখান থেকে লম্বা করে দিয়ে দিন ।,0,103,107
গোলা,"গোলার জন্য যা লাগবে: সিকি কাপ ময়দা, সিকি কাপ চালের গুঁড়া (চিনিগুঁড়া চালের), ডিম ১টা, বেকিং সোডা সিকি চা-চামচ, লবণ আধা চা-চামচ, পানি আধা কাপ (প্রয়োজনে কমবেশি করতে হবে)।",0,0,4
গোলা,ডিমের গোলায় সেদ্ধ করা মুরগির কিমা মিলিয়ে নিতে হবে।,0,6,10
গোলা,কড়াইতে অনেকটা তেল দিয়ে গরম করে ললিপপগুলো একটা একটা করে গোলায় ডুবিয়ে ডিপ ফ্রাই করে নিতে হবে।,0,56,60
গোলা,এবার নাগেটসগুলো ফেটানো ডিমের গোলায় ডুবিয়ে ব্রেডক্রামে গড়িয়ে কিছুক্ষণ ফ্রিজে রেখে ডুবো তেলে সোনালি রং করে ভেজে নিন।,0,29,33
গোলা,ডিমগুলোকে তৈরি করে রাখা ময়দার গোলাতে ডুবিয়ে গরম ডুবো তেলে ভেঁজে নিতে হবে ।,0,31,35
গোলা,চালের গোলায় চাল ভরে গোলার মুখ অতি যত্ন করে লেপে রাখা হোত এবং প্রয়োজনে ঢাকনা খুলে চাল বের করে আনা হোত ।,0,6,10
গোলা,রোলের উপরে ময়দার গোলাটা দিয়ে হালকা ব্রাশ করে নিন ।,0,18,22
গোলা,এরপর চামচ বা হাত দিয়ে গোলার মতো করে প্যানে দিয়ে পাকোড়া ভেজে নিন ।,0,23,27
গোলা,প্রণালীঃ তালের গোলার সঙ্গে পিঠার বাকি সব উপকরণ দিয়ে মিশ্রণ তৈরি করে নিন ।,0,15,19
গোলা,০৩. সেদ্ধ ডিমের একটি টুকরা গোলায় ডুবিয়ে তার ওপর এক টুকরা পনির বসান।,0,27,31
গোলা,ময়দার গোলায় ভাজতে হবে গোল্ডেন ব্রাউন করে।,0,6,10
গোলা,তারপর একটা আলাদা ফ্রাইং প্যানে মাখন ব্রাশ করে তাতে ডিমের গোলাটা দিয়ে ভালোভাবে ছড়িয়ে দিতে হবে ।,0,57,61
গোলা,কড়াইয়ে তেল গরম করে বেগুন বেসনের গোলায় ডুবিয়ে ডুবোতেলে ছাড়তে হবে।,0,32,36
গোলা,এরপরে তেল বা প্যান বেশি গরম হবার আগেই ডিমের গোলার থেকে বড় চামচের দুই চামচ বা তারও কম পরিমানে ডিমের গোলা দিয়ে ছড়িয়ে দিতে হবে ওমলেট যে ভাবে করে সেই ভাবে ।,0,44,48
গোলা,০৪. এবার ডিমের টুকরা ও পনিরের টুকরা একসঙ্গে ধরে গোলায় ডুবিয়ে তুলে তেলে ছেড়ে দিন।,0,48,52
গোলা,এবার প্রতিটি মিষ্টি কুমড়া বেসনের গোলায় ডুবিয়ে লাল করে ভাজতে হবে।,0,33,37
গোলা,এরপর চাটু বা কোন ননস্টিক প্যানে হাতায় করে একটু করে গোলাটা দিয়ে আর তার মাঝে ক্ষীরের পুরটা দিয়ে পাটিসাপটার আকারে ভেজে নিলেই তৈরি স্ট্রবেরি পাটিসাপটা ।,0,52,56
গোলা,"মুরগির সঙ্গে সবজির প্যান কেকপ্যান কেকের গোলার জন্যউপকরণ: ময়দা ১ কাপ, ডিম ১টা, দুধ দেড় কাপ, ঝিঙা পাতলা টুকরা ১ কাপ, ধনেপাতা কুচি ২ টেবিল-চামচ, লবণ স্বাদমতো, কাঁচা মরিচ কুচি বিচি ফেলে স্বাদমতো।",0,40,44
গোলা,ডিমের গোলার মধ্যে ময়দা ও বেকিং পাউডার vanilla extract স্ট্রবেরি এক্সট্রাক্ট দিয়ে ভালো করে মিশিয়ে নিতে হবে,0,6,10
গোলা,এবার ডিমের গোলায় ডুবিয়ে বিস্কুটের গুঁড়া মেখে ডুবো তেলে বাদামি করে ভেজে সস দিয়ে পরিবেশন করুন।,0,11,15
গোলা,"ঢেলেই চট করে প্যানটা কাৎ করে ঘুরিয়ে নিন , যাতে পুরোটা জুড়ে গোলাটা বেশ পাতলা হয়ে ছড়িয়ে পড়ে ।",0,61,65
গোলা,এর পর ডিমের গোলাএ চুবিএ ভাজা নিউট্রেলা দিএ র কিছুক্ষণ কষিএ ডুমো করে কাটা পেয়াজ দিএ আবার খানিক কষিএ অল্প গরম জল দিএ চাপা দিএ ফোটাতে হবে ।,0,12,16
গোলা,এরপর ভাপানো ফুলকপি গুলি এক এক করে বেসন গোলার ব্যাটারে ডুবিয়ে গরম ছাকা তেলে ভেজে নিলেই তৈরি ফুলকপির পকোড়া ।,0,39,43
