lemma,sentence,sense,start,end
চাবি,"চাবিটা হারিয়ে ফেলেছি , ঘরে ঢুকতে পারছি না ।",0,0,4
চাবি,আলমারির চাবিটা কোথায় থাকে জানা আছে ওর ।,0,8,12
চাবি,সুতো ছিড়ে চাবিটা খুলে নিলাম ।,0,11,15
চাবি,এই ঘরের চাবিটা ?,0,8,12
চাবি,চাবিটা সত্যিই পেয়েছে ?,0,0,4
চাবি,দিয়েছিল চাবিটা ।,0,9,13
চাবি,"চাবিটা সে শর্মিলাকে ফিরিয়ে দিয়ে বললো , তুমি খোলো ।",0,0,4
চাবি,চাবিটা তোমার কাছেই থাক ।,0,0,4
চাবি,চাবিটা কখনো হাতছাড়া করিনি আমি।,0,0,4
চাবি,কিন্তু তার আগে মায়ের আলমারির চাবিটা আমি চাই ।,0,30,34
চাবি,সুতরাং স্বর্ণ চাবিটা আমার কোমরে গুঁজে রাখলাম ।,0,14,18
চাবি,আমি এবার মনোযোগ দিলাম চাবিটার দিকে ।,0,22,26
চাবি,সূর্যর সেই চাবিটা এতদিন আমার পকেটেই রয়ে গেছে ।,0,11,15
চাবি,ওর চাবিও আমাদের কাছে ।,0,3,7
চাবি,গাড়ির চাবিটা সে নিয়ে নিল ।,0,7,11
চাবি,চাবিটা আপনার কাছে থাক ।,0,0,4
চাবি,চাবিটি ভাঁজ করে রাখা যাবে ।,0,0,4
চাবি,ওর বাড়ির একটা চাবিও আমার কাছ থাকে ।,0,15,19
চাবি,চাবিটা রহমানের কাছে দে ।,0,0,4
চাবি,আমি প্রায়োরি সিলটা দেখেই চাবিটা পকেটে ভরে চলে এসেছি ।,0,26,30
চাবি,পরে দেখি চাবিটা ব্যাগেই পড়েছিল ।,0,9,13
চাবি,"বাড়ি যাবেন , কিন্তু কাজ করতে করতে গাড়ির চাবিটা কোথায় রেখেছেন একেবারে খেয়াল আসছে না ।",0,42,46
চাবি,চাবিটা আমার কাছে দে ।,0,0,4
