lemma,sentence,sense,start,end
চোখ,( জিম্মিকারীর সঙ্গে ) চোখে চোখ রেখে কথা না বলাটাই ভালো । ',1,22,25
চোখ,"বাপ্পা সেন্টুর চোখে চোখ রেখে বলে , আমার বাড়ি তো কিনছে মুহসিনরা , যা অগো কাছে গিয়া চা তো ?",1,15,18
চোখ,"ঠোঁটে সেই পরশ না-ই বা দিলো , চোখে চোখ রাখুক ?",1,29,32
চোখ,লেখক সরস ভাষায় বর্তমান সময়ের নানা অসংগতিকে চোখে আঙুল দিয়ে দেখিয়েছেন ।,0,45,48
চোখ,চোখের মেকআপ :,0,0,3
চোখ,সালের বেশির ভাগ সাক্ষাৎকারেই তিনি ভেসেছিলেন চোখের জলে ।,0,44,47
চোখ,"মুভি থিয়েটারে কুকুরের দৃষ্টিশক্তি অনুযায়ী দূরত্বে সিনেমার পর্দা বসানো হয়েছে , এবং আলোর ব্যবস্থাও করা হয়েছে এমনভাবে যেন তাদের চোখের ক্ষতি না হয় ।",0,129,132
চোখ,সব মিলিয়ে গোলাপ নগরের ফুলচাষীরদের চোখে মুখে হাসির ঝিলিক দেখা যাচ্ছে । এবার চাষীরা কোটি টাকার ফুল বিক্রি করার স্বপ্ন দেখছেন ।,0,35,38
চোখ,সেখান থেকে বাড়ি ফেরার পথে তার চোখে ও নাকে দুটি গুলি লাগে ।,0,31,34
চোখ,আপনার চোখের পেশী সমূহের ব্যায়ামের মাধ্যমে আপনার চোখের আভ্যন্তরীণ রক্তসংবহন বৃদ্ধি পাবে ফলে চোখ ভাল থাকবে ।,0,6,9
চোখ,"সে দিনটি ছিল আমার সবচেয়ে দীর্ঘ কঠিনতম দিন , খোলা চোখে তাকিয়ে আছি সিলিং এর দিকে ; শূন্যদৃষ্টিতে ; একবুক হাহাকার নিয়ে ।",0,50,53
চোখ,মির্জা দাউদ বাষ্পাচ্ছন্ন চোখে একবার তিন জনের মুখের দিকে চাহিলেন ।,0,25,28
