lemma,sentence,sense,start,end
ঝোলা,লামেহা অব্যয়বোঝাই ঝোলাটা কাঁধে তুলে নিয়ে রওনা দেয় সবুজ-জমি বালি-জমি পাথর-জমি পার হয়ে নীল পর্বতের দিকে ।,0,19,23
ঝোলা,তবু যোগী আদিত্যনাথের শপথ নেওয়ার চব্বিশ ঘণ্টার মধ্যেই ইলাহাবাদ পুরসভা তালা ঝোলালো দু ' টি কসাইখানায় ।,0,75,79
ঝোলা,"লন্ডন , ২৪ নভেম্বর - "" বিচারক ও তাদের চ্যালাচামুণ্ডারা নিজেরা উল্টো ঝুলে পড়লেও আমাকে ঝোলাতে পারবে না ।",0,86,90
ঝোলা,কারা যেন কলকাতা জুড়ে এক বিশেষ ধরনের ফ্লেক্স ঝোলাতে শুরু করেছেন ।,0,45,49
ঝোলা,"শোওয়ার ঘরের দেওয়ালে কোনও দেব - দেবীর মূর্তি , কোনও মুখোশ বা মক্কা - মন্দিরের ছবিওয়ালা ক্যালেন্ডার ঝোলাবেন না ।",0,101,105
ঝোলা,এ কারণে শিক্ষার্থীরা ছাদের সঙ্গে বৈদ্যুতিক পাখা ঝোলাতে পারেন না।,0,48,52
ঝোলা,এদিকে সাড়ে ১১টায় ভর্তি বন্ধের নোটিশ ঝোলাতে দেখে দুশ্চিন্তা হচ্ছে।,0,36,40
ঝোলা,মেলার স্টলে বই গোছানো শেষ করে পর্দা ঝোলাচ্ছে অনেকেই ।,0,36,40
ঝোলা,"স্টাফ রিপোর্টার , কলকাতাঃ একের পর এক জুটমিলে তালা ঝোলার যে ছবি সম্প্রতি রাজ্যে দেখা যাচ্ছে , এবারও তার অন্যথা হল না ।",0,50,54
ঝোলা,"কিন্তু যদি গল্পটা অন্যরকম হত , যদি দেখা যেত কোচ তাঁর ছাত্রির প্রেমে পড়েছে - অবধারিতভাবে সৌমিত্র ঝোলাতেন ।",0,97,101
ঝোলা,দোকানে অবশ্য়ই দাম লেখা বোর্ড ঝোলাতে হবে ।,0,30,34
ঝোলা,ইবির আধিকারিকেরা সবজী বিক্রেতাদের দোকানে রেট চার্ট ঝোলাতে বলেন ।,0,51,55
