lemma,sentence,sense,start,end
তুলা,"আপনে কি বলতে চান , বেচারা ফটু-খিচক হাতে দা নিয়ে ঘুরবে আর ছবি তুলার আগে কেটেকুটে নিবে ?",0,62,66
তুলা,"এই যে ছবি তুলার আগে আলো মাপামাপির বিষয়ডা , এইডারে কয় মিটারিং ।",0,10,14
তুলা,"পুরনো নেগেটিভে ফিল্ম বেশ কয়েক ভাবে সংরক্ষণ করা যায় | প্রথমত - যে কোনো দোকানে নিয়ে গিয়ে প্রিন্ট করতে পারেন এবং তা অ্যালবামে সাজিয়ে রাখতে পারেন | এছাড়া সারা বিশ্বে এখন সবাই পুরনো নেগেটিভগুলি ডিজিটাল করে ফেলছে - কারণ এই নেগেটিভগুলি প্রতিবছর একটু একটু করে নষ্ট হয়ে যায় , বিশেষ করে যদি আলোকিত কথাও রাখা হয় | আর ডিজিটাল করে ফেললে সারা জীবনের জন্য ছবিগুলি আপনার কাছে সুন্দর ভাবে থাকছে | এই সব নেগেটিভগুলি আজকাল ডিজিটাল করা খুব সোজা | অনেক কালার ল্যাব রয়েছে যারা ডিজিটাল করে দিবে কিন্তু আমি সেটার পক্ষপাতিত্ব করি না কারণ তাদের দেয়া ছবির রেজলুশন খুব ভালো নাও হতে পারে | যারা নিজেরা ঘরে বসে নেগেটিভকে ডিজিটাল করতে চান , তাদের লাগবে একটি কম্পিউটার ও একটি ভালো ডিজিটাল ক্যামেরা ( DSLR হলে ভালো হয় ) | বুঝতেই পারছেন , প্রায় আমরা সবাই ঘরে বসে নেগেটিভগুলিকে ডিজিটাল করতে পারি | প্রথমত একটি সাদা আলোর উত্স , যেমন কম্পিউটার স্ক্রিন , এর সামনে নেগেটিভটি রেখে তার একটি ছবি ভালো ক্যামেরা দিয়ে নিতে হবে | DSLR ব্যবহার করলে ভালো কারণ তাহলে আপনি ছবিটি RAW ফরম্যাটে তুলে পরে কালার কারেকশন করতে পারবেন | ছবি গুলি তুলার পর যে কোনো ভালো ফটো এডিটিং সফটওয়্যার ( Gimp ) দিয়ে নেগেটিভ ইফেক্ট দিলেই ছবিটি প্রিন্ট করার যোগ্য হয়ে যাবে | এ ব্যাপারে যদি বিস্তারিত জানতে চান , এই ভিডিওটি দেখতে পারেন - http: //goo. gl/efkrpE | স্ক্যানার দিয়েও এই কাজ করা যায় কিন্তু আজকালকার দিনের ক্যামেরা স্কানার থেকে অনেক ভালো ছবি দেয় বলে এ নিয়ে আর কথা বাড়ালাম না |",0,1002,1006
তুলা,"পুরনো নেগেটিভে ফিল্ম বেশ কয়েক ভাবে সংরক্ষণ করা যায় | প্রথমত - যে কোনো দোকানে নিয়ে গিয়ে প্রিন্ট করতে পারেন এবং তা অ্যালবামে সাজিয়ে রাখতে পারেন | এছাড়া সারা বিশ্বে এখন সবাই পুরনো নেগেটিভগুলি ডিজিটাল করে ফেলছে - কারণ এই নেগেটিভগুলি প্রতিবছর একটু একটু করে নষ্ট হয়ে যায় , বিশেষ করে যদি আলোকিত কথাও রাখা হয় | আর ডিজিটাল করে ফেললে সারা জীবনের জন্য ছবিগুলি আপনার কাছে সুন্দর ভাবে থাকছে | এই সব নেগেটিভগুলি আজকাল ডিজিটাল করা খুব সোজা | অনেক কালার ল্যাব রয়েছে যারা ডিজিটাল করে দিবে কিন্তু আমি সেটার পক্ষপাতিত্ব করি না কারণ তাদের দেয়া ছবির রেজলুশন খুব ভালো নাও হতে পারে | যারা নিজেরা ঘরে বসে নেগেটিভকে ডিজিটাল করতে চান , তাদের লাগবে একটি কম্পিউটার ও একটি ভালো ডিজিটাল ক্যামেরা ( DSLR হলে ভালো হয় ) | বুঝতেই পারছেন , প্রায় আমরা সবাই ঘরে বসে নেগেটিভগুলিকে ডিজিটাল করতে পারি | প্রথমত একটি সাদা আলোর উত্স , যেমন কম্পিউটার স্ক্রিন , এর সামনে নেগেটিভটি রেখে তার একটি ছবি ভালো ক্যামেরা দিয়ে নিতে হবে | DSLR ব্যবহার করলে ভালো কারণ তাহলে আপনি ছবিটি RAW ফরম্যাটে তুলে পরে কালার কারেকশন করতে পারবেন | ছবি গুলি তুলার পর যে কোনো ভালো ফটো এডিটিং সফটওয়্যার ( Gimp ) দিয়ে নেগেটিভ ইফেক্ট দিলেই ছবিটি প্রিন্ট করার যোগ্য হয়ে যাবে | এ ব্যাপারে যদি বিস্তারিত জানতে চান , এই ভিডিওটি দেখতে পারেন - http: //goo. gl/efkrpE | স্ক্যানার দিয়েও এই কাজ করা যায় কিন্তু আজকালকার দিনের ক্যামেরা স্কানার থেকে অনেক ভালো ছবি দেয় বলে এ নিয়ে আর কথা বাড়ালাম না |",0,1002,1006
তুলা,"স্বামী মারা যাবার পর আমি জুটমিলে , তুলার মিলে , লুব্রিকেন্ট কারখানায় কাজ করে তাদের লেখাপড়া করিয়েছি ।",0,35,39
তুলা,বড় বলে আপু ডাকতাম ) ছবি তুলাতে আপু ছাদে নিয়া দরাম করে চড় মারছিল !,0,25,29
তুলা,"GD ( পরিচয়পত্র , পাসপোর্ট , সার্টিফিকেট ) , সেটা পুনরায় শুধু তুলার জন্য নয় , এগুলো যদি কোন খারাপ মানুষের হাতে পড়ে তাহলে তারা আপনার পরিচয় দিয়ে অনেক খারাপ কাজ করতে পারে ।",0,63,67
তুলা,"সেলফি তুলার জন্য ২০ মেগাপিক্সেলের ক্যামের ও সেইসাথে থাকছে f / 2.2 , aperture এবং 5p লেন্স যা অনেকটা ইন্টেলিজেন্স বিউটির মত ফিচারের সুবিধা দেয় , ফোরকে ভিডিও 30fps এ ধারণ করা যাবে ।",0,6,10
তুলা,মেগাপিক্সেল ক্যামেরা ডিফল্ট অবস্থায় মেগাপিক্সেল এর ছবি তুলে থাকে যেখানে মেগাপিক্সেল ক্যামেরা ডিজাইন করা হয়েছে মেগাপিক্সেল এর ছবি তুলার জন্য ।,0,131,135
তুলা,"বরং একটু ছবি তুলার মুডে থাকলে , কিছু ছবি তুলে , সেখান থেকে যাচাই বাছাই করে সেখান থেকে কিছু ছবি শেয়ার করাকেই ছবি ব্লগ বলা যেতে পারে ।",0,13,17
