lemma,sentence,sense,start,end
দল,সর্বোচ্চ পয়েন্ট পাওয়া ‍ দুই দল শিরোপা নির্ধারণী ম্যাচে মুখোমুখি হবে ।,0,30,32
দল,দলটির কনিষ্ঠতম এ দুই সদস্য এখনো মনের আনন্দে গান করেন ।,1,0,2
দল,দলকে ভালোবাসেন ।,0,0,2
দল,"তুমি কি তোমার দলের কর্মীদের এমন ভাবে উৎসাহিত করে তুলতে পারো , যে তারা একই সময়ের মধ্যে আগের চেয়ে বেশি ' কাস্টমার কল ' নিতে পারে ?",1,14,16
দল,"এ ব্যাপারে নাজমুল হাসান জানান , ' অস্ট্রেলিয়া , ভারত , দক্ষিণ আফ্রিকা ও নিউজিল্যান্ড-এ চারটি দলের মধ্যে যে কোনো দুটি দলের সঙ্গে তৃতীয় দল হিসেবে ত্রিদেশীয় সিরিজে অংশ নেবে বাংলাদেশ ।",0,94,96
দল,দলের সর্বোচ্চ গোলদাতা রবের্ত লেভানদোভস্কির কাঁধের চোট নিয়ে দুর্ভাবনা আছে আনচেলোত্তির ।,0,0,2
দল,"নির্বাচনের আগে আপের দাবি ছিল , তাঁর দলের কোনও মন্ত্রী বা বিধায়ক সরকারি গাড়ি ব্যবহার করবেন না ।",1,36,38
দল,ইংল্যান্ডে সফরের সময় জাতীয় দলের টিম ডিরেক্টর ছিলেন রবি শাস্ত্রী ।,0,29,31
দল,"টানা এর চেয়ে বেশি কোনো দলের অপরাজিত থাকার সাক্ষী হওয়া একমাত্র ভেন্যু করাচি , থেকে সাল পর্যন্ত এই মাঠে টেস্ট অপরাজিত ছিল পাকিস্তান ।",0,24,26
দল,"মঙ্গলবার সিএবি সভাপতি অভিষেক ডালমিয়া বলেন , '' বৃহস্পতিবারের বৈঠকের পর বাংলার সিনিয়র দল ও যুব দলের সহকারীকোচদের বদল করে নতুন ভাবে ভিশন এর রূপরেখা তৈরি করা হবে ।",1,87,89
দল,হঠাৎ প্রধানমন্ত্রীর উপদেষ্টার এ ধরনের মন্তব্য দলের জন্য অস্বস্তিকর ।,1,46,48
দল,ভাবতেই খারাপ লাগে একটা সময় মালদ্বীপের মত দলকে ছেলে খেলা খেলে - গোলেও হারিয়েছিলো বাংলাদেশ দল ।,0,91,93
