lemma,sentence,sense,start,end
দাঁড়া,দাঁড়া তোর স্টাইল বার করছি ।,0,0,6
দাঁড়া,"কাল সকালে ওস্তাদ আসলে তোদের টাইট দেওয়ার ব্যবস্থা করবো দাঁড়া ! """,0,55,61
দাঁড়া,"বললে , দাঁড়া আজ তোকে মজা দেখাচ্ছি ।",0,7,13
দাঁড়া,দাঁড়া তোকে দেখাচ্ছি মজা ।,0,0,6
দাঁড়া,দাঁড়া তোরে চুপ করার ব্যবস্থা করছি ।,0,0,6
দাঁড়া,দাঁড়া দেখাচ্ছি মজা ! .. .,0,0,6
দাঁড়া,"দাঁড়া , তোকে মজা দেখাচ্ছি ।",0,0,6
দাঁড়া,"শেষে আঁচল সামলে তরতরিয়ে নীচে নেমে যেতে যেতে আমার গালে ঠোনা মেরে বলে -- খুব বাড় বেড়েছিস , দাঁড়া , তোর ওষুধ দেখছি ।",0,92,98
দাঁড়া,"-- দাঁড়া , আজ ওই শালা অ্যানাকোন্ডাকে ঝাড়বো ।",0,3,9
দাঁড়া,তবে রে বাঁদর দাঁড়া ।,0,13,19
দাঁড়া,"দাঁড়া , দেখাচ্ছি মজা ।",0,0,6
দাঁড়া,"দাঁড়া দেখাচ্ছি মজা । """,0,0,6
দাঁড়া,– তাই না ফাজিল দাঁড়া দেখাচ্ছি মজা একটা পাইব নিয়ে মারতে লাগলো ।,0,15,21
দাঁড়া,"কোন নারী অন্য কারো দাঁড়া আক্রান্ত হয়ে হাত , পা , চোখ বা যে কোন অঙ্গ হারালে তার সম্মানহানি হয় না ।",0,19,25
দাঁড়া,"দাঁড়া তদের কে এখন তদের নানী মজা দিবে । বলেই লাঠিটা উপরে তুললাম , তখনই এক পলকে দেখি সবগুলো এক্কেরে উধাও ।",0,0,6
দাঁড়া,দাঁড়া বুঝাচ্ছি ( বাবা ) সরি ড্যাড সরি মম ।,0,0,6
দাঁড়া,. -- তোরে খাইছি দাঁড়া .. .,0,16,22
দাঁড়া,দাঁড়া মজা দেখাচ্ছি ।,0,0,6
দাঁড়া,দাঁড়া তোরে আজকে খাইছি ।,0,0,6
দাঁড়া,বলল দাঁড়া দেখাচ্ছি তোর মজা ।,0,4,10
দাঁড়া,দাঁড়া তোর চা খাওয়া বের করছি ।,0,0,6
দাঁড়া,"তুই বরং দাঁড়া এইখানে , আমি জল আনি গে ।",0,8,14
দাঁড়া,দাঁড়া তোর ব্যবস্থা করচি ।,0,0,6
দাঁড়া,দাঁড়া আজকেই তোর বাবাকে বলব এই মেয়ের বাসায় প্রোপজাল পাঠাতে ।,0,0,6
দাঁড়া,"খরগোশ , দাঁড়া দেখাচ্ছি মজা !! !",0,8,14
দাঁড়া,"দাঁড়া , দাদাকে বলে তোকে আজ মার খাওয়াবো ।",0,0,6
দাঁড়া,"দাঁড়া , তোর মাখ্খন গলাচ্ছি ।",0,0,6
দাঁড়া,দাঁড়া দেখাচ্ছি মজা ।,0,0,6
দাঁড়া,তখন টের পাওয়াচ্ছি দাঁড়া ! ',0,19,25
দাঁড়া,দাঁড়া দেখাচ্ছি তোদের ভালোবাসা ।,0,0,6
দাঁড়া,দাঁড়া আজ তোদের হচ্ছে বলে বালিস দিয়ে সেই মার ।,0,0,6
দাঁড়া,' তোকে আজকে সাইজ করব দাঁড়া । ',0,21,27
দাঁড়া,দাঁড়া এখনই তোর মাকে বলছি ।,0,0,6
দাঁড়া,দাঁড়া দেখাচ্ছি মজা ।,0,0,6
দাঁড়া,দাঁড়া হারামজাদা আমি এখনি পুলিশে ফোন করছি ।,0,0,6
দাঁড়া,"দাঁড়া ছুটাচ্ছি তোর গার্লফ্রেন্ডের চিন্তা , দাঁড়া ।",0,0,6
দাঁড়া,দাঁড়া তোরে দেখাইতাছি মজা !,0,0,6
দাঁড়া,তুই শুধু দাঁড়া .. .,0,9,15
দাঁড়া,"তোর টিনা , মিনার সাথে পিরিত আমি ছুটাইতাছি দাঁড়া । """,0,42,48
দাঁড়া,"কালু এবার অনেকটা আশ্বাস পেয়ে ভাবতে থাকে , দাঁড়া দেখাচ্ছি মজা ।",0,43,49
দাঁড়া,"কাজী নজরুল ইসলাম বাবুদের তাল-পুকুরে হাবুদের ডাল-কুকুরে সে কি বাস্ করলে তাড়া , বলি থাম্ একটু দাঁড়া ।",0,93,99
দাঁড়া,দাঁড়া তোকে আজ উচিত শিক্ষা দিবো ' ।,0,0,6
