lemma,sentence,sense,start,end
ধন,"এই সময়কালে , ধন প্রাপ্তির সম্ভাবনা থাকবে ।",0,14,16
ধন,বছর দুয়েক আগে হেমেন রায়ের ' যকের ধন ' দিয়ে তঁার এ ধরনের ছবিতে ঢোকা ।,0,35,37
ধন,সমঝোতা এক্সপ্রেস বিস্ফোরণ কাণ্ডের অন্যতম অভিযুক্ত ধন সিংহকে গ্রেফতার করল পুলিশ ।,0,50,52
ধন,বাণিজ্যে ধন লাভ করা যায় ।,0,9,11
ধন,আপনার জন ধন যোজনা অ্যাকাউন্টের ব্যালেন্স কীভাবে চেক করবেন ?,0,9,11
ধন,রাকিবঃ রাকিবের প্রচুর ধন সম্পদ রয়েছে ।,0,22,24
ধন,ধন উপার্জন অপেক্ষা ধন ক্ষয়ের মাত্রা বেড়ে যাওয়ায় সঞ্চয়ের হাত পড়বে ।,0,0,2
ধন,এ বছর ধন উপার্জ্জন ভালই হবে ।,0,6,8
ধন,"ধন ধনা ধন গোল , হাল্লা বোল , জয় হো-র মতো কয়েকটি বলিউডি ছবিতে তাঁকে দেখা গেলেও বিশেষ সাড়া জাগাতে পারেননি তিনি ।",0,0,2
ধন,এভাবে একটি দরিদ্র চাকুরিজীবি পরিবার রাষ্ট্রীয় ক্ষমতার শীর্ষে আরোহন এবং বিপুল ধন রত্নের অধিকারী হবার সুযোগ পায় ।,0,78,80
ধন,"এতে রাজস্বের পরিমাণ যেমন বেড়েছে , তেমনই জন ধন যােজনাও জনপ্রিয় হয়েছে ।",0,44,46
ধন,ধন দৌলত অর্জন ?,0,0,2
ধন,"এরপর ' চাঁদের পালকি ' , ' তবুও প্রতীক্ষা ' , ' অন্তরীপ , ' চোখের ভুল ' ও কমেডি ধাঁচের ' কিপ্টার ধন পিঁপড়ায় খায় ' নাটকসহ টি নাটক নির্মাণ করেছেন ।",0,96,98
ধন,সে পরের ধন অপহরণ করে সম্পদ গড়েছে ।,0,8,10
ধন,তিনটে কেসে সরকারী কাউন্ট কত ) মহিলা জন ধন আকাউন্ট কত ।,0,39,41
ধন,জন ধন অ্যাকাউন্ট কীভাবে খুলবেন ?,0,3,5
