lemma,sentence,sense,start,end
ধরা,"বিদ্যুৎ খাতের মহাপরিকল্পনা অনুযায়ী , সাল নাগাদ নবায়নযোগ্য জ্বালানি থেকে তিন হাজার মেগাওয়াট বিদ্যুৎ উৎপাদনের যে লক্ষ্য ধরা হয়েছে , শুল্ক আরোপের ফলে তাও বিঘ্নিত হওয়ার আশঙ্কা ছিল সবার ।",0,121,123
ধরা,কিন্তু এই পরিমাণ টাকা শুধু পিস্তল ও শটগানের মূল্য হিসেবে ধরা হয়নি ।,0,57,59
ধরা,উল্লেখ্য মুজিব শতবর্ষ উপলক্ষে প্রধানমন্ত্রীর একান্ত ইচ্ছায় সারা দেশের গৃহহীনদের জন্য আবাসন ব্যবস্থার অংশ হিসেবে ' ক ' শ্রেণির গৃহ নির্মাণ প্রকল্পের আওতায় প্রতিটি বাড়ি নির্মাণে ব্যায় ধরা হয়েছে লাখ হাজার টাকা ।,0,186,188
ধরা,"ইসলামিক ফাউন্ডেশন সূত্রে জানা গেছে , প্রধানমন্ত্রী শেখ হাসিনার অগ্রাধিকারভিত্তিক প্রকল্প হিসেবে ইসলামিক ফাউন্ডেশন ও ধর্মবিষয়ক মন্ত্রণালয়ের উদ্যোগে জেলা ও উপজেলা পর্যায়ে টি মডেল মসজিদ নির্মাণকাজ শুরু হয় , যার নির্মাণ ব্যয় ধরা হয় হাজার কোটি টাকা ।",0,116,118
ধরা,ওয়াইম্যাক্সকেও প্রি-ফোরজি ধরা হয় ।,0,27,29
ধরা,গ্রামে মাথাপিছু দৈনিক খরচ টাকা পয়সার নীচে হলেই ধরা হয় তিনি দারিদ্রসীমার নীচে বাস করছেন ।,0,48,50
ধরা,খুচরা পর্যায়ে প্যাকেট বা বোতলজাত প্রতি লিটার সয়াবিন তেলের নতুন দাম ধরা হয়েছে টাকা ।,0,69,71
ধরা,""" প্রবৃদ্ধির হার সর্বোচ্চ থেকে শতাংশ ধরা যেত ।",0,37,39
ধরা,এই প্রকল্পের ডিপিপিতে একটি লিটারের পানির প্লাস্টিকের একটি ড্রাম ( চাউলসহ ) ও সবজি কাটার একটি বঁটির দাম ধরা হয়েছে হাজার টাকা করে ।,0,103,105
ধরা,"এখন দেখছি অনেক খাতে যে খরচ ধরা হয়েছে , সেটা বেশি মনে হচ্ছে ।",0,27,29
ধরা,"উপজেলায় হাজার টি ষাঁড় , টি বলদ , টি ( এদো ) বকন গাভী গড় দাম ধরা হয়েছে কোটি লাখ হাজার টাকা ।",0,63,65
ধরা,বাকি চারটির কাজ পর্যায়ক্রমে ধরা হবে ।,0,29,31
ধরা,এছাড়া গতবছর হাজার হেক্টর জমিতে তুলা আবাদের লক্ষ্যমাত্রা ধরা হলেও সেখানে আবাদ হয়েছিলো হাজার হেক্টর জমিতে ।,0,57,59
ধরা,"এর মধ্যে স্ক্যানিংয়ের জন্য টাকা , ট্রানশিপমেন্ট বাবদ টাকা ও নথি প্রক্রিয়াকরণ বাবদ টাকাসহ আটটি খাতে এ টাকা ধরা হয় ।",0,108,110
ধরা,ধরা যাক % হারে ডিভিডেন্ড দেওয়া কোম্পানিটির শেয়ারের মার্কেট প্রাইস টাকা ।,0,0,2
ধরা,জানুয়ারি ও ফেব্রুয়ারিকে দিন ধরা হতো সে সময় ।,0,30,32
ধরা,টাইগারদের পৃষ্ঠপোষক স্বত্বের ভিত্তিমূল্য ধরা হয়েছে কোটি টাকা ।,0,41,43
ধরা,ব্রেসলেটটির ভিত্তিমূল্য ধরা হয় লাখ টাকা ।,0,24,26
ধরা,আগামী অর্থ বছরে বিভিন্ন খাত থেকে মোট আয় ধরা হয়েছে কোটি লক্ষ টাকা ।,0,41,43
ধরা,অকৃষি জমির মূল্য ধরা হয়েছে হাজার টাকা ।,0,17,19
ধরা,এতে মোট খরচে ধরা হয়েছে ছয় হাজার কোটি লাখ টাকা ।,0,13,15
ধরা,ব্যয় ধরা হয়েছিল লক্ষ হাজার টাকা ।,0,6,8
ধরা,"চায়ের ক্রমবর্ধমান অভ্যন্তরীণ চাহিদা পূরণ , রফতানি বৃদ্ধি বিষয়টি সামনে রেখে সালে দেশে মিলিয়ন কেজি চা উৎপাদনের লক্ষ্যমাত্রা ধরা হয়েছে । '",0,125,127
ধরা,প্রতিটির জন্য ব্যয় ধরা হয়েছে লক্ষ টাকা করে ।,0,20,22
ধরা,"জানা যায় , ইঞ্জিনকেনা প্রকল্পে মোট ব্যয় ধরা হয়েছে দশমিক কোটি টাকা ।",0,42,44
ধরা,"আর কোনো কোম্পানির পিই এর নিচে চলে গেলে , ওই কোম্পানির শেয়ার দাম অবমূল্যায়িত ধরা হয় ।",0,78,80
ধরা,ডিপিডিসির আওতাধীন এলাকায় আট লাখ পঞ্চাশ হাজার স্মার্ট প্রি-পেমেন্ট মিটার স্থাপন প্রকল্পের খরচ ধরা হয়েছে কোটি লাখ টাকা ।,0,94,96
ধরা,কৃষিতে এ বার বৃদ্ধির হার ধরা হয়েছে মাত্র . % ।,0,25,27
ধরা,অ্যাস কিকার নামের এই কফির দাম ধরা হয়েছে অস্ট্রেলীয় ডলার ।,0,30,32
ধরা,"লাখ হাজার ভোটের মধ্যে ধরা হচ্ছে , সর্বোচ্চ শতাংশ ভোট পড়তে পারে ।",0,22,24
ধরা,এই প্লান্ট তৈরির ব্যয় ধরা হয়েছে . বিলিয়ন ডলার ।,0,23,25
ধরা,এতে উৎপাদনের লক্ষ্যমাত্র ধরা হয়েছে লাখ হাজার শ মেট্রিক টন ধান ।,0,25,27
ধরা,লাইন-১ এর রুট ধরা হয়েছে বিমানবন্দর থেকে কমলাপুর স্টেশন এবং নতুন বাজার থেকে পূর্বাচল ডিপো পর্যন্ত ।,0,14,16
ধরা,তবে কালভার্ট আকারের এসব সেতুর নির্মাণ ব্যয় দ্বিগুণ ধরা হয়েছে বলে উপজেলা এলজিইডি বিভাগ দাবি করছে ।,0,52,54
ধরা,সামগ্রিকভাবে বাজেটে যে আয় ও ব্যয় ধরা হয়েছে তা বাস্তবায়নে সুনির্দিষ্ট পরিকল্পনা নেই ।,0,35,37
ধরা,ছয় দলের থাকা-খাওয়া এবং পাঁচ বিদেশী দলের যাতায়াতের পেছনে খরচ ধরা হয়েছে চার কোটি টাকা,0,63,65
ধরা,অথচ সেই খাতে অন্যায্যভাবে টাকা ধরা হয়েছে । ',0,31,33
ধরা,সব মিলিয়ে আসন্ন বাজেটে সরকারের এসব বিষয়ে ব্যয় ধরা হয়েছে লাখ হাজার কোটি টাকা ।,0,49,51
ধরা,"বাজেটে মোট রাজস্ব আয় ধরা হয়েছে লাখ হাজার কোটি টাকা , যা জিডিপি'র শতাংশ ।",0,22,24
ধরা,"এর মধ্যে জোনাল অফিস , ওয়ার্ড অফিস ও কমিউনিটি সেন্টার নির্মাণে কোটি টাকা , পাবলিক হল কমপ্লেক্স নির্মাণে কোটি , কবরস্থান , সিমেট্রি , শ্মশানঘাট নির্মাণে কোটি , ওয়ার্ডভিত্তিক কাঁচাবাজার নির্মাণে কোটি , কেসিসি সুপারমার্কেট , সন্ধ্যা বাজার নির্মাণে কোটি এবং কসাইখানা নির্মাণে কোটি টাকা ব্যয় ধরা হচ্ছে ।",0,289,291
ধরা,প্রতিটি ফেরিঘাটের জন্য প্রাথমিক ভাবে ব্যয়বরাদ্দ ধরা হয়েছে কোটি টাকা ।,0,49,51
ধরা,এই রমজান থেকে সামনের বছরের রমজান পর্যন্ত প্রত্যাশিত খরচ ধরা হয়েছে X = ( সমস্যা নিরসন না হলে ),0,56,58
ধরা,"চলতি অর্থবর্ষে যে আর্থিক ঘাটতি অনুমান করা হচ্ছে , তার মধ্যে জিএসটি প্রণয়নের কারণে , কোটি টাকা ধরা হয়েছে ।",0,95,97
ধরা,"প্রকল্পের ব্যয় সম্পর্কে অধ্যাপক মোঃ মনজুর হোসেন বলেন , এই প্রকল্পের মোট ব্যয় ধরা হয়েছিল কোটি লাখ টাকা ।",0,79,81
ধরা,"যমুনা রেলওয়ে সেতু নির্মাণ প্রকল্প , এর ব্যয় ধরা হয়েছে হাজার কোটি লাখ টাকা ।",0,46,48
ধরা,আর বৈদেশিক ঋণের সুদ পরিশোধ বাবদ ধরা হয়েছে হাজার কোটি টাকা ।,0,32,34
ধরা,এ বাজেটে রাজস্ব আয় ধরা হযেছে লাখ হাজার টাকা এবং উন্নয়ন খাতের আয় ধরা হয়েছে লাখ হাজার টাকা ।,0,20,22
ধরা,"এবার মৌসুমে লাখ টনের বেশি আম উৎপাদনের লক্ষ্যমাত্রা ধরা হয়েছে , যা গতবছর উৎপাদন ছিল লাখ হাজার টন ।",0,51,53
ধরা,আমেরিকাতে সিম ছাড়া এই ফোনের দাম ধরা হয়েছে ডলার আবার ইউরোপ আর এশিয়াতে এটা পড়বে ডলারের মত ।,0,33,35
ধরা,এর আগে মূল চুক্তিতে কোটি লাখ টাকা ব্যয় ধরা হয়েছিল ।,0,40,42
ধরা,টিকিটের সর্বোচ্চ মূল্য ধরা হয়েছে দুই হাজার টাকা ।,0,23,25
ধরা,কিন্তু ধরা পড়ার ভয়ে ব্যাথা পেয়েও চোর ব্যাটা নিশ্চুপ !,1,7,9
ধরা,"এমন অভিযানের সফলতা আসবে তখন , যখন আমারা দেখবো যে , মাদক সেবনকারীকে ধরে তার কাছ থেকে তথ্য নিয়ে দুইএকজন মাদক ব্যবসায়ীকে ধরা হয়েছে ।",1,67,69
