lemma,sentence,sense,start,end
পদ,"হরেক রকমের পদে সাজানো পুষ্টিগুণে ভরপুর ইলিশ কেবল স্বাদেই নয় , যৌনমিলনে দারুণ ভূমিকা রাখে ।",0,11,13
পদ,একঘেয়ে স্বাদ বদলাতে ট্রাই করুন এই পদ,0,35,37
পদ,এবার আপনিও বানাতে পারবেন মটনের সুস্বাদু এই পদটি ।,0,18,19
পদ,আলুর দম বা দম আলু ( হিন্দি : दम आलू ) আলু দিয়ে তৈরি একটি পদ ।,0,58,60
পদ,"বেগুন ভাজা , বেগুনের ভর্তা , ঝোল-ঝোলে বেগুনের তরকারি , বসন্তে নিম-বেগুন – বাঙালি এই সব্জি দিয়েও অনেকে রকমারি পদ বানাতে পছন্দ করে ।",0,110,112
পদ,পিএনএস ডেস্ক : খুব সহজেই নাস্তার কোনো পদ তৈরি করতে চান ?,0,38,40
পদ,"সালের এক জরিপে , জালফ্রেজিকে যুক্তরাজ্য ভারতীয় এবং বিস্তৃত দক্ষিণ এশীয় রেস্তোঁরাগুলিতে সর্বাধিক জনপ্রিয় খাবারের পদ হিসেবে মূল্যায়িত করা হয়েছিল",0,115,117
পদ,"এ দেশীয় খাবারের আয়োজনের মধ্যে ছিল ভোজনবিলাসী বাঙালির প্রিয় খিচুড়ি , ইলিশ মাছ , বিভিন্ন পদের মাংস , ভর্তা , ভাজি , রকমারী পিঠা , পায়েস , মিষ্টান্ন , চটপটি , ফুচকা , মুড়ি-মুড়কি , খই , বাতাসা , দই , ঘোলের শরবত , জিলাপিসহ আরো কয়েকটি পদ ।",0,91,93
পদ,কাপ্তাই লেকের বাহারি পদের মাছ আর ব্যাম্বু চিকেনের স্বাদ নিতে ভুলবেন না ।,0,21,23
পদ,বিয়ের খাবারের আয়োজনে গরুর মাংসের নানান পদ না থাকায় রেগে যায় পাত্রপক্ষ ।,0,41,43
পদ,নামীদামি সব রেস্তরাঁর বাহারি পদের ইফতারের সাথে বাড়িতে আসে ব্যাগভর্তি বাজার ।,0,29,31
পদ,"শুধু খেতেই চান না , মুখরোচক দক্ষিণী পদ খাবেন বলে রীতিমতো যেচে আমন্ত্রিতও হলেন নমো !",0,36,38
পদ,এক একটা বাড়ির পাকঘরে জমা হয় অজস্র পদের তরকারি ।,0,36,38
পদ,চিংড়ির রান্না বলতে সবাই অন্তত একটি পদে খাড়া – মালাইকারি ।,0,36,38
পদ,ছেলে ( Abhijit Banerjee ) ঘরে ফিরলে আদর করে নিজের হাতের রান্না নানা সুস্বাদু পদ খাওয়াবেন তিনি ।,0,77,79
পদ,বিয়েবাড়ি কিংবা অতিথি আপ্যায়নে অনেক সময় প্রাধান্য পায় এই পদটি ।,0,43,44
পদ,আসছে পহেলা বৈশাখে সাদা ভাতের সঙ্গে রকমারি ভর্তার পদে যেন আপনিই সেরা থাকেন ।,0,49,51
পদ,তিন পদের শাক না আনলে ও পারতেন ।,0,4,6
পদ,বাড়িতে কাউকে নেমন্তন্ন করে খাওয়ানো মানেই চিংড়ি মালাইকারি যেন অন্যতম প্রধান পদ ঘটিবাড়িতে ।,0,78,80
পদ,কাবাবের এই দুর্দান্ত পদটি বাড়িতেই ঝটপট বানিয়ে ফেলে আপনার প্রিয়জনের সামনে পরিবেশন করুন ।,0,11,12
পদ,"নাম গুলাও প্রতিষ্ঠাতার নামে - হোসেন আলী মসজিদ , চানভানু মসজিদ , হাজী সাব মসজিদ , মেয়ের বাসায় যখন গেলাম নানান পদের মিষ্টি আর সন্দেশ দেখে মন জুড়ে গেল ।",0,111,113
পদ,"ব্রেকফাস্ট , লাঞ্চ থেকে ডিনার , সব সময়ই রণবীরের জন্য থাকছে নিত্য নতুন পদ ।",0,71,73
পদ,"একচেটিয়া মিষ্টিস্বাদের খাবারের পদ , যা পেট ভরায় না তবে মন ভরায় ।",0,32,34
পদ,অতিথি এলে বারো পদের খাবার একা আমিই রাঁধি ।,0,15,17
