lemma,sentence,sense,start,end
পাকা,এক. আগে ধান পাকার কথা তাঁদের জানা ছিল না।,0,12,16
পাকা,তবে চুল পাকার আগে নিশ্চয়ই বিয়েটা সেরে ফেলব !,0,8,12
পাকা,তোমার চুলের রং পাকার আগে কালো ছিল কি ?,0,15,19
পাকা,"অন্য আপেলটি সব কথা শুনে জানতে চাইল , আমরা তো বুঝলাম ; কিন্তু কারাÑ কাঁচারা না পাকারা ?",0,78,82
পাকা,আমটি পাকার পর হালকা হলুদ বর্ণ ধারণ করে ।,0,5,9
পাকা,"গবেষকের মেজাজ নিয়ে তথ্য তোমরা জোগাড় করো , ভবিষ্যতে কাজে লাগবে , সাধ্যমতো সমাজকল্যাণের কাজে হাত পাকাও , প্রত্যেকটি মানুষই তো সেই একক যাদের পর পর গেঁথে তৈরি হয় সমাজের পাকা গাঁথনি !",0,97,101
পাকা,আমার প্রথম প্রেম—এসব কথা ফাঁস করে কে গণ্ডগোল পাকাতে চায়?,0,45,49
পাকা,"বঙ্গবন্ধুই হেড বাবুর্চি , কী করে পাকাতে হবে দেখিয়ে দিলেন কয়েদি বাবুর্চিকে ।",0,33,37
পাকা,"এক জায়গায় , এই যে , পেজ মার্ক ধরে ডায়েরিটা খুলে উনি পড়তে শুরু করলেন , দীপ্তি , তুমি যেটাকে ভাবছ খাঁচা , সেটা খাঁচা সত্যিই , কিন্তু , পাকাটির ।",0,137,141
পাকা,"কি করলে অকালে চুল পাকার হাত থেকে রেহাই পাওয়া যায় , তার উপায় খুজে বেড়াই ।",0,18,22
পাকা,দলের ছেলে ছোকরাদের নিয়ে মতি মেম্বার হৈ চৈ করে ঘোট পাকাচ্ছে সেখানে ।,0,51,55
পাকা,"সামাদ এ সময় গোঁফ পাকাতে পাকাতে গোপালের সঙ্গে দুষ্টুমি করে বলেছিলেন , দেব , কিন্তু আপনার হাতের মূল্যবান ঘড়িটি আমাকে দিতে হবে পুরস্কার হিসেবে ।",0,18,22
পাকা,"কলম হাতে ভাবতে বসা , ভাবতে থাকা , মাথার ভেতরে এটা ওটা ঘটতে দেওয়া , ভাবনা আর শব্দর আনাগোনা , হঠাৎ আসা হঠাৎ যাওয়া , তালগোল পাকাতে দেওয়া , বিশৃঙ্খল , কী - হবে - রে - বাবা , কী করে ধরব , কী ভাবে শুরু করব ।",0,123,127
পাকা,"আমরা যদি একটা হল্লা পাকাই , কী করবেন ?",0,20,24
পাকা,শুধুমাত্র ভালোবাসার মানুষটিকে নিজের দখলে রাখার শিশুসুলভ কাজটুকু করতে গিয়ে কোমলমতি সন্তানদের এঁচোড়ে পাকার ব্যবস্থা করে ফেলে ।,0,101,105
পাকা,"বলিল - আজ্ঞে , এই কায করতে করতে চুল পাকালাম ।",0,36,40
পাকা,"মাসিক কিস্তি ( ই এম আই ) যা - ও বা কোনও মতে জোগাড় করা যাচ্ছে , সমস্যা পাকাচ্ছে ডাউনপেমেন্ট ।",0,71,75
পাকা,কাঁচা অবস্থায় এই বিদেশি ফলটি সবুজ বর্ণের হলেও পাকার পর টকটকে লাল রং ধারণ করে।,0,46,50
পাকা,"যত খুশি ঘরে বসে মূর্তি তৈরি করো , যত খুশি দল পাকাতে থাকো ।",0,45,49
পাকা,"আপনাকে যদি দিনে টা মেয়ের সঙ্গে প্রেম করতে হয় , আপনি কি গ্যাঞ্জাম পাকাবেন না ?",0,67,71
পাকা,আপনি জোড় করে কিলিয়ে কাঁঠাল পাকাতে চাচ্ছেন ?,0,29,33
পাকা,"যত খুশি ঘরে বসে মূর্তি তৈরি করো , যত খুশি দল পাকাতে থাকো ।",0,45,49
পাকা,"একদিন সে একটা নরমুণ্ড হাতে ঝুলিয়ে ঘরে ফিরে এসে বললো , এটাকে বেশ ভালো করে পাকাও দেখি ।",0,74,78
পাকা,আমার প্রথম প্রেম—এসব কথা ফাঁস করে কে গণ্ডগোল পাকাতে চায়?,0,45,49
পাকা,"অন্য আপেলটি সব কথা শুনে জানতে চাইল , আমরা তো বুঝলাম ; কিন্তু কারাÑ কাঁচারা না পাকারা ?",0,78,82
পাকা,"এবার উজির পাচিকাকে বললো , আমার সামনে খানা পাকাও , আমি নিজের চোখে দেখতে চাই , কী ঘটে !",0,42,46
পাকা,"এবার উজির পাচিকাকে বললো , আমার সামনে খানা পাকাও , আমি নিজের চোখে দেখতে চাই , কী ঘটে !",0,42,46
পাকা,বোরো ধান পাকার সময় বৃষ্টি হলে জমিতে হাঁটু পানির এই ধান কাটতে হয় ।,0,9,13
পাকা,ফেলুদা যখন ঢাকায় এলেন তখন গোলমালটা পাকালেন এই শিঙাড়ার পরিচয় নিয়েই।,0,35,39
পাকা,"আমি দু ' হাত দিয়ে তার শরীর থেকে কাঁথাটি টেনে নিয়ে দলা পাকাতে পাকাতে বললাম , আমার মতো একজন আগ্রহী যুবককে আপনি একটি কথাও না বলে তাড়িয়ে দিতে পারেন , এত বিদ্যা নিয়ে কী করবেন ?",0,56,60
পাকা,"যদি চিনি গলে না গিয়ে দলা পাকাতে বা জমাট বাঁধতে শুরু করে , তা হলে বুঝতে হবে আপনি সন্তানসম্ভবা ।",0,26,30
পাকা,"একমুখ দাড়ি আর গোল চশমা পরা অল্পবয়সি এক জনকে দেখতাম হঠাৎ হঠাৎ আসতেন , আর এসেই কী সব দাবিদাওয়া নিয়ে হুলুস্থুল পাকাতেন ।",0,112,116
পাকা,ঠিক সেই পার্সেন্টেজ যারা ঘোঁটটা পাকাচ্ছে ।,0,32,36
পাকা,বাড়ির পুরোনো ডাক্টার নাড়ি মেপে চোখ পাকালেন --- কী কী খেয়েছ শুনি ?,0,37,41
পাকা,"কেউ গোলমাল পাকাচ্ছে দেখলে , তাদেরও বারণ করো ।",0,11,15
পাকা,নিজের বিশ্বাস টেনে এনে ঘোট পাকাবো না - এটা আমার প্রতিশ্রুতি ।,0,27,31
পাকা,নইলে এতক্ষণ আপনাদের সময় নষ্ট করার অপরাধে আমাকেও কিলাইয়া কাঁঠাল পাকাবেন !,0,65,69
পাকা,মহাকাব্যের হিরোর সাথে মিতালী পাকাতে পারলে এই গাদ্দারির জন্য আপনার নাম ধার্মিক শিবিরে খোদাই করা থাকবে ।,0,29,33
পাকা,আস্তে আস্তে আবার পাকাও করমু।,0,17,21
পাকা,"বেশ এস , একটা বুদ্ধি পাকাই - যাতে তা হয় !",0,21,25
পাকা,ফেলুদা যখন ঢাকায় এলেন তখন গোলমালটা পাকালেন এই শিঙাড়ার পরিচয় নিয়েই।,0,35,39
পাকা,আবার কি ঘোঁট পাকাতে চলেছেন কে জানে ?,0,13,17
পাকা,"তবে রাষ্ট্রের এটাও মনে রাখা দরকার, নিরীহ মানুষদের মেরে যে জনতা হাত পাকায়, ওই হাত ক্ষমতাবানদের গায়েও যে কখনো উঠবে না, তার নিশ্চয়তা নেই।",0,67,71
পাকা,আমি এভাবেই পাকাই,0,11,15
পাকা,"আজকাল হাঁটুর বয়েসি বাচ্চারা হাতে এর চেয়ে অনেক জটিল যন্তর নিয়ে ঘুরে বেড়ায় , আর এ জিনিসে হাত পাকাতে পারবেনা স্বরূপ ?",0,96,100
পাকা,কারণ কলা পাকার সময় হয়েছে ।,0,9,13
পাকা,কখন কোথায় যে তারা যাবে আর কী কাণ্ড পাকাবে সে কথা কেউ আন্দাজও করতে পারে না ।,0,36,40
পাকা,গোলমাল পাকাতে এ সব হচ্ছিল ।,0,7,11
পাকা,"কলম হাতে ভাবতে বসা , ভাবতে থাকা , মাথার ভেতরে এটা ওটা ঘটতে দেওয়া , ভাবনা আর শব্দর আনাগোনা , হঠাৎ আসা হঠাৎ যাওয়া , তালগোল পাকাতে দেওয়া , বিশৃঙ্খল , কী - হবে - রে - বাবা , কী করে ধরব , কী ভাবে শুরু করব ।",0,123,127
পাকা,অবশ্য শেষদিকে তালগোল না পাকালে সংগ্রহটা আরো বড় হতে পারতো ।,0,24,28
পাকা,"আঠারঃ কেউ যখন গোশ্ত পাকাবে তার উচিত হবে ঝোল বাড়িয়ে দেয়া , এবং তা থেকে প্রতিবেশীকে দেয়া ।",0,20,24
পাকা,"পরিস্থিতি যা জটিল হচ্ছে , তাতে কেউ আদালতের দ্বারস্থ হলে আই লিগ , আইএসএল এবং সুপার কাপ নিয়ে জট যে আরও পাকাবে বলাই বাহুল্য ।",0,102,106
পাকা,"আমরা যদি একটা হল্লা পাকাই , কী করবেন ?",0,20,24
পাকা,সর্বশেষ আলপিন / কার্টুন কাণ্ডে আরেকবার দেখা গেলো কী তুচ্ছ কারণে ধর্মান্ধরা ঘোঁট পাকাতে পারে ।,0,80,84
পাকা,কিন্তু চিকিৎসক - রোগীর সম্পর্কের অবনতির জেরে এ বার পুতুল - রোগীর উপরেই হাত পাকাতে হবে হবু ডাক্তারদের !,0,75,79
পাকা,"এ খবর সবাই জানেন যে , বিস্ময়কর লি চিং মাত্র ১০ বছর বয়স থেকে হার্বাল বিজ্ঞানে হাত পাকাতে শুরু করেন ।",0,83,87
পাকা,ডায়াগন এ্যালিতে ওরা কোনো গোলমাল পাকাতে সাহস করবে না ।,0,33,37
পাকা,"তিনি জানান , বাগানের আম পাকার সময় হলে কিছু ফল রেখে দিয়ে বাকি আম স্থানীয় ফল ব্যবসায়ীদের কাছে পাইকারিভাবে বিক্রি করে দেয়া হয় ।",1,24,28
পাকা,"চৈত্রের ঝলসানো রোদে গম ক্ষেতের শীষ পাকাটি যেন , বাদামী রঙের চৈত্রের রোদ খেলা করছে ঝিকমিকিয়ে ।",1,35,39
পাকা,কৃষি সম্প্রসারণ বিভাগের কর্মকর্তারা ধান পাকার সঙ্গে সঙ্গে ধান কেটে ফেলার জন্য তাগিদ দিচ্ছেন বারবার।,1,40,44
পাকা,"এই ধানের বিশেষত্ব হচ্ছে, পাকার পরও পাতা সবুজ থাকে।",1,25,29
পাকা,এরই মধ্যে আশ্বিন-কার্তিক মাসে শেষ হয়েছে কাটিমন আম পাকার তিন পর্বের একটি পর্ব।,1,50,54
পাকা,প্রতিবছরই ধান ও কাঁঠাল পাকার মৌসুমে হাতির পালটি সন্ধ্যার দিকে খাদ্যের সন্ধানে লোকালয়ে চলে আসে।,1,23,27
পাকা,এ রোগ চারা অবস্থা থেকে ধান পাকার আগ পর্যন্ত যে কোনো সময় দেখা দিতে পারে ।,1,27,31
পাকা,ফলটি পাকার পর অত্যন্ত মিষ্টি ও সুস্বাদু ।,1,5,9
পাকা,তবে এই প্রথম সালনা এলাকায় যে কাঁঠাল গাছটি দেখা গেছে সেটির কাঁঠাল বড় হয়ে পাকার উপযোগী হলে এর কোষগুলো ফেটে বাইরে বেরিয়ে আসছে ।,1,75,79
পাকা,পাকাটি না সরালে ঘরের ভেতরে যাওয়া সম্ভব নয় ।,1,0,4
পাকা,পেঁয়াজের ফল পাকার এই মরশুমে দেখা যাচ্ছে সময়মতো ফল পাকলেও ভিতরে দানা নেই ।,1,13,17
