lemma,sentence,sense,start,end
পাড়া,তারা তখন প্রকৃতির সেই সম্ভারকে সোনার ডিম পাড়া হাঁসের মতো গলা কেটে ফেলতে চায় ।,0,9,10
পাড়া,ডিম পাড়া থেকে বাচ্চা বড় না হওয়া পর্যন্ত মা ধনেশ গর্তের বাসায় বন্দী থাকে ।,0,0,1
পাড়া,যাদের মনে হচ্ছে ইউটিউব সোনার ডিম পাড়া হাঁস তারা এই কাজটি করতে পারবে না ।,0,29,30
পাড়া,পাঁচ মাস পর থেকে মুরগি ডিম পাড়া শুরু করবে ।,0,0,1
পাড়া,আর কবুতরের জন যে সমস্যা নিয়ে আসেন পরে তারা অধিকাংশই থাকে এই ডিম না পাড়া বা ডিম না জমার সমস্যা সম্পর্কে ।,0,35,37
পাড়া,সেই পানিতে ডিম পাড়া হবে ।,0,4,5
পাড়া,আলোর চার পাশে যদি প্রচুর মাজরা পোকার মথ দেখতে পাওয়া যায় তাহলে বুঝতে হবে ক্ষেতের মধ্যে মথগুলো ডিম পাড়া শুরু করেছে ।,0,9,10
পাড়া,"ডিম পাড়া বন্ধ হলে , সব ডিম একসাথে মুরগীর খাঁচায় রেখে দেওয়া হ'ত ।",0,0,1
পাড়া,গুগল এ্যডসেন্স এখন ডিম পাড়া মুরগির মত ।,0,7,10
পাড়া,মাছের ডিম পাড়া এবং বিচরণ বাধাগ্রস্ত হবে ।,0,6,7
পাড়া,এই ডিম সাধারণ মুরগির পাড়া কোনো ডিম নয় ।,0,3,4
পাড়া,সোনার ডিম পাড়া হাঁসের সেই গল্পটা সম্ভব সবাই ভুলে গেছেন ।,0,6,7
পাড়া,প্রথমেই খুঁজে বের করবেন বেশি ডিম পাড়া মুরগিগুলোকে ।,0,0,1
পাড়া,আর তাতে অনেকেই জোড়া ভেবে ভুল করে ফেলে যতক্ষণ না টা মাদী ডিম পাড়া শুরু করে ।,0,17,18
পাড়া,বিশেষ করে বৃষ্টিপাতের সময় মশার ডিম পাড়া ও প্রজননের জন্য খুবই উপযুক্ত ।,0,16,17
পাড়া,সেই সাথে অনেক ডিম পাড়া হাঁস খ্যাত নেতারও জন্ম হয়েছে ।,0,14,15
পাড়া,কারন এই ইস্যুটা যে সোনার ডিম পাড়া রাজহাঁস ।,0,25,26
পাড়া,মেয়েগুলো সদ্য পাড়া ডিম ভেঙ্গে ফেলে ।,0,15,16
পাড়া,এ পর্যন্ত শতাধিক বিভিন্ন জাতের পাখি নির্বিঘ্নে ডিম পাড়া থেকে শুরু করে বাচ্ছা ফুটিয়েছে ।,0,2,4
পাড়া,হাঁসে শামুক খেলে তাড়াতাড়ি ডিম বড় হয় এবং ডিম পাড়া বন্ধ করে দেরিতে ।,0,19,20
পাড়া,খাঁচাগুলো ঢালসহ এমনভাবে তৈরি করা হয় যাতে করে মুরগি ডিম পাড়া মাত্রই ডিমগুলো গড়িয়ে গড়িয়ে খাঁচার সামনে গ্রিলের ফাঁক দিয়ে বাইরের বর্ধিত অংশ এসে জড়ো হতে পারে ।,0,52,53
পাড়া,"সদ্য পাড়া ডিম লাল , পরবর্তীকালে ডিমের উপরের অংশটুকু লাল থাকে ও বাকিটা সাদা হয়ে যায় ।",0,5,6
পাড়া,বিনিয়োগকারীকে সোনার ডিম পাড়া হাস মনে করছে ।,0,21,22
পাড়া,"তিনি প্রমাণ করেছেন মৌমাছি তিন ধরনের পুরুষ মৌমাচি , স্ত্রী মৌমাছি ও ডিম না পাড়া স্ত্রী মৌমাছি ।",0,5,6
পাড়া,রক্ত শুধু নারী মশাদের ডিম পাড়া জন্যে প্রয়োজন হয় এবং এটি তাদের ভবিষ্যৎ প্রজন্মকে বাঁচিয়ে রাখার প্রয়াস মাত্র ।,0,22,23
পাড়া,অল্প কিছুদিনের মধ্যেই সবগুলো মুরগি ডিম পাড়া শুরু করল ।,0,3,4
পাড়া,হাঁস-মুরগি ডিম পাড়া বন্ধ করে দিত ।,0,11,12
পাড়া,তবে মুরগি যখন ডিম পাড়া বাদ দিবে তখন খাঁচা ভরে সেগুলোও বাজারে নিয়ে ঝেড়ে দিতে হবে ।,0,14,15
পাড়া,ইকুইলিসের জরায়ুর জিন প্রকাশ জীবিত জন্ম দানকারী প্রাণীর জরায়ুর সাথে বেশি খাপ খায় অন্য ডিম পাড়া প্রাণীর জরায়ুর তুলনায় ।,0,22,23
পাড়া,বাংলাদেশ সাল থেকে পর্যায়ক্রমে ইলিশের ডিম পাড়া ও বিচরণের স্থানগুলো চিহ্নিত করেছে ।,0,18,20
পাড়া,"পেয়েছে সোনার ডিম পাড়া এক হাঁস , সাজেক তার নাম ।",0,0,1
পাড়া,কোয়েল ডিম পাড়া অসম্ভব কিছুই না ।,0,7,8
পাড়া,পিএনএস ডেস্ক : হাঁস-মুরগিকে যেন ডিম পাড়া থেকে অবসর দেওয়া হয়েছে ।,0,0,1
পাড়া,পরবর্তীতে সেখানে থেকে টির মতো ডিম পাড়া হয় ।,0,0,4
পাড়া,"বিশেষ করে ডিম পাড়া মুরগী , হাস , কোয়েল , কবুতার ক্ষেত্রে দিনের আলো হিসাব করে রাতে নির্দিষ্ট পরিমাণ কৃত্রিম আলোর ব্যবস্থা করতে হবে ।",0,10,11
পাড়া,অনেক সময় ডিম না পাড়া পর্যন্ত মাদী কে ঠিকমত খেতে বা বসতেও দেয় না ।,0,10,11
পাড়া,পায়ে পাড়া দিয়ে ঝগড়া করার পরিস্থিতি সৃষ্টি হয় নারায়ণগঞ্জে ।,0,0,1
পাড়া,"এর আগে একটি মাদি ' বাটাগুর বাসকা ' কচ্ছপের পাড়া ডিম থেকে গত , ও মে পর্যন্ত এ বাচ্চাগুলো ফোটে ।",0,43,44
পাড়া,সদ্য পাড়া ডিম থেকে মোটামুটি সপ্তাহ খানেক বয়সের ডিম পানির নিচে পড়ে থাকবে ।,0,64,66
পাড়া,এটা তার ডিম পাড়া ও প্রজননের অন্যান্য প্রাকৃতিক বিষয়ের সঙ্গে যুক্ত ।,0,8,9
পাড়া,বাংলাদেশের আবহাওয়ায় কোয়েল - সপ্তাহ বয়সে ডিম পাড়া শুরু করে এবং - মাস পর্যন্ত ডিম পাড়া অপরিবর্তিত থাকে ।,0,44,45
পাড়া,প্রতি সপ্তাহ বয়স থেকে টার্কি ডিম পাড়া শুরু করে ।,0,0,1
পাড়া,সদ্য পাড়া ডিম মুক্তোর মতো ধবধবে সাদা ।,0,5,6
পাড়া,ডিম পাড়া শেষ হলেই মুরগি কুঁচো হবে ।,0,0,1
পাড়া,লন্ডন : সোনার ডিম পাড়া হাঁসের কথা কথা সকলেরই জানা ।,0,3,5
পাড়া,"তবে এটা ঠিক , কৃত্রিম নির্বাচনের মাধ্যমে বেশি ডিম পাড়া মুরগির গোষ্ঠী তৈরি করার চেয়ে Natural Selection বা প্রাকৃতিক নির্বাচনের মাধ্যমে নতুন প্রজাতির সৃষ্টি হওয়া অনেক বড় একটা ব্যাপার ।",0,46,47
পাড়া,ডিম পাড়া মুরগিকে বলে লেয়ার ।,0,0,1
পাড়া,সোনার ডিম পাড়া হাঁসটাকে মেরে এক রাতেই বড়লোক হতে চাই ।,0,6,7
পাড়া,ডিম পাড়া থেকে জীবিত জন্মের জন্য অনেক শারীরবৃত্তীয় পরিবর্তন প্রয়োজন ছিল ।,0,0,1
পাড়া,"বছরের বিভিন্ন সময়ে ইলিশ ধরায় নিষেধাজ্ঞা জারি করে ইলিশের বংশবিস্তার , ডিম পাড়া ও প্রজননের সুবিধার্থে গত কয়েকবছরে বিভিন্ন ধরণের পদক্ষেপ নিয়েছে বাংলাদেশ সরকার ।",0,71,72
পাড়া,"আমরা থেকে সাল পর্যন্ত মাছের ট্রলারে করে দ্বীপে পৌঁছে ইউনিয়ন পরিষদ অফিসের বালুমাখা মেঝেয় দিনে ঘুমিয়ে সারারাত দ্বীপের বেলাভূমিতে যেভাবে এবং যে সব জায়গা ঘুরে কাছিমের ডিম পাড়া রেকর্ড করেছি তা বর্ণনা করার মতো ভাষা আছে , লেখার ক্ষমতা নেই ।",0,14,16
পাড়া,রাজহাঁসের পালক চাইলে পালক তুলতে হবে রাজহাঁস যখন প্রথম ডিম পাড়া বন্ধ করবে ।,0,10,11
পাড়া,) সদ্য পাড়া ডিম আর খাবার জন্য তৈরি ডিগুলিকে একসঙ্গে রাখবেন না ।,0,7,8
পাড়া,দুটি কচ্ছপের পাড়া টি ডিম প্রাকৃতিক উপায়ে বালুর মধ্যে রাখা হয়েছে ।,0,13,14
পাড়া,"যদি সাদা রঙের ডিম পাড়া মুরগি এবং বাদামি রঙের ডিম পাড়া মুরগিকে একই খাবার খাওয়ানো হয় , তাহলে এদের ডিমের স্বাদে খুব বেশি পার্থক্য পাওয়া যাবে না ।",0,14,15
পাড়া,অত্যন্ত কৌশলে বুদ্ধি খাটিয়ে ডিম পাড়া পাখিটির নাম কোকিল ।,0,29,30
পাড়া,উদ্দেশ্য ট্যামির বাগানের নানান ফল পেকেছে সেগুলো পাড়া ।,1,34,35
পাড়া,তা সে খেলাধূলা থেকে শুরু করে গাছ থেকে আম পাড়া অবধি ।,1,41,42
পাড়া,"বাগান থেকে আম পাড়া , টুকরি তৈরি ও ট্রাকবোঝাই থেকে শুরু করে বিভিন্ন কর্মকা-ে মেতে উঠেছেন বাজারের লক্ষাধিক আম চাষি ও ব্যবসায়ী ।",1,14,15
পাড়া,"আর যদি কাচ অবস্থায় পাড়া আমে ফরমালিনযুক্ত করে আম পাকানো হয় , তবে সেই আমের সবটাই হবে হলুদ , চামড়ার উপর সাদা সাদা দাগও দেখা যাবে ।",1,20,21
পাড়া,"অন্য ফল আকর্ষী দিয়া পাড়া যায় , কিন্তু নারিকেল গাছে না উঠিলে পাড়া যায় না ।",1,21,22
পাড়া,"তিনি আরও বলেন , ' মে মাসের আগে যেসব আম পাড়া হয় ।",1,39,40
পাড়া,অনেকে গাছেও উঠে আম পাড়া শুরু করেন ।,1,19,20
পাড়া,"অন্য ফল আকর্ষী দিয়া পাড়া যায় , কিন্তু নারিকেল গাছে না উঠিলে পাড়া যায় না ।",1,21,22
পাড়া,বাণিজ্যিকভাবে কখনো সম্পন্ন পাকা অবস্থায় আম গাছ থেকে পাড়া ঠিক নয় ।,1,22,24
পাড়া,* বাজারজাত করণের সুবিধার্থে দফায় দফায় আম পাড়া যেতে পারে ।,1,43,44
পাড়া,গত জুন গাছ থেকে আম পাড়া শুরুর পর বাজারজাত হচ্ছে এই জেলার বিভিন্ন স্থানে ।,1,19,20
পাড়া,"নাটোরের বাগান মালিক আব্দুর রউফ বলেন , আগামী মে থেকে নাটোর জেলায় গাছ থেকে আম পাড়া শুরু হবে ।",1,77,78
পাড়া,ফল পাকার ঠিক আগেই পাড়া হয় এবং ঘরে রাখলে হলুদ রঙ ধরে ।,1,3,4
পাড়া,আম পাড়া ও বাজারজাতে চাঁপাইনবাবগঞ্জে বুধবারের আগে নিষেধাজ্ঞা ছিল ।,1,3,4
পাড়া,এখন বালাই দমনের জন্য স্প্রে দেয়ার অন্তত দিন পর গাছ থেকে আম পাড়া হচ্ছে ।,1,23,24
পাড়া,"অধিকন্তু , আম পাড়া থেকে বাজারজাতকরণ পর্যন্ত আমের জীবনী ( সেলফ লাইফ ) - সপ্তাহ বজায় থাকে ।",1,14,15
পাড়া,সহজেই গাছ থেকে নারিকেল পাড়া যায় ।,1,23,24
পাড়া,কিন্তু বেশির ভাগ আমই পরিপুষ্ট হওয়ার আগেই গাছ থেকে পাড়া হয় ।,1,21,23
পাড়া,অপর দিকে ভোলাহাটের আম ফাউন্ডেশন বাগানের আম পাড়া শুরু হওয়ার মুহূর্তে আড়ৎ গড়ে উঠায় আম ব্যবসায়ীদের ভীড় লক্ষ্য করা গেছে ।,1,27,28
পাড়া,"- রঙিন এবং বিশুদ্ধ গ্রাফিক্স - 40 স্তর সব কার্ড মুখ নিচে পাড়া হয় , এবং তারা প্রতিটি ঘড়ির উপর প্লেয়ার দ্বারা উপর flipped হয় ।",1,46,47
পাড়া,লিচু গাছ থেকে পাড়া হচ্ছে ।,1,14,15
পাড়া,গাছে ফল পাকলে যদি তা না পাড়া হয় তবে সে ফল থেকে বীজ আপনাআপনি মাটিতে ঝরে পড়ে ; অনুকূল পরিবেশে তা থেকে চারা গজায় ।,1,73,75
পাড়া,"যেখানে প্রতি বছর আমের মৌসুমে মধুমাস জ্যৈষ্ঠ না আসতেই তড়িঘড়ি করে আম পাড়া শুরু হয়ে যায় , সেখানে এবার ব্যত্যয় কেন ?",1,7,8
পাড়া,ফলে আম পাড়া নিয়ে সংশয় দূর হলো আমচাষিদের মধ্যে ।,1,7,8
পাড়া,পুষ্ট ফল শাখা ও পাতাসহ পাড়া হয় ।,1,0,1
পাড়া,এর আগে প্রশাসনের নিষেধাজ্ঞার কারণে আমের রাজধানীতে এতদিন আম পাড়া বন্ধ ছিল ।,1,7,8
