lemma,sentence,sense,start,end
ফল,বেশ কয়েক বছর ধরেই বাজারে ড্রাগন ফল দেখা যায় ।,0,33,35
ফল,"পূর্নাঙ্গ পোকা এবং বাচ্চা গাছের পাতা , কচি কাণ্ড , ফুল ও ফলের কুঁড়ি , বোটা এবং ফলের কচি অংশের রস চুষে খায় , ফলে গাছ দুর্বল ও হলুদ হয়ে যায় ।",0,57,59
ফল,আমরা নানা প্রসাধনী ব্যবহার করেও তেমন ভাল ফল পাই না ।,0,41,43
ফল,"গরমের সময় সবচেয়ে মজার , উপকারি আর প্রশান্তির ফল তরমুজ ।",0,47,49
ফল,সাধারণত নাতিশীতোষ্ণ আবহাওয়ার এই ফলের উৎপাদন ভাল ।,0,33,35
ফল,খাদ্যশক্তি নারকেল ছাড়া অন্যসব ফলের চেয়ে অনেক বেশি ।,0,31,33
ফল,"ফুল শেষে গাছে ফল ধরে , ফলের বীজ বৌকলাবতী কন্দজাতীয় ফুল গাছ ।",0,14,16
ফল,সবজি হলেও টমোটোর মধ্যে ফলের সমুদয় গুণ বিদ্যমান এবং ফলের ন্যায় এটি রান্না না করেও খাওয়া যায় ।,0,23,25
ফল,তবে ভালো ফল পেতে সকালে ঘুম থেকে উঠে একটা গোটা আমলকি চিবিয়ে খেয়ে নিন ।,0,9,11
ফল,"এই ফলে প্রচুর খনিজ উপাদান রয়েছে , তাই খাওয়া ভালো ।",0,3,5
ফল,"অনেকেই অনেকদিন পর্যন্ত ফ্রিজে ফল রাখে , তবে বেশি দিন রাখার ফলে ফলের স্বাদ এতটাই নষ্ট হয়ে যায় যে , পরে আর রস করে ছাড়া মুখে তোলাই দায় হয়ে যায় ।",0,30,32
ফল,"আর সিঙ্গাড়া ফলের শাঁস ও খোসা শক্ত , কাঠের মতো , কাঁটা থাকে চারটি ।",0,13,15
ফল,ফলের শতভাগ ভক্ষণযোগ্য ।,0,0,2
ফল,ফলে নিয়মিত সুগার চেক করান ।,0,0,2
ফল,এক্ষেত্রে সকালে পান করলেও ফল পাওয়া যায় ।,0,26,28
ফল,ফলে দানা হাল্কা হয়ে যায় ।,0,0,2
ফল,"ফল আর্মিওয়ার্ম পোকার জীবনচক্র ধাপে সম্পন্ন হয় যথাঃ ডিম , কীড়া , পুত্তলী ও মথ ।",0,0,2
ফল,পথের ধারে ফল বিক্রেতাদের কেটে রাখা ফলগুলো দূষিত বাতাসের সংস্পর্শে আসে বলে এগুলো না খাওয়াই ভালো ।,0,10,12
ফল,ফলে হজম শক্তির উন্নতি হয় ।,0,0,2
