lemma,sentence,sense,start,end
বর্ণ,"গাঢ় সবুজ বর্ণের , আমটি পাকলেও সবুজ থেকে যায় ।",0,10,14
বর্ণ,"মূককীট মূককীট ধূসর বর্ণের , খানিকটা কালচে খয়েরি বর্ণের ।",0,19,23
বর্ণ,"আপনার শুভ সংখ্যা : , , , । আপনার শুভ বর্ণ : গোলাপী ও সকল শেডের হলুদ ।",0,37,41
বর্ণ,"কোন বীজতলা হলুদ বর্ণ ধারণ করলেও সেটি সেরে উঠবে । """,0,16,20
বর্ণ,রঙ : ঘন এবং পাতলা গা gray় ধূসর শিরা সহ ময়লা সাদা ( ধূসর বর্ণের দিকে আরও বেশি ঝোঁক ),0,58,62
বর্ণ,"ডানার নিম্নতলের বর্ণ ও দাগ-ছোপ উপরিতলের অনুরূপ , তবে দাগ-ছোপগুলি অধিকতর সাদা ও স্পষ্টভাই বিন্যস্ত ।",0,16,20
বর্ণ,কাঁচা অবস্থায় সবুজ এ ফল পাকাকে হলুদ বা কমলা বর্ণ ধারণ করে ।,0,45,49
বর্ণ,"আপনার শুভ সংখ্যা : , , , । আপনার শুভ বর্ণ : হলুদ ও কমলা ।",0,37,41
বর্ণ,যখন পাকতে শুরু করে তখন ফলের গায়ের রং হলুদ বর্ণ ধারণ করে ।,0,43,47
বর্ণ,"এসকল মৃত্তিকা সুষ্ঠু থেকে পরিমিত সুষ্ঠুভাবে নিষ্কাশিত , লালচে বাদামি বর্ণ থেকে হলুদ বাদামি বর্ণের এবং শক্তিশালী থেকে চরম অম্লধর্মী ।",0,69,73
বর্ণ,এছাড়াও প্রজনন ঋতুতে পুরুষদের কমলা বর্ণের শ্রোণীপাখনা ও পায়ুপাখনা দেখতে পাওয়া যায় যেমনটি স্ত্রীদের মধ্যে দেখতে পাওয়া যায়না ।,0,35,39
বর্ণ,ফসল কর্তন : গম গাছ সম্পূর্নরূপে পেকে হালকা হলুদ বর্ণ ধারণ করে কাটা ও মাড়াইয়ের উপযুক্ত হলে রৌদ্রোজ্জ্বল দিনে সকালের দিকে কেটে দূপুরে মাড়াই করা উত্তম ।,0,48,52
বর্ণ,"আসলে এই মুরগির সমস্ত অংশই কুচকুচে কালো বর্ণের , এমনকি ডিম পর্যন্তও কালো বর্ণেরই হয় ।",0,39,43
বর্ণ,বীজ ডিম্বাকৃতির উজ্জ্বল কালো বর্ণের ।,0,29,33
বর্ণ,তাজা আদা ছোট করে কেটে তাতে লবণ ও লেবুর রস মিশিয়ে রেখে দিলে গোলাপি বর্ণ ধারণ করবে ।,0,67,71
বর্ণ,এছাড়া পূর্ণবয়স্ক স্ত্রী-পুরুষ দুটোই দেখতে একরকম ; অপ্রাপ্তবয়স্ক পাখি একটু ফ্যাকাসে বর্ণের ।,0,86,90
বর্ণ,বিচিত্র বর্ণের এই ফুল ও এর উদ্ভিদে রয়েছে বিষাক্ত উপাদান ।,0,8,12
বর্ণ,"ফরমটা এ রকম_ রেজিস্ট্রেশন নং : ( অফিস পূরণ করিবে ) নাম : ( পূর্ণ নাম ) ঠিকানা : ( মোবাইল নংসহ ) বয়স : ওজন : উচ্চতা : গাত্র বর্ণ : ( ফর্সা / শ্যামলা / কৃষ্ণ ) ( টিক মার্ক দিন ) পছন্দের স্বাদ : মিষ্টি / তিতা / টক ( টিক মার্ক দিন ) ধূমপান : হ্যাঁ / না ( টিক মার্ক দিন ) পানে জর্দা : হ্যাঁ / না ( টিক মার্ক দিন ) পছন্দের আবহাওয়া : শীত / উষ্ণ ( টিক মার্ক দিন ) পছন্দের খাবার : মাছ / মাংস / সবজি ( টিক মার্ক দিন ) ব্যাধির চিকিৎসায় গাত্র বর্ণ লাগছে , পছন্দের খাবার লাগছে , পছন্দের আবহাওয়া লাগছে দেখে মনে হচ্ছে চিকিৎসা পদ্ধতি হোমিওপ্যাথি ।",0,124,128
বর্ণ,"তবে পায়ু , পুচ্ছ এবং পষ্ঠপাখনা কালচে বর্ণের হয়ে থাকে ।",0,38,42
বর্ণ,ফল পাকলে রঙ হলুদ থেকে লাল বর্ণ হয় ।,0,26,30
