lemma,sentence,sense,start,end
মাটি,দ্বিতীয় বিশ্বযুদ্ধের পূর্ব-পর্যন্ত অস্ট্রেলিয়ার মাটিতে সবগুলো টেস্টই অসীম সময়ের ছিল ।,0,50,54
মাটি,কেনিয়াকে তাদের মাটিতে - ব্যবধানে হারায় টাইগাররা ।,0,16,20
মাটি,"বললেন , "" দলের ছেলেরা ভারতীয় উপমহাদেশের মাটিতে পরিবেশের সঙ্গে মানিয়ে নিয়ে ভাল বল করছে , উইকেট নিতে শিখে ফেলেছে , এটাই সবচেয়ে বড় কথা ।",0,41,45
মাটি,এদের মধ্যে অনেকে বিদেশের মাটিতে রঙমহল গড়ে তুলেছে বলে পত্র-পত্রিকার মাধ্যমে দেশবাসী অবগত হয়েছেন ।,0,25,29
মাটি,কিন্তু শেষদিকে কয়েকটি ক্যাচ মিসের কারণে নিউজিল্যান্ডের মাটিতে অধরা জয় পাওয়া হয়নি ।,0,56,60
মাটি,ইংল্যান্ড বিশ্বকাপে একাকী লড়ে যাওয়া কিংবা ইংল্যান্ডকে দেশের মাটিতে টেস্টে হারানোর পর তার স্যালুট ।,0,62,66
মাটি,সেই তাদের বিপক্ষেই তাদের মাটিতে সিরিজ ।,0,25,29
মাটি,সালে আর্জেন্টিনার মাটিতে কোপা থেকে গ্রুপপর্ব থেকে বিদায় নেয় তারা ।,0,18,22
মাটি,প্রথমবার সালে দেশের মাটিতে এশিয়া কাপের ফাইনালে হারে ভারতের কাছে ।,0,20,24
মাটি,অস্ট্রেলিয়ার মতো দলকে অস্ট্রেলিয়ার মাটিতে হারানোর জন্য এক-দুইদিন ভাল খেললে হয় না ।,0,37,41
মাটি,শ্রীলঙ্কার মাটিতে ও শ্রীলঙ্কার বিপক্ষে এটিই সর্বনিম্ন টেস্ট ইনিংস অস্ট্রেলিয়ার ।,0,11,15
মাটি,এর আগে দেশের মাটিতে দুই বার নিউ জিল্যান্ডের বিপক্ষে লিড নিয়েছিল বাংলাদেশ ।,0,13,17
মাটি,প্রবাসী শ্রমিকদের আরো দক্ষ করে বিদেশের মাটিতে পাঠাতে পারলে তারা আরো বেশি পারিশ্রমিক পাবে এবং আমাদের রেমিটেন্স বাড়বে ।,0,39,43
মাটি,আক্রমণ থেকে বাঁচতে ক্রিজে থাকা দুই লঙ্কান ব্যাটসম্যান ইসুরু উদানা ও সুরাঙ্গা লাকমলসহ দক্ষিণ আফ্রিকার সব ফিল্ডার এবং দুই আম্পায়ার মাটিতে শুয়ে পড়েন ।,0,130,134
মাটি,অতএব কোন কিছু করিবার বা বলিবার আগে প্রশ্নটিকে মাটি চাপা দিয়া কবর দিতে হইবে ।,0,40,42
মাটি,পরপর দুবার অস্ট্রেলিয়ার মাটিতে সিরিজ জিতে ইতিহাস তৈরি করেছে ভারত ।,0,25,29
মাটি,"( উরুগুয়ে ) , ( উরুগুয়ে ) , ( ব্রাজিল ) , ( ব্রাজিল ) , ( আর্জেন্টিনা ) এবং ( ব্রাজিল ) ; আমেরিকা মহাদেশের মাটিতে ইউরোপীয়ানরা কখনোই বিশ্বকাপ জয়ের স্বাদ পায়নি ।",0,109,113
মাটি,"টানা দুবার বিশ্বকাপের ফাইনালে গেলেও পা মাটিতেই রাখছেন উইলিয়ামসন , ' এতদূর আসতে ছেলেরা অনেক দৃঢ়তা দেখিয়েছে ।",0,39,43
মাটি,তার হাতে করে নিয়ে আসা ক্রিকেট স্ট্যাম্প দিয়ে ইয়াছিনের মাথায় আঘাত করলে ইয়াছিন মাটিতে লুটে পড়ে ।,0,82,86
মাটি,তুলনায় ভারতের মাটিতে ভারতীয় পরিচালক তার মুভিতে কি বললো তা অধিক গুরুত্বপূর্ণ ( যার প্রতিবাদ করা ফরজ ) ।,0,15,19
মাটি,আসলে দেশের মাটিতে করোনা ভাইরাস সংক্রমণের উদ্বেগ জনক পরিস্থিতির কারণেউ বিদেশের মাটিতে আইপিএল করার সিদ্ধান্ত নিয়েছিল বিসিসিআই ।,0,11,15
মাটি,আর জিততে চান ভারতের মাটিতে অনুষ্ঠেয় বিশ্বকাপও ।,0,20,24
মাটি,"বিদেশের মাটিতে স্কুলের ছাত্র-ছাত্রীদের শতভাগ পাসের ব্যাপারে তাৎক্ষণিক প্রতিক্রিয়ায় প্রিন্সিপাল বদরুল আলম বাংলানিউজকে বলেন , ' স্কুলের একঝাঁক অভিজ্ঞ শিক্ষক , সচেতন অভিভাবক মহল এবং সর্বোপরি শিক্ষার্থীদের সম্মিলিত প্রচেষ্টার ফসল আজকের শতভাগ পাস ।",0,8,12
মাটি,মাটি কামড়ে ক্রিজে পড়ে থাকা দুই ব্যাটসম্যানকে বিচ্ছিন্ন করতে বেশ ভুগতে হয়েছে ক্যারিবিয়ানদের ।,0,0,1
মাটি,কারণ ঘরের মাটিতে ইংল্যান্ডের বিপক্ষে সিরিজের জন্য দল ঘোষণা করা হবে সামনে ।,0,10,14
মাটি,সময়ের অন্যতম সেরা তারকা নেইমারের কাঁধে ভর করে দেশের মাটিতে সে শূন্যতা পূরণের স্বপ্ন দেখছে দেশের প্রতিটি মানুষ ।,0,53,57
মাটি,' খর্বশক্তির ' সেই অস্ট্রেলিয়া দলই দেশের মাটিতে পাঁচ বছর ধরে টেস্টে অজেয় ভারতকে মাটিতে নামিয়ে এনেছে ।,0,42,46
মাটি,মুশফিকুর রহিমের তৃতীয় ডাবল-সেঞ্চুরিতে সিলেটের মাটিতে জিম্বাবুয়ের বিপক্ষে ইনিংস ও রানে সিরিজের একমাত্র ম্যাচ জিতে বাংলাদেশ ।,0,47,51
মাটি,"মুম্বই : ইংল্যান্ডের বিরুদ্ধে সিরিজ ( India vs England ) , ভারতের মাটিতে আবার ফিরছে আন্তর্জাতিক ক্রিকেট ।",0,66,70
মাটি,তৃতীয় বাংলাদেশি হিসেবে ভারতের মাটিতে ভারতের কোনো দলের অধিনায়ক হওয়ার সুযোগ হলো জামালের ।,0,31,35
মাটি,বছর পর অস্ট্রেলিয়ার মাটিতে অস্ট্রেলিয়াকে হারাল ব্রিটিশ ও আইরিশ লায়নস ।,0,21,25
মাটি,"আন্তর্জাতিক ক্রিকেট থেকে মাশরাফি বিন মুর্তজার বিদায় প্রসঙ্গে বাংলাদেশ ক্রিকেট বোর্ডের ( বিসিবি ) সভাপতি নাজমুল হাসান পাপন বলেছেন , দেশের মাটিতে সিরিজ আয়োজন করেই মাশরাফিকে বিদায় দেয়া হবে ।",0,138,142
মাটি,এরপর জিম্বাবুয়ের মাটিতে টি টেস্ট ও তিন টি-টোয়েন্টি খেলার কথা রয়েছে পাকিস্তানের ।,0,18,22
মাটি,আমরা এর তীব্র প্রতিবাদ জানাতে ভারতের মাটিতে সব ধরনের টুর্নামেন্টে দল পাঠানো নিষিদ্ধ করার কথা ভাবছি । ',0,37,41
মাটি,বছরের শেষের দিকে ভারতের মাটিতেই হবে টি-টোয়েন্টি বিশ্বকাপ ।,0,24,28
মাটি,আগামী বছর জানুয়ারির মাঝামাঝি দেশের মাটিতে ক্যারিবীয়দের বিপক্ষে দুই টেস্টের সিরিজে মাঠে নামার অবস্থায় থাকবে কি মুমিনুলের ?,0,36,40
মাটি,"আমি পরে ওকে বলি , তুই পুরনো টেকনিকেই ( ব্যাট মাটিতে রেখে ) খেল ।",0,45,49
মাটি,"উল্লেখ্য , গত বছরের অক্টোবরে দেশের মাটিতে ইংল্যান্ড ক্রিকেট দলের বিপক্ষে মাঠে দেখা যায় নাসির হোসেনকে ।",0,35,39
