lemma,sentence,sense,start,end
মুখ,যেখানে কিউই পেসারদের তোপের মুখে মাত্র রানে গুটিয়ে গিয়েছিল ভারত ।,0,27,30
মুখ,রীতিমতো ' টেস্ট ' খেলে কিউইদের রানের জবাবে রান করে হারের মুখ দেখলেন তারা ।,0,57,60
মুখ,রানের টার্গেটে ব্যাট করতে নেমে বিইউবিটি বাংলাদেশ ইউনিভার্সিটির শফিকুল ইসলাম এবং জহিরুল ইসলাম শাওনের মারাত্মক বোলিং এর মুখে . ওভারে সবকটি উইকেট হারিয়ে মাত্র রান করে ।,0,118,121
মুখ,কিন্তু তবুও হার্দিক প্যাটেল নামক বছর তেইশের এক ' নেহাত ছোঁকড়া ' দেশের মাটিতেই চ্যালেঞ্জের মুখে ফেলে দিয়েছে অজেয় মোদী-শাহ জুটিকে ।,0,91,94
মুখ,টেস্ট শুরুর আগেই উইকেট দেখতে গিয়ে প্রবীরের তোপের মুখে পড়েছিলেন রোহিত ।,0,50,53
মুখ,চ্যাম্পিয়ন্স লিগে বার্সার মুখ থুবড়ে পড়া : করোনা আবহে চ্যাম্পিয়ন্স লিগ ফের শুরু হলেও আর হোম অ্যান্ড ভিত্তিতে নয় ।,0,27,30
মুখ,"সেই মিছিলের একজন সংগঠক , তৎকালীন ছাত্র ইউনিয়নের সাধারণ সম্পাদক আনোয়ারুল হক পুলিশের গুলির মুখে মিছিলের সামনের কাতারে থেকেও প্রাণে বেঁচে গিয়েছিলেন ।",0,91,94
মুখ,কিন্তু টেনিসে সেভাবে সাফল্যের মুখ দেখতে পাচ্ছেন না বিশ্ব র ‍ যাংকিংয়ের নম্বর অবস্থানে থাকা এই কানাডিয়ান সুন্দরী ।,0,30,33
মুখ,এত দিন পর বাংলাদেশও কি একই বিরূপ অভিজ্ঞতার মুখে ফেলতে পারবে স্বাগতিকদের ?,0,43,46
মুখ,কিন্তু তাতে মুখ থুবড়ে পরেনি দক্ষিণ কোরিয়ান হ্যান্ডসেট জায়ান্ট ।,0,12,15
মুখ,আর টেস্টের প্রথম দিনই পড়েছে বিপদের মুখে ।,0,36,39
মুখ,বাংলাদেশ-ইংল্যান্ড টেস্ট সিরিজের শুরুতেই বৃষ্টির বাধার মুখে পড়তে হলো ক্রিকেটারদের ।,0,55,58
মুখ,তবে তৃতীয় রাউন্ডেই কঠিন প্রতিদ্বন্দ্বিতার মুখে পড়তে যাচ্ছেন তিনি ।,0,43,46
মুখ,সঙ্গী রবিচন্দ্র আশ্বিনও ক্যারিয়ারের দ্বিতীয় সেঞ্চুরির মুখ দেখেন ।,0,56,59
মুখ,ডি-বক্সের মুখ থেকে অসাধারণ বাইসাইকেল কিকে বার্সেলোনার হয়ে প্রথম গোলটি করেন বছর বয়সী উরুগুয়ের এই সেন্টার-ব্যাক ।,0,10,13
মুখ,প্রথম হারের মুখ থেকে এক পয়েন্ট পেল সুনীলের ভারত ।,0,12,15
মুখ,গোলের মুখে বলটা পেয়ে আর লোভ সামলাতে পারেনি ।,0,6,9
মুখ,রানে উইকেট হারিয়ে হারিয়ে বেশ চাপের মুখে পড়ে যায় টাইগারদের টেনে তুলেন মুশফিক ও মোসাদ্দেক ।,0,37,40
মুখ,"সর্বশেষ যুদ্ধাপরাধীদের পক্ষে প্রকাশ্য অবস্থান নিয়ে কারাবন্দী একাত্তরের ঘাতকদের মুক্তির দাবি আর জামায়াত-শিবিরকে সঙ্গে নিয়ে কর্মসূচীর নামে সারাদেশে তা-ব , সহিংসতা , আগুন দিয়ে মানুষ হত্যার ঘটনা খালেদা জিয়া কঠোর সমালোচনার মুখে পড়েন ।",0,223,226
মুখ,সৌরাষ্ট্রের কাছে রানে হেরে বিজয় হজারে থেকে বিদায়ের মুখে বাংলা,0,53,56
মুখ,"সূত্র জানায় , তড়িঘড়ি করে সামলে নিতে এক সিনিয়ার রিপোর্টারের একপ্রকার চাপের মুখেই সাংবাদিক নির্যাতনের ঘটনাটি ' সেকেন্ড লিড ' করা হয় ।",0,78,81
মুখ,' অভিনন্দন ' প্রবল চাপের মুখে পড়া বাংলাদেশ দলের হেড কোচ রাসেল ডমিঙ্গোকেও ।,0,25,28
মুখ,ভাঙন রক্ষায় কোটি কোটি টাকার প্রকল্পের কথা গত এক দশক ধরে শোনা গেলেও নানান কারণে তা আলোর মুখ দেখেনি ।,0,88,91
মুখ,কলকাতায় কালীপূজার অনুষ্ঠানে গিয়ে এক শ্রেণির বাংলাদেশির তোপের মুখে পড়েছেন বিশ্বসেরা অলরাউন্ডার সাকিব আল হাসান ।,0,63,66
মুখ,"ডানহাতি এই লেগস্পিনার যদি দীর্ঘ মেয়াদে নিষেধাজ্ঞার মুখে পড়েন , তাহলে বেশ বিপদেই পড়তে হবে পাকিস্তানকে ।",0,52,55
মুখ,প্র : দ্বিতীয় ইনিংস শুরুর মুখে মোহনবাগান সমর্থকদের উদ্দেশে আপনার বার্তা ।,0,27,30
মুখ,"অন্যদিকে , বলা যায় জাতীয় নির্বাচন ঘনিয়ে আসায় বিএনপিও নতুন করে বেশ চাপের মুখে পড়েছে ।",0,76,79
মুখ,এ ঘটনায় সারা দেশে ব্যাপক সমালোচনার মুখে পড়েন হেফাজতের যুগ্ম মহাসচিব মাওলানা মামুনুল হক ।,0,36,39
মুখ,কিন্তু ব্যাট করতে নেমে উল্টো ভারতীয় পেসারদের তোপের মুখে দিশেহারা হয়ে পড়ে লঙ্কান ব্যাটসম্যানরা ।,0,52,55
মুখ,লিগে এরই মধ্যে আটটি হারের মুখ দেখেছে তারা ।,0,26,29
মুখ,ব্যাটিং বিপর্যয়ের মুখে প্রায় নিশ্চিত পরাজয় থেকে দলকে জয় এনে দেন এই দুই ব্যাটসম্যান ।,0,19,22
মুখ,গ্র্যান্ড স্ল্যামে এখনও পর্যন্ত তৃতীয় রাউন্ডের মুখ না দেখা আঠাশ বছরের সোমদেব এ বারও কঠিন চ্যালেঞ্জের মুখে ।,0,48,51
মুখ,"মূলত প্যাট কামিন্স , হ্যাজলউডদের তোপের মুখে পড়েই প্রথম ইনিংসে পিছিয়ে থাকতে হলো সফরকারীদের ।",0,39,42
মুখ,"ভারতের চায়নাম্যান বলার কুলদীপ যাদব সম্পর্কে ক্রোয়ে বলেছেন , চাপের মুখেও খেই হারিয় না ফেলাটা তার দ্রুত উন্নতির কারণ গত দুই-তিন বছর আমি নাইট রাইডার্স দলের সঙ্গে রয়েছি ।",0,68,71
মুখ,ব্যাট করতে নেমে ইংল্যান্ডের দুই পেসার স্টুয়ার্ট ব্রড ও ক্রিস ওকসের তোপের মুখে পড়েন সফরকারীরা ।,0,74,77
মুখ,সফরকারী জিম্বাবুয়ের আত্মবিশ্বাসী ম্যাচে দ্রুত কয়েকটি উইকেট হারিয়ে চাপের মুখে পড়লেও বছরের শুরুটা জয় দিয়েই করতে পেরেছে বাংলাদেশ ।,0,75,78
মুখ,আর লিভারপুলের এই ফরোয়ার্ডের বাড়ানো বল ছোট ডি-বক্সের মুখে পেয়ে অনায়াসে জালে পাঠান জেসুস ।,0,54,57
মুখ,"সকালে বাসি মুখে এইভাবে গরম জল পান করলে শরীর থেকে দূর হয় 20 টি ভ-য়ঙ্কর রো-গ , রইলো ভিডিও সহ !",1,11,14
মুখ,মেধাবী মুখ আদিল কক্সবাজার বালক উচ্চ বিদ্যালয়ে ভর্তি পরীক্ষায় মেধা তালিকা উত্তীর্ণ হয়েছে ।,1,7,10
মুখ,"জনের দলে বাংলা থেকে ঋদ্ধি ছাড়াও আছেন মনোজ তিওয়ারি , অশোক দিন্দা এবং জাতীয় ' এ ' দলে নতুন মুখ পেসার সামি আমেদ ।",1,92,95
মুখ,কিছুদিন আগেই যে ক্রিকেটার সবার মুখে হাসি ফুটিয়েছেন তার খারাপ সময়টা মেনে নিতে পারে না কেউ ।,1,31,34
মুখ,হঠাৎ করেই মাঠে উদয় হয়েছে এমন একজন ব্যক্তি যিনি শুধুমাত্র সোনারগাঁয়ের রাজনীতিতে নতুন নয়-রাজনীতির ময়দানেই একেবারে নতুন মুখ ।,1,122,125
মুখ,ইন্সটাগ্রামেও দুঃখী মুখে ছবি পোস্ট করেছেন ।,1,20,23
মুখ,খেলার সময় তাঁর মুখের ট্রেডমার্ক হাসিটাও ফাইনালে একমাত্র তখনই এ দিন দেখা গেল ।,1,16,19
মুখ,দলে একেবারে নতুন মুখ রোস্টন চেজ ।,1,17,20
মুখ,দলে নতুন মুখের ছড়াছড়ি ।,1,9,12
মুখ,দলে একমাত্র নতুন মুখ বাম হাতি পেসার বছর বয়সী বিশ্ব ফার্নান্দো ।,1,17,20
মুখ,বলিউডে এ বছর দেখা গেছে একঝাঁক নতুন মুখ ।,1,35,38
মুখ,সদস্যের দলে বেশ কিছু নতুন মুখ আছেন ।,1,26,29
মুখ,প্রাপ্ত কর্নার দুটি থেকে গোল আদায় করতে না পারায় সমর্থকরা কিছুটা মনঃক্ষুণœ হলেও মিনিট পর অথাৎ মিনিটে সমর্থকদের মুখে হাসি ফুটিয়ে তোলেন তৌফিক আরশাদ ।,1,112,115
মুখ,টেস্ট দলে জায়গা পেয়েছেন শাহনাওয়াজ ধানি ও জাহিদ মাহমুদের মতো নতুন মুখ ।,1,68,71
মুখ,"এ ছাড়া সম্পাদকীয় পদে নতুন মুখ হিসেবে জায়গা করে নিয়েছেন বীর মুক্তিযোদ্ধা কবির উদ্দিন , বোরহান উদ্দিন , শামসুল আলম সেলিম , ডা .",1,28,31
মুখ,তাসকিনের বিয়েতে জাতীয় দলের ডেশিং ওপেনার তামিম ইকবালের মুখে হাতের ছবি ভাইরাল হয়েছে ।,1,56,59
মুখ,সেখানে অনেকেই জামায়াতনির্ভরতা ও জামায়াতের মুখ ফিরিয়ে নেওয়ার অভিযোগ তোলার পাশাপাশি প্রতীকনির্ভর রাজনীতিকে দায়ী করে দলকে আরও শক্তিশালী করার তাগিদ দিয়েছেন ।,1,44,47
মুখ,শহর থেকে আমদানি নতুন নতুন মুখ ।,1,26,29
মুখ,"যে আক্রমণভাগের তিন উজ্জ্বল মুখ - হাকিম জিয়েচ , টিমো ভেরনার ও কাই হাভের্টজ ।",1,27,30
মুখ,সূর্যকুমারসহ ওয়ানডে দলে রয়েছে তিন নতুন মুখ ।,1,41,44
মুখ,"ইতিবাচক , নেতিবাচক বিভিন্ন ধরনের মন্তব্য শোনা যায় অনেকের মুখে ।",1,58,61
মুখ,একইসঙ্গে আফগানিস্তান বিরূদ্ধে বিশ্বকাপে নিজের হ্যাটট্রিক নিয়েও মুখ খুলেছেন তিনি ।,1,64,67
মুখ,অধিনায়কের মুখে ইতিবাচক কথা শোনা গেলেও কিউদের বিপক্ষে টেস্ট জয়ের রেকর্ড নেই বাংলাদেশের ।,1,11,14
মুখ,প্রতি বছর লাখ নতুন মুখ যোগ হচ্ছে ।,1,19,22
মুখ,এবারের নির্বাচনে তিনি একটি গুরুত্বপূর্ণ মুখ বলেই মনে করা হচ্ছে ।,1,40,43
মুখ,তার পরের ওভারেই আবার ছয় বলে ছয়টি ছয় মেরে লঙ্কানদের মুখের আহার কেড়ে নেন দ্য বিগ হিটার কাইরন পোলার্ড ।,1,54,57
মুখ,দিনাজপুরের ফুলবাড়ী পৌরসভার আসন্ন নির্বাচনের তফসিল ঘোষনা হওয়ার পর নির্বাচনের মাঠে নেমেছেন নতুন মুখ মোঃ আতিয়ার রহমান মিন্টু ।,1,96,99
মুখ,"একে একে শাহরুখ , মাধুরি , করণ জোহর সবাই মুখ দেখিয়েছেন জনপ্রিয় টিভি শো-এ ।",1,40,43
মুখ,"তিনি মোদিকে কটাক্ষ করে আরও বলেন , ক্যামেরার সামনে তাঁদের মুখ দেখাতে পছন্দ করেন না ।",1,57,60
মুখ,সলমন খানের প্রযোজনা সংস্থা সুশান্তকে ব্যান করেছে বলে সলমনের ভক্তরা তাঁর থেকে মুখ ফিরিয়ে নিয়েছে ।,1,77,80
মুখ,দলে সেই অর্থে কোনো চমক বা নতুন মুখ নেই ।,1,31,34
মুখ,"মানবাধিকার লঙ্ঘনের দায়ে সরকারকে কাঠগড়ায় দাঁড়াতে হবে - মির্জা ফখরুল ইসলামের এমন মন্তব্যের জবাবে ওবায়দুল কাদের বলেন , বিএনপির মুখে মানবাধিকারের কথা ভূতের মুখে রাম রাম ধ্বনির মতো ।",1,129,132
মুখ,আবার দাঁড়ালো লাঠির মুখে গানের সুর ।,2,20,23
মুখ,এ কথাটা স্বঘোষিত খুনিরা নিজের মুখে বলে গেছে ।,2,30,33
মুখ,তাই বলে কতক্ষণ আর মুখ বন্ধ করে রাখা যায় ।,2,18,21
মুখ,ভূতের মুখের মতো অন্ধকার ।,2,6,9
মুখ,মুখ সব সময়ই হাঁ হয়ে থাকে ।,2,0,3
মুখ,"আমার শুধু আফসোস হচ্ছে এই ভেবে যে , আমি সেই বোকাটিকে মুখে মারিনি । '",2,52,55
মুখ,সেই ভাবলেশহীন মুখ ।,2,14,17
মুখ,তাই একের জায়গায় দুটি পান একসাথে মুখে পুরে তিনি আনন্দে চিবোচ্ছেন ।,2,34,37
মুখ,ফলে মুখ সাদা দেখা যায় অথবা বেশী লাল লাগে ।,2,4,7
মুখ,- যেই মুখ আছে সেই মুখ দিয়ে ।,2,6,9
মুখ,"তবে সুখবর হলো , মুখের ব্রণের মতোই পিঠের ব্রণও দূর করার উপায় রয়েছে ।",2,16,19
মুখ,রূপচর্চায় কদবেল - ব্রুণ ও মেছতায় কাঁচা কদবেলের রস মুখে মাখলে বেশ দ্রুত উপকার পাওয়া যায় ।,2,52,55
মুখ,আমি প্রথম খবরটা শুনি আহসান হাবীব ভাইয়ের মুখে ।,2,41,44
মুখ,এবার সেটি ভাল করে মুখে ঘষুন কিছুক্ষণ ।,2,18,21
মুখ,মুখে শত শত কুঞ্চন দেখা দিয়েছিলো ।,2,0,3
মুখ,"তিনবেলা তাদের মুখেও ভাত জুটে , কিন্তু মাংস না ।",2,14,17
মুখ,ছোটবেলায় নানার মুখে শেখ রাসেল হত্যার কাহিনি শুনি ।,2,16,19
মুখ,গোল মুখটাতে যেন অবিকল চাঁদের মুখ বসানো ।,2,29,32
মুখ,- ধীরে ধীরে কিন্তু গভীর শ্বাস নিন আপনার নাক দিয়ে এবং ছেড়ে দিন মুখ দিয়ে ।,2,64,67
মুখ,আইসক্রিম মুখে দিলেই যেন রাজ্যের প্রশান্তি ।,2,9,12
মুখ,রাসেলের মুখ ভার ।,2,8,11
মুখ,সবসময় তার মুখে লেগে থাকা হাসিটি ছিল দন্তবিকশিত ।,2,11,14
মুখ,খাবার পেলেও ওই ডাস্টবিনের খাবার তার মুখে রুচবে না সম্ভবত ।,2,36,39
মুখ,ছেলেটির মুখ প্রবল ব্যথায় কুঁচকে আসে ।,2,8,11
মুখ,তাই উজ্জ্বল ও স্বাস্থ্যকর ত্বক পেতে বাজারের প্রসাধনী সামগ্রীর বদলে মুখ ধুয়ে ফেলুন এইসব জিনিসপত্র দিয়ে :,2,67,70
মুখ,তারপর মুখ ভালো ভাবে ধুয়ে পেষ্টটি নিভমিত ব্যবহার করুন ত্বকের বলিরেখা দুর হয়ে ত্বক উজ্জ্বল দেখাবে আশা করি ।,2,6,9
মুখ,হুশ করে উইলিয়াম্স এর মুখ দিয়ে বাতাস বের হয়ে এল ।,2,22,25
মুখ,যা মুখের অভিব্যক্তি প্রকাশ এবং কথা বলতে পারে ।,2,3,6
মুখ,বরং তাদের দোর্দ দাপটের সামনে মুখ খুলে কথা বলার সাহসও নেই কারোর ।,2,29,32
মুখ,"মেষপালক বয়সে প্রৌঢ় ; দাড়ি গোঁফে মুখ আচ্ছন্ন , স্কন্ধে উপবীত ।",2,35,38
মুখ,মুখ পরিষ্কার করার পর ভালো করে ময়েশ্চারাইজার লাগিয়ে নিন ।,2,0,3
মুখ,গম্ভীর সবার মুখ ।,2,12,15
মুখ,প্রতি রাতে রস বানানোর ঝামেলায় না গিয়ে একটি কিউব মুখে ঘষে নিন ।,2,50,53
মুখ,তাই ইফতারিতে মুখের স্বাদও ঠিক থাকবে আবার স্বাস্থ্যকর হবে এমন একটি খাবার হলো স্যান্ডউইচ পাকোড়া ।,2,13,16
মুখ,অনেক মানুষের মুখেই ঘন দাড়ি ।,2,13,16
মুখ,সাধারণ ক্যান্ডি খাওয়ার পর মুখের অ্যাসিড দাঁতের এনামেলকে ভাঙতে পারে এবং ক্যাভিটি-সৃষ্টিকারী ব্যাকটেরিয়াকে শক্তি যোগাতে পারে ।,2,27,30
মুখ,"- সমস্ত মুখে মাখবেন না , কেবল কালো দাগের স্থানগুলোতে মাখুন ।",2,8,11
,উল্টো হুমকির মুখে মেয়েকে নিয়ে দিন .. .,,,
,এ বার ওর গায়ে চ্যাটচ্যাটে পিচ পড়েছে বলে ওর অস্বস্তি দেখে ওদের মুখে হাসি ফুটল ।,,,
,ফিমু এক লোকমা খাবার মুখে নিয়ে প্লেটে থাকা পুরো খাবারে আঙ্গুল বুলাতে থাকে ।,,,
,আয়োজকদের চোখে মুখেও তৃপ্তির ফোয়ারা ।,,,
,তাহলে লোকসানের মুখে পড়তে হবে ।,,,
,এই প্রশ্ন শুনে আদালতে হাজির অন্য আইনজীবীরা পরস্পরের মুখ চাওয়াচাওয়ি করতে থাকেন ।,,,
,"গৃহিণী মুখে একটা শব্দ করিয়া বলিলেন , আবার বাধা পড়ল ?",,,
,"কাপিতানদেরই কাউকে , হয়তো স্বয়ং দে কাণ্ডিয়া কি দে সটোর মতো মানুষকেই ঘাঁটাতে গেছল বলে গাল্লিয়েখোর শাস্তি আর লাঞ্ছনাটা অমন চরম হয়েছে বলে শোনা গেছে কারও কারও মুখে ।",,,
,আর এতে করে সন্ত্রাসের ঝুঁকির মুখে পড়তে পারে মার্কিন যুক্তরাষ্ট্র ।,,,
,ডায়াবেটিস রোগীর মুখে শুকনো ভাব থাকে ।,,,
,"আর্জেন্টাইন খুদেরাজের ক্রস ডি-বক্সে পেয়ে হেডে বক্সের মুখে বাড়ান ব্রাথওয়েট , বাঁ পায়ের শটে ঠিকানা খুঁজে নেন আলবা ।",,,
,এই অবস্থায় বিকল্প নিকাশি ব্যবস্থা নির্মাণ ছাড়াই নয়ানজুলি ভরাট করায় বর্ষায় নাগরিকদের চূড়ান্ত দুর্ভোগের মুখে পড়তে হবে বলেই আশঙ্কা ।,,,
,হারিয়ে যাওয়া সূর্যের শেষ আলোটুকু আছড়ে পড়ছে মাহির মুখে ।,,,
,"তারপর সেই জল খেয়েও নিতে পারেন , বা ওই জল দিয়ে মুখও ধুয়ে নিতে পারেন ।",,,
,রাসেলের ওই প্রোফাইল পিকচারে রাজনের কান্না মাখানো মুখটি ভেসে ওঠার পাশাপাশি উপরে লেখা আছে ' এই মৃত্যু উপত্যকা আমার দেশ নয় ' ।,,,
,অবশ্যই মেকআপ ছাড়া মুখের ছবি ।,,,
,আমরা দেশবাসী হারিয়েছি একটি মেধাবী মুখ ।,,,
,পরে অবশ্য সমালোচনার মুখে আবার করোনা বিষয়ক তথ্য প্রদানের বিষয়টি শুরু হয় ।,,,
,পুজোর মুখে .. .,,,
,"সুখ-দুঃখ , হাসি-কান্না , আনন্দ-বেদনা , ঘৃণা – মুখে না বললেও অনুভূতিগুলো নীরবতার ভাষায় প্রকাশ হয়েই যায় ।",,,
,আর ওর নিজের মুখে তো রুমার মুখ বসানো ।,,,
,লী আন্টি ব্যস্ত মুখে আমার খোজ খবর নিয়ে একজনের হাতে সোর্পদ করে দিলেন চুলে কাটার জন্য ।,,,
,তার আগেই মুখ খুলল লায়লা ।,,,
,আর মুখে শুধু একটাই কথা ।,,,
,পোস্টারে মুখ দেখিয়ে মকর সংক্রান্তির শুভেচ্ছা জানাল বুলন্দশহরে পুলিশ খুনে মূল অভিযুক্ত !,,,
,সমালোচকদের মুখ বন্ধ না করে করোনার প্রকৃত তথ্য দিনঃ হাসিনা সরকারের প্রতি এইচআরডব্লিউ ।,,,
,জান্নাতুল ফেরদৌস ঐশীকে এবার মিস ওয়ার্ল্ড বাংলাদেশ করা হচ্ছে তা সবার মুখে মুখে চলে আসে ।,,,
,বিশ্বের প্রায় সব অমুসলিম দেশেই মুসলমানেরা নানা ভাবে চাপের মুখে ।,,,
,সেই টাকাটা প্রায় জোগাড় হবার মুখে ।,,,
,সকল উন্নয়ন পরিকল্পনাগুলোতে প্রকৃতিকে কাগজে কলমে আর মুখে মুখে প্রাধান্য দিয়ে করা হলেও বাস্তবায়নের ক্ষেত্রে তা দেওয়া হচ্ছে না ।,,,
,"এভাবে তাদের মুখ হতে একখানা আন্দোলনের ডাক নিয়ে ঐ দিনই তা হেড লাইন করে ছেপে দেন , এরপর আর পায় কে ! ব্যবসা শুরু !!! হায়রে মিডিয়া , হায়রে নৈতিকতা ও দায়-দায়ীত্ব !",,,
,"মিডিয়ার উদ্দেশ্য নিশ্চিত ভাবেই পত্রিকার কাটতি বাড়ানো , আর বাদীর উদ্দেশ্য বোধ করি অভিযুক্তের সামাজিক মর্যাদাকে হুমকির মুখে ফেলে উপরিউক্ত তিনটির মধ্যে কমপক্ষে একটি সুবিধা আদায় করা ।",,,
,"তিনি আরো বলেন , দলের প্রত্যেক নেতাকর্মীকে এক জন করে নতুন মুখ দলে যোগদানে কাজ করতে হবে ।",,,
,* বাইরে থেকে ফিরে মুখের ও হাত পায়ের পোড়া দাগ দূর করার জন্য টক দই লাগিয়ে নিন ।,,,
,"তেমনি মেঘমেদুর বরষার প্রকৃতিতে মুখে উঠে এসেছে - "" এমন দিনে তারে বলা যায় এমন ঘন ঘোর বরিষায় । """,,,
,"বাংলা সংবাদ "" পশ্চিমবঙ্গ "" তৃণমূলে থেকেই ঘনিষ্ঠতা বাড়িয়েছেন শাহর সঙ্গে , নিজে মুখে স্বীকার শুভেন্দুর",,,
,এই সবক'টি কর্মসূচির যোগফল পুজোর মুখে শহরের রাস্তাঘাট বেসামাল !,,,
,কারণ বেসরকারি পর্যায়ে দিলে দেশের কৃষকরা লোকসানের মুখে পড়ে যাবেন ।,,,
,জাকির কিছু বলতে যাচ্ছিলো তার আগেই শেফা দেখতে পেল সাদিক আবারও খুব দ্রুত ওর সামনে গিয়ে হাজির হল । জাকির নিজের মুখটা এবার ঠেকানোর ভঙ্গি করে আটকালো । সাদিক সোজা ওর কলার চেপে ধরে এক প্রকার টানতে টানতেই ঘর থেকে বের করে দিল । যে মেয়েটি এতো সময় পেছনে ভীত মুখে দাড়িয়ে ছিল সে তখনও চুপ করে দাড়িয়ে আছে । সাদিক সেদিকে তাকিয়ে বলল - কি ব্যাপার আপনি কেন দাড়িয়ে আছেন ? এটা আপনার বাসা না বুঝতে পারছেন না । বের হন ।,,,
,মুখের ভেতরে জমে থাকা খাবারটুকু খুব কষ্টে গিলে ফেলে ।,,,
,"এ৫-তে একটি চিত্র সংকেত প্রসেসর ইউনিট সংযুক্ত করা হয়েছে যা উন্নত ইমেজ পোস্ট-প্রসেসিং সম্পাদন করতে পারে , যেমন মুখ সনাক্তকরণ , সাদা ভারসাম্য এবং স্বয়ংক্রিয় চিত্র স্থিতিশীলকরন ।",,,
,সিরিয়াস মুখ করে বলে শাদীদ ।,,,
,বলিয়া নিজেই ধপ্ করিয়া শুইয়া পড়িয়া অন্যদিকে মুখ করিয়া রহিলেন ।,,,
,"পংকজ কুমার মল্লিক , কানন বালা আরো কত জনের নাম উনার মুখে মুখে ফেরে ।",,,
,"এদিকে বিরোধী দলের চাপের মুখে ক্রমশঃ কেন্দ্রীয় এবং প্রাদেশিক , সরকার এমন কতগুলো পদক্ষেপ গ্রহণ করে যার পরিণতিতে বিচ্ছিন্নতাবাদ আরো মজবুত হয়ে দাড়ায় ।",,,
