lemma,sentence,sense,start,end
রূপ,"হিন্দু দেওয়ান , গোমস্তা , বেনিয়ান , মুনশী , মুৎসুদ্দিরা কোম্পানি সরকারের কৃপায় নব্য ব্যবসায়ী রূপে পরিগণিত ।",0,97,100
রূপ,""" এই উভয় পুরুষ থেকে ভিন্ন , পুরুষোত্তম , পরমাত্মা রূপে সমগ্র বিশ্বে প্রবেশ করে তাদের পালন করেন "" ( ভ . গী . ১৫ / ১৭ ) ।",0,51,54
রূপ,এই বিবর্তন সমস্তটাই সংঘটিত হইয়াছে মৎস্যন্যায়ের একশত বৎসরের মধ্যে এবং পাল আমলে দেশে শান্তি ও শৃঙ্খলা স্থাপিত হওয়ার পর তাহার সম্পূর্ণ রূপটি আমাদের দৃষ্টিগোচর হইতেছে ।,0,47,48
রূপ,"( ৭৭ ) ক্রমশ পরবর্তী শতাব্দীগুলি ধরে দেবতাদের বিবাহিত রূপে দেখানো হতে লাগল , যেহেতু ব্রাহ্মণ - সাহিত্যের সময় থেকেই সমাজে বিবাহ আবশ্যিক হয়ে দাঁড়ালো ।",0,54,57
রূপ,"রূপে , গুণে , রসে , বিদ্যায় , বুদ্ধিতে , স্নেহে , সৌজন্যে পরিপূর্ণ যে ধন আমি অযাচিত পেয়েছি , সংসারে তার তুলনা নেই ।",0,0,3
রূপ,সেই থেকে বিভীষণকে দেখা হয় বিশ্বাসঘাতক রূপে ।,0,39,42
রূপ,অনুরূপা গুম খেয়ে থাকেন ।,0,3,6
রূপ,আজও কানে বাজে রূপা তার বিয়ের দিন অব্দি অপেক্ষা করেছিলো ।,0,14,17
রূপ,"না , বিশেষ ওই জায়গাটিতে চিরবৈরীর অদৃশ্য অনল জ্বলছে লেলিহান প্রতিহিংসারূপে ?",0,70,73
রূপ,কালক্রমে ' প্রাচীন প্রাকৃত ' অভিহিত হয় ' আধুনিক প্রাকৃত ' রূপে ।,0,59,62
রূপ,"আমি মা কালী , তোর ভার বইতে যাতে কোনও কষ্ট না হয় তাই এই পাথর রূপে এসেছি ।",0,61,64
