lemma,sentence,sense_id,start,end,sent_id,senses
অর্থ,অর্থ সচিবসহ ছয়জন বিবাদীকে এ রুলের জবাব দিতে বলা হয় ।,0,0,4,bn_0_0,"Money, finance, wealth"
অর্থ,আর সদস্য সচিবের দায়িত্ব পালন করছেন অর্থ মন্ত্রণালয়ের ব্যাংক ও আর্থিক প্রতিষ্ঠান বিভাগের অতিরিক্ত সচিব গকুল চাঁদ দাস ।,0,36,40,bn_0_1,"Money, finance, wealth"
অর্থ,তিনি তত্ত্বাবধায়ক সরকারের শাসনামলে উপদেষ্টা পরিষদের সদস্য হিসাবে অর্থ মন্ত্রণালয়ের দায়িত্ব পালন করেন ।,0,66,70,bn_0_2,"Money, finance, wealth"
অর্থ,"বিএনপি মহাসচিব আরও বলেন , প্রবাসীরা যারা উদায়াস্ত পরিশ্রম করছে , দেশে অর্থ পাঠাচ্ছে , রেমিটেন্স বাড়াচ্ছে - তাদের যত রকমের হেনস্তা করার আছে তারা করবে ।",0,71,75,bn_0_3,"Money, finance, wealth"
অর্থ,দেশীয় অর্থায়নের অনিশ্চয়তার কারণেও বিদেশি সহায়তা বাবদ অর্থ ছাড় করা সম্ভব হয় না । ',0,7,11,bn_0_4,"Money, finance, wealth"
অর্থ,অতিরিক্ত অর্থ লাভ করতে গিয়ে ক্ষতি হয়ে যাবার সম্ভাবনা দেখা যাচ্ছে ।,0,9,13,bn_0_5,"Money, finance, wealth"
অর্থ,নগদ অর্থ লেনদেনের ঝুঁকি হ্রাস করে ইসলামিক ওয়ালেট গ্রাহকের লেনদেনের নতুন দিগন্ত উন্মোচন করবে ।,0,4,8,bn_0_6,"Money, finance, wealth"
অর্থ,যাতে বাংলাদেশ সরকার আক্ষরিক অর্থে পার্বত্য চুক্তি বাস্তবায়ন করে ।,0,28,32,bn_0_7,"Money, finance, wealth"
অর্থ,"এছাড়াও , প্রতিটি সদস্য রাষ্ট্র জাতিসংঘ পরিচালনার জন্য কতটুকু অর্থ প্রদান করবে তারও সিদ্ধান্ত গ্রহণ করে ।",0,62,66,bn_0_8,"Money, finance, wealth"
অর্থ,"কিন্তু এক্ষেত্রে দেখা যাচ্ছে , আক্ষরিক অর্থে দেশের ক্রিকেটের কোনো লাভ হচ্ছে না ।",0,39,43,bn_0_9,"Money, finance, wealth"
অর্থ,এবং শর্টফিল্ম থেকে সংগ্রহীত অর্থ ঢাকা সিনে-শ্রমিক ও কলকাতা সিনেমা-শ্রমিকদের কল্যাণ তহবিলে অনুদান দেওয়া হবে বলে জানা গেল ।,0,28,32,bn_0_10,"Money, finance, wealth"
অর্থ,ফলে বেশির ভাগ ক্ষেত্রে নগদ অর্থ উপার্জনের সঙ্গে যুক্ত ব্যক্তিকে পরিবারের সর্বাধিক গুরুত্বপূর্ণ ব্যক্তি হিসেবে গণ্য করা হয় ।,0,27,31,bn_0_11,"Money, finance, wealth"
অর্থ,"কারেন ক্লাইন একটি বিশেষ দেশের নাগরিক বটে , কিন্তু প্রকৃত অর্থে কারেন ক্লাইন একটি নির্বিশেষ সত্তা ।",0,57,61,bn_0_12,"Money, finance, wealth"
অর্থ,এরপর যথাযথ প্রক্রিয়া গ্রহণ না করে ওই বছরের জুন মাসে অর্থ আটকে রাখতে কাগুজেকর্ম সম্পাদন দেখিয়ে চুড়ান্ত বিল উত্তেলান করা হয় ।,0,53,57,bn_0_13,"Money, finance, wealth"
অর্থ,"প্রবীর হত্যায় বন্ধকীকৃত স্বর্ণালংকার , নগদ অর্থ , মোবাইল সেট , রক্তের দাগ লেগে থাকা কোমরের বেল্ট , সিমেন্টের ব্যাগসহ বিভিন্ন আলামত উল্লেখ করা হয়েছে ।",0,44,48,bn_0_14,"Money, finance, wealth"
অর্থ,রাদামেল ফ্যালকাও : অ্যাটলেটিকো মাদ্রিদে খেলার সময় ও সালে ইমেজ স্বত্বের অর্থ থেকে . মিলিয়ন ইউরো কর ফাঁকি দিয়েছেন বলে অভিযোগ উঠেছে কলম্বিয়ার এই স্ট্রাইকারের বিরুদ্ধে ।,0,72,76,bn_0_15,"Money, finance, wealth"
অর্থ,"বরগুনা প্রতিনিধি : বরগুনার বেতাগীতে টি সরকারি প্রাথমিক বিদ্যালয়ে দফতরী কাম নৈশ প্রহরী ( এমএলএসএস ) নিয়োগে শাসক দলের প্রভাবশালী নেতা , স্কুল ম্যানেজিং কমিটি ও সহকারী উপজেলা শিক্ষা অফিসারদের বিরুদ্ধে অর্থ বানিজ্যের অভিযোগ উঠেছে ।",0,200,204,bn_0_16,"Money, finance, wealth"
