model,regime_frac,test_acc,test_f1
banglabert,0.01,0.5051546391752577,0.5966386554621849
banglabert,0.05,0.6237113402061856,0.6755555555555556
banglabert,0.1,0.6134020618556701,0.6835443037974683
banglabert,0.2,0.6649484536082474,0.7161572052401747
banglabert,0.3,0.6855670103092784,0.726457399103139
banglabert,1.0,0.634020618556701,0.7193675889328063
e5,0.01,0.4690721649484536,0.5795918367346938
e5,0.05,0.5103092783505154,0.6494464944649446
e5,0.1,0.5773195876288659,0.6371681415929203
e5,0.2,0.4948453608247423,0.6620689655172414
e5,0.3,0.6804123711340206,0.7280701754385965
e5,1.0,0.6804123711340206,0.7459016393442623
labse,0.01,0.5515463917525774,0.6167400881057269
labse,0.05,0.4896907216494845,0.5520361990950227
labse,0.1,0.6391752577319587,0.6788990825688074
labse,0.2,0.6701030927835051,0.6981132075471698
labse,0.3,0.6443298969072165,0.7088607594936709
labse,1.0,0.7010309278350515,0.7289719626168224
muril,0.01,0.5,0.6666666666666666
muril,0.05,0.5,0.662020905923345
muril,0.1,0.5,0.6666666666666666
muril,0.2,0.6185567010309279,0.6890756302521008
muril,0.3,0.6391752577319587,0.7083333333333334
muril,1.0,0.6185567010309279,0.7175572519083969
sahajbert,0.01,0.4329896907216495,0.4329896907216495
sahajbert,0.05,0.5927835051546392,0.6220095693779905
sahajbert,0.1,0.5309278350515464,0.5806451612903226
sahajbert,0.2,0.6649484536082474,0.7302904564315352
sahajbert,0.3,0.6597938144329897,0.6857142857142857
sahajbert,1.0,0.6494845360824743,0.734375
