model,regime_frac,test_acc,test_f1
banglabert,0.05,0.7402810304449648,0.7455838495067676
banglabert,0.1,0.7637002341920375,0.779549923530697
banglabert,0.2,0.7988290398126464,0.8057879267465521
banglabert,0.3,0.7990632318501171,0.8044667274384686
banglabert,1.0,0.7913348946135831,0.8076840060436002
e5,0.05,0.775175644028103,0.7900262467191601
e5,0.1,0.8044496487119438,0.8033906286790676
e5,0.2,0.8320843091334894,0.8379661016949153
e5,0.3,0.8426229508196721,0.8494623655913979
e5,1.0,0.846135831381733,0.8526575465350975
labse,0.05,0.7978922716627634,0.7985057202895167
labse,0.1,0.8365339578454333,0.8431460674157303
labse,0.2,0.8676814988290398,0.8702044566965311
labse,0.3,0.8889929742388759,0.8910845588235294
labse,1.0,0.884543325526932,0.8858003242992819
muril,0.05,0.7978922716627634,0.796510257014855
muril,0.1,0.8269320843091335,0.8286575469510782
muril,0.2,0.8690866510538642,0.8704519119351101
muril,0.3,0.8763466042154566,0.8754129306276546
muril,1.0,0.8814988290398127,0.8831408775981524
sahajbert,0.05,0.7845433255269321,0.7839361202442461
sahajbert,0.1,0.8306791569086651,0.8384357541899441
sahajbert,0.2,0.8543325526932084,0.8614699331848552
sahajbert,0.3,0.8637002341920375,0.8724243752740026
sahajbert,1.0,0.8857142857142857,0.8911685994647636
