word,model,acc,f1
কাটা,muril,0.7857142857142857,0.7851550266207328
কাটা,xl-lexeme,0.7448979591836735,0.723943661971831
কাটা,xlm-r,0.6632653061224489,0.6604011340963982
কাটা,indic,0.5102040816326531,0.5069182389937107
কাটা,e5,0.5816326530612245,0.5780741363015856
কাটা,mbert,0.5918367346938775,0.4887845592070944
কাটা,banglabert,0.5816326530612245,0.5472676056338028
কাটা,sahajbert,0.8163265306122449,0.8150943396226416
কাটা,e5-large,0.8469387755102041,0.8441971383147854
কাটা,labse,0.826530612244898,0.8260778786929742
কাটা,para-miniLM-multilingual,0.5612244897959183,0.5608129233976029
কাটা,para-xlm-r-multilingual,0.5714285714285714,0.5528031290743155
কাটা,csebuet-banglabert,0.5306122448979592,0.517757809157039
কাটা,csebuet-banglabert-large,0.5102040816326531,0.51
