word,model,acc,f1
গোলা,muril,0.9911504424778761,0.9909200482121334
গোলা,xl-lexeme,0.9646017699115044,0.9633354964308891
গোলা,xlm-r,1.0,1.0
গোলা,indic,1.0,1.0
গোলা,e5,0.9911504424778761,0.9909693918324942
গোলা,mbert,0.9734513274336283,0.9730374612264376
গোলা,banglabert,0.9823008849557522,0.9818910256410256
গোলা,sahajbert,1.0,1.0
গোলা,e5-large,0.9911504424778761,0.9909693918324942
গোলা,labse,0.9469026548672567,0.9446078431372549
গোলা,para-miniLM-multilingual,0.5575221238938053,0.5515873015873016
গোলা,para-xlm-r-multilingual,0.8141592920353983,0.7904635761589404
গোলা,csebuet-banglabert,0.8053097345132744,0.8026984126984127
গোলা,csebuet-banglabert-large,0.504424778761062,0.492948717948718
