word,model,acc,f1
চোখ,muril,0.62,0.6198479391756703
চোখ,xl-lexeme,0.61,0.6080795899909557
চোখ,xlm-r,0.55,0.4692770373864843
চোখ,indic,0.5,0.46943972835314096
চোখ,e5,0.58,0.5384615384615385
চোখ,mbert,0.59,0.42984285912946735
চোখ,banglabert,0.53,0.5261619114830124
চোখ,sahajbert,0.5,0.49919871794871795
চোখ,e5-large,0.6,0.5755517826825127
চোখ,labse,0.52,0.5039272426622571
চোখ,para-miniLM-multilingual,0.55,0.54995499549955
চোখ,para-xlm-r-multilingual,0.51,0.47733333333333333
চোখ,csebuet-banglabert,0.5,0.49919871794871795
চোখ,csebuet-banglabert-large,0.53,0.5037482842360892
