word,model,acc,f1
ঝোলা,muril,0.9550561797752809,0.9550505050505051
ঝোলা,xl-lexeme,0.898876404494382,0.898876404494382
ঝোলা,xlm-r,0.6741573033707865,0.6529514589216081
ঝোলা,indic,0.8651685393258427,0.8650151668351871
ঝোলা,e5,0.9101123595505618,0.9101010101010101
ঝোলা,mbert,0.797752808988764,0.793343653250774
ঝোলা,banglabert,0.7191011235955056,0.7041616806275761
ঝোলা,sahajbert,0.9213483146067416,0.9211891208096141
ঝোলা,e5-large,0.9101123595505618,0.9101010101010101
ঝোলা,labse,0.9101123595505618,0.9101010101010101
ঝোলা,para-miniLM-multilingual,0.6179775280898876,0.615599593495935
ঝোলা,para-xlm-r-multilingual,0.5056179775280899,0.3358208955223881
ঝোলা,csebuet-banglabert,0.7078651685393258,0.7048469387755103
ঝোলা,csebuet-banglabert-large,0.651685393258427,0.6488481608756522
