word,model,acc,f1
দম,muril,0.7431192660550459,0.7587224906065485
দম,xl-lexeme,0.7706422018348624,0.743114250570066
দম,xlm-r,0.43119266055045874,0.40365560365560366
দম,indic,0.6055045871559633,0.5794450529390288
দম,e5,0.44954128440366975,0.44614444162579625
দম,mbert,0.46788990825688076,0.44176168119830095
দম,banglabert,0.48623853211009177,0.4820415671416412
দম,sahajbert,0.7155963302752294,0.7285172272354389
দম,e5-large,0.47706422018348627,0.4758910867147072
দম,labse,0.7247706422018348,0.737012987012987
দম,para-miniLM-multilingual,0.5963302752293578,0.5888053467000836
দম,para-xlm-r-multilingual,0.46788990825688076,0.33756613756613757
দম,csebuet-banglabert,0.45871559633027525,0.44395604395604393
দম,csebuet-banglabert-large,0.3577981651376147,0.3529145444255801
