word,model,acc,f1
দাঁড়া,muril,0.4878048780487805,0.48542012161415143
দাঁড়া,xl-lexeme,0.6524390243902439,0.6332769678971082
দাঁড়া,xlm-r,0.45121951219512196,0.3885407934386116
দাঁড়া,indic,0.5792682926829268,0.5591645258279575
দাঁড়া,e5,0.4878048780487805,0.48843937674971416
দাঁড়া,mbert,0.43902439024390244,0.41412372439289963
দাঁড়া,banglabert,0.4573170731707317,0.3917050452244627
দাঁড়া,sahajbert,0.6158536585365854,0.6164772884801996
দাঁড়া,e5-large,0.4878048780487805,0.49057886557886554
দাঁড়া,labse,0.5792682926829268,0.564206245933637
দাঁড়া,para-miniLM-multilingual,0.39634146341463417,0.3945219729533455
দাঁড়া,para-xlm-r-multilingual,0.5,0.3821445071445071
দাঁড়া,csebuet-banglabert,0.4573170731707317,0.45101826323131183
দাঁড়া,csebuet-banglabert-large,0.5,0.41737191700766474
