word,model,acc,f1
ধরা,muril,0.9921875,0.991877657211752
ধরা,xl-lexeme,0.921875,0.917948717948718
ধরা,xlm-r,0.6171875,0.5964742971112398
ধরা,indic,0.75,0.7499389499389499
ধরা,e5,0.984375,0.983702571937866
ধরা,mbert,0.8828125,0.8708201574379331
ধরা,banglabert,0.9140625,0.9071178837654199
ধরা,sahajbert,0.96875,0.9671794871794872
ধরা,e5-large,0.9765625,0.9754710954966463
ধরা,labse,0.984375,0.983702571937866
ধরা,para-miniLM-multilingual,0.671875,0.6577540106951871
ধরা,para-xlm-r-multilingual,0.5,0.4847798742138365
ধরা,csebuet-banglabert,0.796875,0.7723666210670315
ধরা,csebuet-banglabert-large,0.5859375,0.5766086251014167
