word,model,acc,f1
পটল,muril,0.7857142857142857,0.7846153846153847
পটল,xl-lexeme,0.9,0.8992598684210527
পটল,xlm-r,0.6928571428571428,0.6843374757485187
পটল,indic,0.85,0.8499923465482933
পটল,e5,0.9071428571428571,0.9067575183154875
পটল,mbert,0.9571428571428572,0.9564224942934219
পটল,banglabert,0.9142857142857143,0.914004914004914
পটল,sahajbert,0.9357142857142857,0.9353149545664562
পটল,e5-large,0.9142857142857143,0.914004914004914
পটল,labse,0.8857142857142857,0.8855039869147414
পটল,para-miniLM-multilingual,0.7214285714285714,0.7150164413591524
পটল,para-xlm-r-multilingual,0.5928571428571429,0.5504478620922765
পটল,csebuet-banglabert,0.7357142857142858,0.7355928742790057
পটল,csebuet-banglabert-large,0.7285714285714285,0.7276822276822277
