word,model,acc,f1
পথ,muril,0.5277777777777778,0.5142857142857142
পথ,xl-lexeme,0.9166666666666666,0.916083916083916
পথ,xlm-r,0.6666666666666666,0.6664092664092665
পথ,indic,0.8055555555555556,0.8054054054054054
পথ,e5,0.9583333333333334,0.9583252942311402
পথ,mbert,0.8472222222222222,0.8447971781305115
পথ,banglabert,0.9027777777777778,0.9026086956521739
পথ,sahajbert,1.0,1.0
পথ,e5-large,0.9722222222222222,0.9722222222222222
পথ,labse,0.9722222222222222,0.9722007722007722
পথ,para-miniLM-multilingual,0.5416666666666666,0.5208711433756805
পথ,para-xlm-r-multilingual,0.7222222222222222,0.71875
পথ,csebuet-banglabert,0.5833333333333334,0.5751376868607396
পথ,csebuet-banglabert-large,0.5277777777777778,0.5263157894736843
