word,model,acc,f1
পর,muril,0.9772727272727273,0.976682564917859
পর,xl-lexeme,0.5909090909090909,0.5855572998430141
পর,xlm-r,0.7272727272727273,0.7201907790143084
পর,indic,0.9090909090909091,0.9067302596714362
পর,e5,0.9204545454545454,0.9186798679867987
পর,mbert,0.6136363636363636,0.6134366925064599
পর,banglabert,0.7613636363636364,0.7598440545808967
পর,sahajbert,0.8295454545454546,0.8293471234647705
পর,e5-large,0.6818181818181818,0.6776556776556777
পর,labse,0.9204545454545454,0.9165650819450089
পর,para-miniLM-multilingual,0.6022727272727273,0.595959595959596
পর,para-xlm-r-multilingual,0.5681818181818182,0.36231884057971014
পর,csebuet-banglabert,0.6590909090909091,0.65625
পর,csebuet-banglabert-large,0.6022727272727273,0.5980686415242071
