word,model,acc,f1
পিচ,muril,0.6946564885496184,0.6059782608695653
পিচ,xl-lexeme,0.9236641221374046,0.9199881181307944
পিচ,xlm-r,0.6030534351145038,0.5651647660142806
পিচ,indic,0.8091603053435115,0.807350016974635
পিচ,e5,0.9007633587786259,0.8935779816513761
পিচ,mbert,0.8396946564885496,0.8350168350168351
পিচ,banglabert,0.816793893129771,0.8096008136282736
পিচ,sahajbert,0.9770992366412213,0.9765656565656565
পিচ,e5-large,0.7938931297709924,0.7913391072618254
পিচ,labse,0.9694656488549618,0.969017094017094
পিচ,para-miniLM-multilingual,0.44274809160305345,0.4363822161214062
পিচ,para-xlm-r-multilingual,0.6870229007633588,0.6825418431135309
পিচ,csebuet-banglabert,0.6641221374045801,0.6504025750119035
পিচ,csebuet-banglabert-large,0.5419847328244275,0.5175479779260358
