word,model,acc,f1
বাড়ি,muril,0.9625,0.9622106754841757
বাড়ি,xl-lexeme,0.5375,0.5206477732793522
বাড়ি,xlm-r,0.725,0.7186700767263428
বাড়ি,indic,0.975,0.9749843652282677
বাড়ি,e5,0.8,0.7988686360779385
বাড়ি,mbert,0.7125,0.7047022949767292
বাড়ি,banglabert,0.775,0.7748592870544091
বাড়ি,sahajbert,0.9875,0.987450980392157
বাড়ি,e5-large,0.7625,0.762462884825754
বাড়ি,labse,0.65,0.6491228070175439
বাড়ি,para-miniLM-multilingual,0.575,0.5652173913043479
বাড়ি,para-xlm-r-multilingual,0.7,0.6992481203007519
বাড়ি,csebuet-banglabert,0.6375,0.6374433505235193
বাড়ি,csebuet-banglabert-large,0.55,0.5396419437340154
