word,model,acc,f1
মধু,muril,0.8859649122807017,0.8839558374442096
মধু,xl-lexeme,0.9473684210526315,0.9472222222222222
মধু,xlm-r,0.5087719298245614,0.4989010989010989
মধু,indic,0.8508771929824561,0.8466165413533835
মধু,e5,0.956140350877193,0.9561099561099562
মধু,mbert,0.868421052631579,0.8654285039741875
মধু,banglabert,0.8771929824561403,0.8747252747252747
মধু,sahajbert,0.9385964912280702,0.9382113821138212
মধু,e5-large,0.956140350877193,0.9561099561099562
মধু,labse,0.9298245614035088,0.9292803970223324
মধু,para-miniLM-multilingual,0.6052631578947368,0.6000623684415686
মধু,para-xlm-r-multilingual,0.8333333333333334,0.8327025565768131
মধু,csebuet-banglabert,0.6491228070175439,0.6490147783251232
মধু,csebuet-banglabert-large,0.6228070175438597,0.6225456225456225
