word,model,acc,f1
রূপ,muril,0.6413043478260869,0.580605055946954
রূপ,xl-lexeme,0.782608695652174,0.7774552491533624
রূপ,xlm-r,0.6847826086956522,0.6802109552918614
রূপ,indic,0.7934782608695652,0.7928664533712526
রূপ,e5,0.8260869565217391,0.8260869565217391
রূপ,mbert,0.5108695652173914,0.42809780356402816
রূপ,banglabert,0.75,0.7388621498210539
রূপ,sahajbert,0.9239130434782609,0.9236876407157246
রূপ,e5-large,0.5434782608695652,0.43706293706293703
রূপ,labse,0.6956521739130435,0.6920133907221425
রূপ,para-miniLM-multilingual,0.6847826086956522,0.6829471182412359
রূপ,para-xlm-r-multilingual,0.6195652173913043,0.602616314945082
রূপ,csebuet-banglabert,0.6304347826086957,0.6240384615384615
রূপ,csebuet-banglabert-large,0.5760869565217391,0.5748311411304656
