word,model,acc,f1
সারা,muril,0.976,0.9756951195800116
সারা,xl-lexeme,0.936,0.9358974358974359
সারা,xlm-r,0.552,0.5089786756453423
সারা,indic,0.968,0.9673969744392279
সারা,e5,0.976,0.9757767586073252
সারা,mbert,0.912,0.910136592379583
সারা,banglabert,0.968,0.9673969744392279
সারা,sahajbert,0.976,0.9757767586073252
সারা,e5-large,0.968,0.967750257997936
সারা,labse,0.992,0.9918983731933373
সারা,para-miniLM-multilingual,0.584,0.5837602459016393
সারা,para-xlm-r-multilingual,0.512,0.4862206050805202
সারা,csebuet-banglabert,0.616,0.6103896103896104
সারা,csebuet-banglabert-large,0.704,0.7036965853033507
