word,model,acc,f1
অর্থ,ensemble-6-wfe,0.7142857142857143,0.692652329749104
আগুন,ensemble-6-wfe,0.875,0.8701542588866533
এঁটে,ensemble-6-wfe,0.9444444444444444,0.9441379310344827
কপাল,ensemble-6-wfe,0.6082474226804123,0.6082057823129252
কাটা,ensemble-6-wfe,0.8673469387755102,0.8666666666666667
গভীর,ensemble-6-wfe,0.7941176470588235,0.7895667550839964
গুলি,ensemble-6-wfe,0.6415094339622641,0.6379578754578755
গোলা,ensemble-6-wfe,1.0,1.0
ঘোর,ensemble-6-wfe,0.9651162790697675,0.964997964997965
চড়,ensemble-6-wfe,1.0,1.0
চাবি,ensemble-6-wfe,0.9278350515463918,0.9252614199229499
চোখ,ensemble-6-wfe,0.59,0.5866518802298619
ঝোলা,ensemble-6-wfe,0.9662921348314607,0.9662921348314607
ঠান্ডা,ensemble-6-wfe,0.9295774647887324,0.9281521959117587
ডাক,ensemble-6-wfe,0.9774436090225563,0.9753303303303303
তাড়া,ensemble-6-wfe,0.9655172413793104,0.9635932487097224
তুলা,ensemble-6-wfe,0.9464285714285714,0.9465058300836194
দম,ensemble-6-wfe,0.7339449541284404,0.7398036873052686
দল,ensemble-6-wfe,0.9809523809523809,0.980909090909091
দাঁড়া,ensemble-6-wfe,0.524390243902439,0.5250102901655337
ধন,ensemble-6-wfe,0.7108433734939759,0.7087719298245614
ধরা,ensemble-6-wfe,0.9765625,0.9754710954966463
পটল,ensemble-6-wfe,0.9428571428571428,0.9424342105263157
পড়া,ensemble-6-wfe,1.0,1.0
পথ,ensemble-6-wfe,1.0,1.0
পদ,ensemble-6-wfe,0.5986394557823129,0.5242870971580366
পর,ensemble-6-wfe,0.9659090909090909,0.9651485148514851
পাকা,ensemble-6-wfe,0.9347826086956522,0.9327485380116959
পাড়া,ensemble-6-wfe,0.6850393700787402,0.6640337847677297
পালা,ensemble-6-wfe,0.9777777777777777,0.9763655462184874
পিচ,ensemble-6-wfe,0.9847328244274809,0.9844253490870032
ফল,ensemble-6-wfe,1.0,1.0
বর্ণ,ensemble-6-wfe,0.9675324675324676,0.9682194773581457
বল,ensemble-6-wfe,1.0,1.0
বাড়ি,ensemble-6-wfe,0.9875,0.987450980392157
বিন্দু,ensemble-6-wfe,0.6075949367088608,0.5861078249112726
মধু,ensemble-6-wfe,0.9473684210526315,0.9471079492731209
মাটি,ensemble-6-wfe,0.9404761904761905,0.93943763518385
মাথা,ensemble-6-wfe,0.8677685950413223,0.864682695581572
মুখ,ensemble-6-wfe,0.8490566037735849,0.8310713613104612
রূপ,ensemble-6-wfe,0.9456521739130435,0.945645752097365
সারা,ensemble-6-wfe,0.976,0.9756951195800116
হাত,ensemble-6-wfe,0.9431818181818182,0.9429977976421817
